title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
The bullish case for large-cap growth stocks: Strategist says buy the dips in these big names,"Markets are ""forward-discounting mechanisms engaged in an ongoing operation,"" and investors best remember that, says strategist Seth Golden.",2023-02-28 15:09:00+00:00,https://www.marketwatch.com/story/the-wall-street-chorus-may-be-bearish-but-this-strategist-points-out-stocks-do-better-when-earnings-fall-8f477403,MarketWatch,0.43333333333333335,0.3,positive,0.43333333333333335,False,True,False,False,False,False,False,False,0.0,235,"['AMZN', 'PYPL', 'BA', 'V', 'JPM', 'XLV', 'DJIA', 'COMP', 'TGT', 'AZO', 'NCLH', 'AAP', 'AMC', 'HPQ', 'RIVN', 'NVAX', 'FSLR', 'LAZR', 'ZM', 'BTE', 'ROCC', 'HOOD', 'TSLA', 'BBBY', 'TRKA', 'GME', 'APE', 'NIO', 'NVDA', 'AAPL', 'BABA']",BTE,2023-02-28
Why Baytex Energy Stock Is Plunging Today,"The oil and gas stock is making a big growth move and will pay dividends again, but investors aren't happy.",2023-02-28 16:39:09+00:00,https://www.fool.com/investing/2023/02/28/why-baytex-energy-stock-is-plunging-today/,The Motley Fool,0.4,0.55,positive,0.4,False,False,False,False,False,True,False,False,0.0,150,"['BTE', 'ROCC']",BTE,2023-02-28
"Benzinga's Top Ratings Upgrades, Downgrades For March 1, 2023","Upgrades
According to UBS, the prior rating for Procter & Gamble Co (NYSE:PG) was changed from Neutral to Buy. In the second quarter, Procter & Gamble showed an EPS of $1.59, compared to $1.66 from the year-ago quarter. The stock has a 52-week-high of $164.90 and a 52-week-low of $122.18. At the end of the last trading period, Procter & Gamble closed at $137.56.   
Roth Capital upgraded the previous rating for Ameresco Inc (NYSE:AMRC) from Sell to Neutral. For the fourth quarter, Ameresco had an EPS of $0.35, compared to year-ago quarter EPS of $0.50. The current stock performance of Ameresco shows a 52-week-high of $86.73 and a 52-week-low of $40.73. Moreover, at the end of the last trading period, the closing price was at $43.95.   
For Ocugen Inc (NASDAQ:OCGN), Chardan Capital upgraded the previous rating of Neutral to Buy. Ocugen earned $0.10 in the fourth quarter, compared to $0.07 in the year-ago quarter. The current stock performance of Ocugen shows a 52-week-high of $4.03 and a 52-week-low of $0.93. Moreover, at the end of the last trading period, the closing price was at $1.00.   
According to TD Securities, the prior rating for Baytex Energy Corp (NYSE:BTE) was changed from Hold to Buy. The stock has a 52-week-high of $4.40 and a 52-week-low of $3.86. At the end of the last trading period, Baytex Energy closed at $3.87.   
Benchmark upgraded the previous rating for MKS Instruments Inc (NASDAQ:MKSI) from Hold to Buy. In the fourth quarter, MKS Instruments showed an EPS of $2.00, compared to $3.02 from the year-ago quarter. The stock has a 52-week-high of $163.89 and a 52-week-low of $64.77. At the end of the last trading period, MKS Instruments closed at $96.93.   
For Vertex Energy Inc (NASDAQ:VTNR), Oppenheimer upgraded the previous rating of Perform to Outperform. In the fourth quarter, Vertex Energy showed an EPS of $0.56, compared to $0.15 from the year-ago quarter. The current stock performance of Vertex Energy shows a 52-week-high of $18.10 and a 52-week-low of $5.42. Moreover, at the end of the last trading period, the closing price was at $9.47.   
Benchmark upgraded the previous rating for Red Robin Gourmet Burgers Inc (NASDAQ:RRGB) from Hold to Buy. Red Robin Gourmet Burgers earned $1.35 in the fourth quarter, compared to $1.03 in the year-ago quarter. At the moment, the stock has a 52-week-high of $18.64 and a 52-week-low of $5.35. Red Robin Gourmet Burgers closed at $8.51 at the end of the last trading period.   
UBS upgraded the previous rating for Ormat Technologies Inc (NYSE:ORA) from Neutral to Buy. Ormat Technologies earned $0.73 in the fourth quarter, compared to $0.41 in the year-ago quarter. The current stock performance of Ormat Technologies shows a 52-week-high of $101.81 and a 52-week-low of $67.28. Moreover, at the end of the last trading period, the closing price was at $84.52.   
According to Bernstein, the prior rating for Kinder Morgan Inc (NYSE:KMI) was changed from Market Perform to Outperform. For the fourth quarter, Kinder Morgan had an EPS of $0.31, compared to year-ago quarter EPS of $0.27. The stock has a 52-week-high of $20.20 and a 52-week-low of $15.78. At the end of the last trading period, Kinder Morgan closed at $17.06.   
For Permian Resources Corp (NYSE:PR), Cowen & Co. upgraded the previous rating of Market Perform to Outperform. The current stock performance of Permian Resources shows a 52-week-high of $11.48 and a 52-week-low of $6.12. Moreover, at the end of the last trading period, the closing price was at $10.81.   
For Interface Inc (NASDAQ:TILE), Longbow Research upgraded the previous rating of Neutral to Buy. In the fourth quarter, Interface showed an EPS of $0.31, compared to $0.47 from the year-ago quarter. The current stock performance of Interface shows a 52-week-high of $15.05 and a 52-week-low of $8.43. Moreover, at the end of the last trading period, the closing price was at $8.82.   
According to Stifel, the prior rating for Kontoor Brands Inc (NYSE:KTB) was changed from Hold to Buy. Kontoor Brands earned $0.88 in the fourth quarter, compared to $0.88 in the year-ago quarter. At the moment, the stock has a 52-week-high of $52.97 and a 52-week-low of $30.98. Kontoor Brands closed at $52.15 at the end of the last trading period.   
For TransUnion (NYSE:TRU), Exane BNP Paribas upgraded the previous rating of Neutral to Outperform. For the fourth quarter, TransUnion had an EPS of $0.78, compared to year-ago quarter EPS of $0.81. The current stock performance of TransUnion shows a 52-week-high of $105.00 and a 52-week-low of $50.32. Moreover, at the end of the last trading period, the closing price was at $65.43.   
According to Deutsche Bank, the prior rating for Coupang Inc (NYSE:CPNG) was changed from Hold to Buy. In the fourth quarter, Coupang showed an EPS of $0.06, compared to $0.23 from the year-ago quarter. The stock has a 52-week-high of $27.12 and a 52-week-low of $8.98. At the end of the last trading period, Coupang closed at $15.51.   
UBS upgraded the previous rating for Philip Morris International Inc (NYSE:PM) from Neutral to Buy. In the fourth quarter, Philip Morris Intl showed an EPS of $1.39, compared to $1.35 from the year-ago quarter. The current stock performance of Philip Morris Intl shows a 52-week-high of $109.81 and a 52-week-low of $82.85. Moreover, at the end of the last trading period, the closing price was at $97.30.   
Morgan Stanley upgraded the previous rating for Sarepta Therapeutics Inc (NASDAQ:SRPT) from Equal-Weight to Overweight. For the fourth quarter, Sarepta Therapeutics had an EPS of $0.53, compared ...Full story available on Benzinga.com",2023-03-01 15:00:50+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/03/31126674/benzingas-top-ratings-upgrades-downgrades-for-march-1-2023,Benzinga,-0.024747474747474754,0.11565656565656567,neutral,0.024747474747474754,False,True,True,False,False,False,False,False,0.0,5711,"['AVTE', 'SM', 'SCYX', 'DICE', 'SPR', 'GO', 'BLDR', 'WRBY', 'TRU', 'IHRT', 'CENX', 'OLPX', 'UHS', 'MQ', 'COLB', 'EVEX', 'KMI', 'PR', 'MKSI', 'AMRC', 'APTX', 'NTES', 'SHLS', 'GOSS', 'NVAX', 'FA', 'KTB', 'NYMT', 'SRPT', 'OCGN', 'RRGB', 'VTNR', 'CALT', 'BTE', 'AMBA', 'PLTR', 'JNJ', 'AMBA', 'KDNY', 'ORA', 'ABBV', 'TVTX', 'CPNG', 'PG', 'TILE', 'CPNG', 'PM', 'ABBV', 'BRSP', 'SI', 'ANIP']",BTE,2023-03-01
"Benzinga's Top Ratings Upgrades, Downgrades For March 2, 2023","Upgrades
According to Mizuho, the prior rating for DT Midstream Inc (NYSE:DTM) was changed from Neutral to Buy. In the fourth quarter, DT Midstream showed an EPS of $0.93, compared to $0.89 from the year-ago quarter. The stock has a 52-week-high of $61.12 and a 52-week-low of $45.58. At the end of the last trading period, DT Midstream closed at $50.23.   
For iQIYI Inc (NASDAQ:IQ), B of A Securities upgraded the previous rating of Neutral to Buy. In the fourth quarter, iQIYI showed an EPS of $0.14, compared to $0.35 from the year-ago quarter. The stock has a 52-week-high of $7.99 and a 52-week-low of $1.65. At the end of the last trading period, iQIYI closed at $6.85.   
For Bank of Marin Bancorp (NASDAQ:BMRC), Janney Montgomery Scott upgraded the previous rating of Neutral to Buy. Bank of Marin earned $0.81 in the fourth quarter, compared to $0.66 in the year-ago quarter. The current stock performance of Bank of Marin shows a 52-week-high of $36.78 and a 52-week-low of $28.94. Moreover, at the end of the last trading period, the closing price was at $29.29.   
For Sasol Ltd (NYSE:SSL), RBC Capital upgraded the previous rating of Sector Perform to Outperform. The current stock performance of Sasol shows a 52-week-high of $28.36 and a 52-week-low of $14.32. Moreover, at the end of the last trading period, the closing price was at $15.03.   
For Sandstorm Gold Ltd (NYSE:SAND), RBC Capital upgraded the previous rating of Sector Perform to Outperform. In the fourth quarter, Sandstorm Gold showed an EPS of $0.01, compared to $0.04 from the year-ago quarter. The stock has a 52-week-high of $9.18 and a 52-week-low of $4.51. At the end of the last trading period, Sandstorm Gold closed at $5.03.   
For Salesforce Inc (NYSE:CRM), Needham upgraded the previous rating of Hold to Buy. In the fourth quarter, Salesforce showed an EPS of $1.68, compared to $0.84 from the year-ago quarter. At the moment, the stock has a 52-week-high of $222.16 and a 52-week-low of $126.34. Salesforce closed at $167.35 at the end of the last trading period.   
Keefe, Bruyette & Woods upgraded the previous rating for UWM Holdings Corp (NYSE:UWMC) from Underperform to Market Perform. For the fourth quarter, UWM Hldgs had an EPS of $0.03, compared to year-ago quarter EPS of $0.11. The stock has a 52-week-high of $4.95 and a 52-week-low of $2.84. At the end of the last trading period, UWM Hldgs closed at $4.60.   
For PDD Holdings Inc (NASDAQ:PDD), Morgan Stanley upgraded the previous rating of Equal-Weight to Overweight. In the third quarter, PDD Holdings showed an EPS of $1.21, compared to $0.34 from the year-ago quarter. At the moment, the stock has a 52-week-high of $106.38 and a 52-week-low of $23.21. PDD Holdings closed at $91.04 at the end of the last trading period.   
According to Atlantic Equities, the prior rating for MarketAxess Holdings Inc (NASDAQ:MKTX) was changed from Neutral to Overweight. MarketAxess Holdings earned $1.58 in the fourth quarter, compared to $1.37 in the year-ago quarter. The current stock performance of MarketAxess Holdings shows a 52-week-high of $390.12 and a 52-week-low of $217.44. Moreover, at the end of the last trading period, the closing price was at $347.27.   
See all analyst ratings upgrades.
Downgrades
For HF Sinclair Corp (NYSE:DINO), TD Cowen downgraded the previous rating of Outperform to Market Perform. For the fourth quarter, HF Sinclair had an EPS of $2.97, compared to year-ago quarter EPS of $0.11. At the moment, the stock has a 52-week-high of $66.19 and a 52-week-low of $34.17. HF Sinclair closed at $51.51 at the end of the last trading period.   
For Myers Industries Inc (NYSE:MYE), TD Cowen downgraded the previous rating of Outperform to Market Perform. In the fourth quarter, Myers Indus showed an EPS of $0.32, compared to $0.23 from the year-ago quarter. The current stock performance of Myers Indus shows a 52-week-high of $26.49 and a 52-week-low of $15.82. Moreover, at the end of the last trading period, the closing price was at $21.87.   
Barrington Research downgraded the previous rating for TTEC Holdings Inc (NASDAQ:TTEC) from Outperform to Market Perform. TTEC Holdings earned $0.89 in the fourth quarter, compared to $1.08 in the year-ago quarter. The stock has a 52-week-high of $88.48 and a 52-week-low of $39.50. At the end of the last trading period, TTEC Holdings closed at $40.41.   
For NIO Inc (NYSE:NIO), Barclays downgraded the previous rating of Overweight to Equal-Weight. For the fourth quarter, NIO had an EPS of $0.44, compared to year-ago quarter EPS of $0.16. The current stock performance of NIO shows a 52-week-high of $24.43 and a 52-week-low of $8.38. Moreover, at the end of the last trading period, the closing price was at $8.83.   
According to Odeon Capital, the prior rating for Capital One Financial Corp (NYSE:COF) was changed from Hold to Sell. For the fourth quarter, Capital One Finl had an EPS of $2.82, compared to year-ago quarter EPS of $5.41. The stock has a 52-week-high of $152.49 and a 52-week-low of $86.98. At the end of the last trading period, Capital One Finl closed at $108.58.   
For Baytex Energy Corp (NYSE:BTE), Raymond James downgraded the previous rating of Outperform to Market Perform. The current stock performance of Baytex Energy shows a 52-week-high of $4.40 and a 52-week-low of $3.86. Moreover, at the end of the last trading period, the closing price was at $3.96.   
For Focus Financial Partners Inc (NASDAQ:FOCS), Keefe, Bruyette & Woods downgraded the previous rating of Outperform to Market Perform. ...Full story available on Benzinga.com",2023-03-02 15:00:53+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/03/31171192/benzingas-top-ratings-upgrades-downgrades-for-march-2-2023,Benzinga,-0.0343915343915344,0.11693121693121696,neutral,0.0343915343915344,False,True,True,False,False,False,False,False,0.0,5667,"['SCM', 'MYE', 'CEQP', 'OKE', 'CEQP', 'PDD', 'RGS', 'SEDG', 'ARRY', 'SI', 'AXON', 'BMRC', 'SSL', 'WDC', 'IQ', 'COLB', 'WF', 'DINO', 'DLTR', 'GNRC', 'FOCS', 'MKTX', 'KKR', 'NIO', 'NOVA', 'KMI', 'MRNA', 'TTEC', 'CG', 'UWMC', 'BTE', 'SPWR', 'XMTR', 'COF', 'ENPH', 'DTM', 'CRM', 'ON', 'STGW', 'EPD', 'SAND', 'KNTK', 'LEN', 'SCM', 'GETR', 'MEG']",BTE,2023-03-02
Should Value Investors Buy Baytex Energy (BTE) Stock?,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",2023-03-10 14:40:10+00:00,https://www.zacks.com/stock/news/2064179/should-value-investors-buy-baytex-energy-bte-stock,Zacks Investment Research,0.23333333333333334,0.8208333333333333,positive,0.23333333333333334,True,True,False,False,False,False,False,False,0.0,318,['BTE'],BTE,2023-03-10
"Benzinga's Top Ratings Upgrades, Downgrades For April 11, 2023","Upgrades
For Meta Platforms Inc (NASDAQ:META), OTR Global upgraded the previous rating of Mixed to Positive. Meta Platforms earned $1.76 in the fourth quarter, compared to $3.67 in the year-ago quarter. At the moment, the stock has a 52-week-high of $216.94 and a 52-week-low of $88.10. Meta Platforms closed at $214.75 at the end of the last trading period.   
According to SMBC Nikko, the prior rating for Shift4 Payments Inc (NYSE:FOUR) was changed from Neutral to Outperform. For the fourth quarter, Shift4 Payments had an EPS of $0.47, compared to year-ago quarter EPS of $0.08. The stock has a 52-week-high of $76.40 and a 52-week-low of $29.41. At the end of the last trading period, Shift4 Payments closed at $72.16.   
SMBC Nikko upgraded the previous rating for Nuvei Corp (NASDAQ:NVEI) from Neutral to Outperform. In the fourth quarter, Nuvei showed an EPS of $0.47, compared to $0.47 from the year-ago quarter. The current stock performance of Nuvei shows a 52-week-high of $69.71 and a 52-week-low of $23.72. Moreover, at the end of the last trading period, the closing price was at $40.38.   
JP Morgan upgraded the previous rating for U.S. Xpress Enterprises Inc (NYSE:USX) from Underweight to Neutral. For the fourth quarter, U.S. Xpress Enterprises had an EPS of $0.18, compared to year-ago quarter EPS of $0.03. The current stock performance of U.S. Xpress Enterprises shows a 52-week-high of $6.03 and a 52-week-low of $1.33. Moreover, at the end of the last trading period, the closing price was at $5.95.   
According to RBC Capital, the prior rating for Baytex Energy Corp (NYSE:BTE) was changed from Sector Perform to Outperform. The current stock performance of Baytex Energy shows a 52-week-high of $4.40 and a 52-week-low of $3.02. Moreover, at the end of the last trading period, the closing price was at $3.88.   
For Murphy Oil Corp (NYSE:MUR), Truist Securities upgraded the previous rating of Hold to Buy. In the fourth quarter, Murphy Oil showed an EPS of $1.10, compared to $0.40 from the year-ago quarter. The current stock performance of Murphy Oil shows a 52-week-high of $51.26 and a 52-week-low of $25.97. Moreover, at the end of the last trading period, the closing price was at $38.71.   
According to Evercore ISI Group, the prior rating for Zimmer Biomet Holdings Inc (NYSE:ZBH) was changed from In-Line to Outperform. For the fourth quarter, Zimmer Biomet Holdings had an EPS of $1.88, compared to year-ago quarter EPS of $1.95. The current stock performance of Zimmer Biomet Holdings shows a 52-week-high of $135.00 and a 52-week-low of $100.41. Moreover, at the end of the last trading period, the closing price was at $128.15.   
According to Stephens & Co., the prior rating for West Pharmaceutical Services Inc (NYSE:WST) was changed from Equal-Weight to Overweight. For the fourth quarter, West Pharmaceutical Servs had an EPS of $1.77, compared to year-ago quarter EPS of $2.04. The stock has a 52-week-high of $421.10 and a 52-week-low of $207.15. At the end of the last trading period, West Pharmaceutical Servs closed at $349.79.   
For WW International Inc (NASDAQ:WW), Goldman Sachs upgraded the previous rating of Neutral to Buy. In the fourth quarter, WW International showed an EPS of $0.01, compared to $0.35 from the year-ago quarter. The current stock performance of WW International shows a 52-week-high of $11.03 and a 52-week-low of $3.28. Moreover, at the end of the last trading period, the closing price was at $4.12.   
For Kazia Therapeutics Ltd (NASDAQ:KZIA), HC Wainwright & Co. upgraded the previous rating of Neutral to Buy. NoneThe current stock performance of Kazia Therapeutics shows a 52-week-high of $8.43 and a 52-week-low of $0.50. Moreover, at the end of the last trading period, the closing price was at $1.09.   
Evercore ISI Group upgraded the previous rating for Welltower Inc (NYSE:WELL) from In-Line to Outperform. Welltower earned $0.83 in the fourth quarter, compared to $0.83 in the year-ago quarter. At the moment, the stock has a 52-week-high of $98.33 and a 52-week-low of $56.54. Welltower closed at $72.82 at the end of the last trading period.   
According to Compass Point, the prior rating for MGIC Investment Corp (NYSE:MTG) was changed from Neutral to Buy. For the fourth quarter, MGIC Investment had an EPS of $0.64, compared to year-ago quarter EPS of $0.61. At the moment, the stock has a 52-week-high of $15.71 and a 52-week-low of $11.38. MGIC Investment closed at $13.26 at the end of the last trading period.   
Compass Point upgraded the previous rating for Radian Group Inc (NYSE:RDN) from Neutral to Buy. Radian Group earned $1.05 in the fourth quarter, compared to $1.07 in the year-ago quarter. The current stock performance of Radian Group shows a 52-week-high of $23.84 and a 52-week-low of $17.84. Moreover, at the end of the last trading period, the closing price was at $21.98.   
For Mohawk Industries Inc (NYSE:MHK), Loop Capital upgraded the previous rating of Hold to Buy. In the fourth quarter, Mohawk Industries showed an EPS of $1.32, compared to $2.95 from the year-ago quarter. The current stock performance of Mohawk Industries shows a 52-week-high of $158.88 and a 52-week-low of $87.25. Moreover, at the end of the last trading period, the closing price was at $94.72.   
For Range Resources Corp (NYSE:RRC), Wells Fargo upgraded the previous rating of Equal-Weight to Overweight. In the fourth quarter, Range Resources showed an EPS of $1.30, compared to $0.96 from the year-ago quarter. The ...Full story available on Benzinga.com",2023-04-11 15:00:39+00:00,https://www.benzinga.com/analyst-ratings/upgrades/23/04/31747684/benzingas-top-ratings-upgrades-downgrades-for-april-11-2023,Benzinga,-0.0162405303030303,0.1311789772727273,neutral,0.0162405303030303,False,True,True,False,False,False,False,False,0.0,5625,"['NVEI', 'MUR', 'AR', 'RDN', 'VIRT', 'GDDY', 'AKAM', 'RRC', 'SHOP', 'ARRY', 'SWN', 'ZBH', 'CORT', 'WHR', 'RCM', 'CSWC', 'WST', 'ROKU', 'MANH', 'WW', 'BFI', 'NDAQ', 'HRZN', 'AY', 'SMTC', 'AR', 'KZIA', 'BTE', 'USX', 'META', 'EQT', 'FOUR', 'CHWY', 'FHI', 'UPST', 'BMBL', 'FNA', 'WELL', 'HIMS', 'LEG', 'MTCH', 'SQSP', 'MHK', 'CCAP', 'TMCI', 'MTG', 'LC']",BTE,2023-04-11
Are Investors Undervaluing Baytex Energy (BTE) Right Now?,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",2023-04-12 13:40:13+00:00,https://www.zacks.com/stock/news/2077489/are-investors-undervaluing-baytex-energy-bte-right-now,Zacks Investment Research,0.24380952380952378,0.7638095238095238,positive,0.24380952380952378,True,False,False,False,False,False,False,False,0.0,322,"['BTE', 'CPG']",BTE,2023-04-12
3 Canadian E&P Stocks That Should be on Investors' Radar,"There might be road bumps on the way, but Zacks Oil and Gas - Exploration and Production - Canadian operators like CNQ, CPG and BTE are still worth considering.",2023-04-17 13:37:00+00:00,https://www.zacks.com/commentary/2079538/3-canadian-ep-stocks-that-should-be-on-investors-radar,Zacks Investment Research,0.3,0.1,positive,0.3,False,False,False,False,True,False,False,False,0.0,218,"['CNQ', 'BTE', 'CPG']",BTE,2023-04-17
"Zacks Industry Outlook Highlights Canadian Natural Resources, Crescent Point Energy and Baytex Energy","Canadian Natural Resources, Crescent Point Energy and Baytex Energy are part of the Zacks Industry Outlook article.",2023-04-18 12:49:00+00:00,https://www.zacks.com/stock/news/2080351/zacks-industry-outlook-highlights-canadian-natural-resources-crescent-point-energy-and-baytex-energy,Zacks Investment Research,0.1,0.4,neutral,0.1,False,False,False,False,False,False,False,False,0.0,218,"['CNQ', 'BTE', 'CPG']",BTE,2023-04-18
Alberta wildfires halt some energy companies’ operations,"A number of energy companies, including Cenovus Energy and Obsidian Energy, halted some operations due to Alberta wildfires.",2023-05-08 23:40:00+00:00,https://www.marketwatch.com/story/alberta-wildfires-stifle-some-energy-companies-operations-8db5b438,MarketWatch,-0.125,0.375,negative,0.125,False,False,False,False,False,False,False,False,0.0,182,"['CVE', 'OBE', 'PBA', 'BTE', 'CPG']",BTE,2023-05-08
