title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Is Recovery in the Cards for Welltower (WELL) in Q1 Earnings?,"Despite increased coverage of vaccine administration among senior housing residents, Welltower (WELL) witnesses a significant occupancy decline at its senior housing operating portfolio in Q1.",2021-04-26 16:02:00+00:00,http://www.zacks.com/stock/news/1457021/is-recovery-in-the-cards-for-welltower-well-in-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1457021,Zacks Investment Research,0.375,0.875,positive,0.375,True,False,False,False,False,False,False,False,0.0,255,"['VTR', 'SNR', 'WELL', 'DHC']",VTR,2021-04-26
About to Buy a Penny Stock? Look at These 3 Companies First,"Penny stocks are a high-risk, high-reward venture that most should avoid. But if the idea excites you, perhaps you'd like these companies instead.",2021-04-29 11:02:00+00:00,https://www.fool.com/investing/2021/04/29/about-to-buy-penny-stocks-look-at-these-3-companie/?source=iedfolrf0000001,The Motley Fool,0.375,0.41666666666666663,positive,0.375,False,True,False,False,False,False,False,False,0.0,207,"['VTR', 'PEAK', 'OHI']",VTR,2021-04-29
Ventas (VTR) to Post Q1 Earnings: What's in the Offing?,"While the gradual rebound in clinical activity is expected to have supported Ventas' (VTR) office segment performance, the pandemic-led concerns continued to be setbacks for its seniors housing business.",2021-05-04 16:11:00+00:00,http://www.zacks.com/stock/news/1499789/ventas-vtr-to-post-q1-earnings-whats-in-the-offing?cid=CS-ZC-FT-analyst_blog|earnings_preview-1499789,Zacks Investment Research,-0.1,0.4,neutral,0.1,True,False,False,False,False,False,False,False,0.0,260,"['VTR', 'SNR', 'WELL', 'DHC']",VTR,2021-05-04
"Lamar (LAMR) Beats Q1 Revenue Estimates, Raises 2021 View",Lamar's (LAMR) Q1 results reflect higher-than-anticipated revenues. The REIT also raised its prior guidance for 2021 on anticipated continued recovery from the pandemic.,2021-05-05 13:58:00+00:00,http://www.zacks.com/stock/news/1504720/lamar-lamr-beats-q1-revenue-estimates-raises-2021-view?cid=CS-ZC-FT-analyst_blog|earnings_article-1504720,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,228,"['LAMR', 'VTR', 'CLI', 'OUT']",VTR,2021-05-05
"Earnings Scheduled For May 7, 2021","Companies Reporting Before The Bell
• Cronos Group (NASDAQ:CRON) is likely to report earnings for its first quarter.
• Eaton Vance Municipal (NYSE:ETX) is expected to report earnings for its first quarter.
• Ocugen (NASDAQ:OCGN) is estimated to report quarterly earnings at $0.49 per share on revenue of $78.10 million.
• Sprott (NYSE:SII) is expected to report quarterly earnings at $0.31 per share on revenue of $32.20 million.
• Construction Partners (NASDAQ:ROAD) is projected to report quarterly earnings at $0.08 per share on revenue of $201.03 million.
• Hudson Global (NASDAQ:HSON) is projected to report quarterly loss at $0.04 per share on revenue of $29.50 million.
• Mednax (NYSE:MD) is estimated to report quarterly earnings at $0.13 per share on revenue of $424.13 million.
• Cenovus Energy (NYSE:CVE) is expected to report quarterly loss at $0.02 per share on revenue of $3.57 billion.
• Brookfield Property REIT (NASDAQ:BPYU) is estimated to report earnings for its first quarter.
• Overseas Shipholding Gr (NYSE:OSG) is projected to report earnings for its first quarter.
• Liberty Formula One Group (NASDAQ:FWONK) is estimated to report quarterly loss at $0.43 per share on revenue of $130.67 million.
• Liberty SiriusXM Gr (NASDAQ:LSXMA) is estimated to report quarterly earnings at $0.67 per share on revenue of $1.98 billion.
• AerSale (NASDAQ:ASLE) is estimated to report quarterly loss at $0.05 per share on revenue of $59.20 million.
• TELUS International (NYSE:TIXT) is projected to report quarterly earnings at $0.20 per share on revenue of $500.30 million.
• Enerplus (NYSE:ERF) is likely to report quarterly earnings at $0.14 per share on revenue of $169.20 million.
• Gatos Silver (NYSE:GATO) is estimated to report earnings for its first quarter.
• Liberty SiriusXM Gr (NASDAQ:LSXMK) is estimated to report quarterly earnings at $0.10 per share on revenue of $2.06 billion.
• TC Energy (NYSE:TRP) is estimated to report quarterly earnings at $1.11 per share on revenue of $3.54 billion.
• DraftKings (NASDAQ:DKNG) is expected to report quarterly loss at $0.41 per share on revenue of $230.68 million.
• Liberty Formula One Group (NASDAQ:FWONA) is estimated to report quarterly loss at $0.41 per share on revenue of $130.67 million.
• Nikola (NASDAQ:NKLA) is likely to report earnings for its first quarter.
• Meridian Bioscience (NASDAQ:VIVO) is likely to report quarterly earnings at $0.48 per share on revenue of $84.48 million.
• Northern Oil & Gas (AMEX:NOG) is projected to report quarterly earnings at $0.60 per share on revenue of $135.87 million.
• Tecnoglass (NASDAQ:TGLS) is likely to report quarterly earnings at $0.22 per share on revenue of $98.39 million.
• Spire (NYSE:SR) is estimated to report quarterly earnings at $3.08 per share on revenue of $773.16 million.
• Plymouth Industrial REIT (NYSE:PLYM) is estimated to report quarterly loss at $0.25 per share on revenue of $30.58 million.
• ModivCare (NASDAQ:MODV) is likely to report quarterly earnings at $1.60 per share on revenue of $483.06 million.
• Marcus & Millichap (NYSE:MMI) is projected to report quarterly earnings at $0.19 per share on revenue of $172.61 million.
• Hyatt Hotels (NYSE:H) is ...Full story available on Benzinga.com",2021-05-07 08:12:39+00:00,https://www.benzinga.com/news/earnings/21/05/21007713/earnings-scheduled-for-may-7-2021,Benzinga,0.07894736842105263,0.5263157894736842,neutral,0.07894736842105263,True,False,False,False,False,False,False,False,0.0,3277,"['LXP', 'CRON', 'NOG', 'STNG', 'AXL', 'PLYM', 'MD', 'QRTEA', 'RMR', 'AMCX', 'CCJ', 'UNVR', 'HCHC', 'MGI', 'ROAD', 'SVC', 'ELAN', 'CI', 'DS', 'NPO', 'AVNS', 'BWEN', 'HSON', 'CNK', 'LTRPA', 'OSG', 'OCGN', 'CLMT', 'AMRX', 'ENB', 'AC', 'SII', 'BPYU', 'CNTY', 'SMLP', 'ERF', 'LBRDA', 'SR', 'DKNG', 'DXPE', 'TILE', 'FF', 'LBRDK', 'SSP', 'NKLA', 'INTT', 'ATH', 'FLR', 'GCI', 'ETX', 'TRP', 'GATO', 'JOUT', 'BPY', 'GLP', 'LSXMA', 'VRS', 'ASLE', 'PFSW', 'ESNT', 'GVA', 'BATRA', 'VTR', 'MODV', 'RUTH', 'MMI', 'HE', 'LSXMK', 'H', 'TIXT', 'SIFY', 'ANIP', 'IEP', 'BATRK', 'CVE', 'VIVO', 'IBP', 'ITT', 'FWONK', 'AUD', 'ZEUS', 'CIO', 'KOP', 'FWONA', 'SPB', 'ABR', 'RDUS', 'LEA', 'DSKE', 'NFE', 'AP', 'TGLS']",VTR,2021-05-07
Ventas (VTR) Tops Q1 FFO and Revenue Estimates,"Ventas (VTR) delivered FFO and revenue surprises of 2.86% and 1.01%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-07 12:15:04+00:00,http://www.zacks.com/stock/news/1515254/ventas-vtr-tops-q1-ffo-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1515254,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,224,['VTR'],VTR,2021-05-07
"Ventas (VTR) Q1 FFO Beats, Senior Housing Occupancy Dips","While Ventas' (VTR) office portfolio displays marginal net operating income growth, declining occupancy at its senior housing operating portfolio continues to be a deterrent in Q1.",2021-05-07 12:38:00+00:00,http://www.zacks.com/stock/news/1515678/ventas-vtr-q1-ffo-beats-senior-housing-occupancy-dips?cid=CS-ZC-FT-analyst_blog|earnings_article-1515678,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,238,"['HIW', 'BXP', 'PSB', 'VTR']",VTR,2021-05-07
Ventas Inc (VTR) Q1 2021 Earnings Call Transcript,"VTR earnings call for the period ending March 31, 2021.",2021-05-07 22:31:11+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/07/ventas-inc-vtr-q1-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,106,['VTR'],VTR,2021-05-07
Shortages Of Everything,Real estate equities were mixed amid the busiest week of earnings with 100 REITs reporting results. Seven REITs boosted their dividends this past week while earnings continue to impress.,2021-05-08 17:00:00+00:00,https://seekingalpha.com/article/4425948-shortages-of-everything?source=feed,Seeking Alpha,-0.016666666666666663,0.26666666666666666,neutral,0.016666666666666663,True,False,False,False,False,True,False,False,0.0,211,"['EQC', 'MNR', 'AMH', 'CPLG', 'APLE', 'PEB', 'HST', 'PK', 'REG', 'BRX', 'FRT', 'RPT', 'DHC', 'VTR', 'LXP', 'PLYM', 'TRNO', 'COLD', 'NNN', 'EPR', 'SRC', 'STOR', 'O', 'PEI', 'SKT', 'LSI', 'NSA', 'LAMR', 'OUT', 'SPG', 'MAC', 'NHI', 'GEO', 'BRG', 'APTS', 'AFCG', 'BRMK', 'CLNC', 'AJX', 'ABR', 'EARN', 'CIM', 'ACRE', 'ACR', 'TRTX', 'TWO', 'IVR', 'HASI', 'PFFR', 'RC', 'EQIX', 'EXR', 'ADC', 'PEAK']",VTR,2021-05-08
The Ratings Game: Ventas double upgraded by long-time bear as seniors housing business sees ‘convincing turn’,"Shares of Ventas Inc. surged Thursday, after KeyBanc Capital analyst Jordan Sadler swung to bullish from bearish, citing the ""convincing turn in fundamentals"" in the company's senior housing portfolio.",2021-05-14 10:56:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B20C05575-04D4-B545-7418-CEAB77247C49%7D&siteid=rss&rss=1,MarketWatch,0.15,0.6,positive,0.15,False,False,False,False,False,False,False,False,0.0,312,"['VTR', 'XLRE']",VTR,2021-05-14
