title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Pinnacle West (PNW) Earnings Expected to Grow: Should You Buy?,Pinnacle West (PNW) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-04-28 16:34:17+00:00,http://www.zacks.com/stock/news/1468040/pinnacle-west-pnw-earnings-expected-to-grow-should-you-buy?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1468040,Zacks Investment Research,0.03714285714285714,0.7871428571428571,neutral,0.03714285714285714,True,True,False,False,False,False,False,False,0.0,239,['PNW'],PNW,2021-04-28
Pinnacle West (PNW) to Post Q1 Earnings: What's in Store?,Pinnacle West's (PNW) Q1 results are likely to reflect growing demand and an expanding customer base along with favorable economy in Arizona.,2021-04-30 17:19:00+00:00,http://www.zacks.com/stock/news/1479958/pinnacle-west-pnw-to-post-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1479958,Zacks Investment Research,-0.4,1.0,negative,0.4,True,False,False,False,False,False,False,False,0.0,200,"['CNP', 'PNW', 'DUK', 'AWK']",PNW,2021-04-30
Pinnacle West (PNW) Tops Q1 Earnings and Revenue Estimates,"Pinnacle West (PNW) delivered earnings and revenue surprises of 28.00% and 1.54%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-05 13:45:02+00:00,http://www.zacks.com/stock/news/1504380/pinnacle-west-pnw-tops-q1-earnings-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1504380,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,249,['PNW'],PNW,2021-05-05
Pinnacle West's (PNW) Q1 Earnings & Revenues Beat Estimates,"Pinnacle West Capital (PNW) reports better-than-expected first-quarter results. On the back of strong growth in Arizona, earnings and revenues improve on a year-over-year basis.",2021-05-05 17:06:00+00:00,http://www.zacks.com/stock/news/1505525/pinnacle-wests-pnw-q1-earnings-revenues-beat-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1505525,Zacks Investment Research,0.21666666666666665,0.36666666666666664,positive,0.21666666666666665,True,False,False,False,False,False,False,False,0.0,238,"['FE', 'AEP', 'PNW', 'NEE']",PNW,2021-05-05
Pinnacle West Capital Corp (PNW) Q1 2021 Earnings Call Transcript,"PNW earnings call for the period ending March 31, 2021.",2021-05-05 18:31:00+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/05/pinnacle-west-capital-corp-pnw-q1-2021-earnings-ca/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,122,['PNW'],PNW,2021-05-05
How Does Pinnacle West Capital's Debt Look?,"Shares of Pinnacle West Capital (NYSE:PNW) rose by 11.79% in the past three months. Before having a look at the importance of debt, let us look at how much debt Pinnacle West Capital has.
Pinnacle West Capital's Debt
According to the Pinnacle West Capital's most recent financial statement as reported on February 24, 2021, total debt is at $6.54 billion, with $6.31 billion in long-term debt and $225.96 million in current debt. Adjusting for $59.97 million in cash-equivalents, the company has a net debt of $6.48 billion.
Let's define some of the terms we used in the paragraph above. Current debt is the portion of a company's debt which is due within ...Full story available on Benzinga.com",2021-05-18 14:27:59+00:00,https://www.benzinga.com/news/21/05/21178059/how-does-pinnacle-west-capitals-debt-look,Benzinga,0.10192307692307694,0.35192307692307695,positive,0.10192307692307694,False,False,False,False,False,True,False,False,0.0,740,['PNW'],PNW,2021-05-18
"If You Want Growth, Income, And Safety, Then Consider Pinnacle West Capital","Pinnacle West Capital enjoys a growing customer base, and has an ambitious clean energy target. It's an ideal choice for income investors who also seek growth, with far less volatility.",2021-05-20 04:02:27+00:00,https://seekingalpha.com/article/4430079-pinnacle-west-capital-if-you-want-growth-income-safety-consider-this-stock?source=feed,Seeking Alpha,0.10833333333333334,0.7527777777777778,positive,0.10833333333333334,False,False,False,False,False,False,False,False,0.0,262,['PNW'],PNW,2021-05-20
FirstEnergy (FE) Gains From Investments & Clean Energy Goals,"FirstEnergy's (FE) strong residential customer base and capital deployment to infrastructural development are expected to drive its earnings. Also, its focus on reducing emissions acts as a tailwind.",2021-05-26 17:24:00+00:00,http://www.zacks.com/stock/news/1609773/firstenergy-fe-gains-from-investments-clean-energy-goals?cid=CS-ZC-FT-analyst_blog|zer_report_update-1609773,Zacks Investment Research,-0.025,0.7083333333333334,neutral,0.025,True,False,False,False,False,False,False,False,0.0,261,"['FE', 'CMS', 'PNW', 'LNT']",PNW,2021-05-26
Entergy (ETR) Sells Indian Point to Holtec International,Entergy (ETR) completes the previously-announced sale of its Indian Point Energy Center to a Holtec International unit.,2021-05-31 17:06:00+00:00,http://www.zacks.com/stock/news/1634859/entergy-etr-sells-indian-point-to-holtec-international?cid=CS-ZC-FT-analyst_blog|company_news_-_energy_sector-1634859,Zacks Investment Research,-0.03333333333333333,0.03333333333333333,neutral,0.03333333333333333,False,False,False,False,False,False,False,False,0.0,177,"['CMS', 'PNW']",PNW,2021-05-31
Why Is Pinnacle West (PNW) Up 1.6% Since Last Earnings Report?,Pinnacle West (PNW) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,2021-06-04 15:31:57+00:00,http://www.zacks.com/stock/news/1655414/why-is-pinnacle-west-pnw-up-16-since-last-earnings-report?cid=CS-ZC-FT-realtime_blog-1655414,Zacks Investment Research,0.0,0.03333333333333333,neutral,0.0,True,False,False,False,False,False,False,False,0.0,194,['PNW'],PNW,2021-06-04
