title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Chegg (CHGG) Reports Next Week: Wall Street Expects Earnings Growth,Chegg (CHGG) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-04-26 16:31:16+00:00,http://www.zacks.com/stock/news/1456931/chegg-chgg-reports-next-week-wall-street-expects-earnings-growth?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1456931,Zacks Investment Research,0.05714285714285714,0.7071428571428571,neutral,0.05714285714285714,True,False,False,False,False,False,False,False,0.0,237,['CHGG'],CHGG,2021-04-26
Buy Chegg Stock at a Discount Before Q1 Earnings?,"Chegg stock has taken a hit and is trading roughly 20% below its highs heading into its first quarter financial release on Monday, May 3...",2021-04-29 23:44:00+00:00,http://www.zacks.com/stock/news/1475771/buy-chegg-stock-at-a-discount-before-q1-earnings?cid=CS-ZC-FT-stocks_in_the_news|earnings_preview-1475771,Zacks Investment Research,0.049999999999999996,0.24444444444444446,neutral,0.049999999999999996,True,True,False,False,True,False,False,False,0.0,190,"['AMZN', 'GOOGL', 'CHGG']",CHGG,2021-04-29
Chegg Earnings: 1 Key Metric You'll Want to Know,The student learning services company reports first-quarter results on May 3.,2021-04-30 12:54:00+00:00,https://www.fool.com/investing/2021/04/30/chegg-earnings-1-key-metric-youll-want-to-know/?source=iedfolrf0000001,The Motley Fool,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,127,['CHGG'],CHGG,2021-04-30
"Earnings Scheduled For May 3, 2021","Companies Reporting Before The Bell
• Scienjoy Holding (NASDAQ:SJ) is estimated to report quarterly earnings at $0.58 per share on revenue of $540.11 million.
• DZS (NASDAQ:DZSI) is estimated to report quarterly loss at $0.22 per share on revenue of $71.90 million.
• Enel Americas (NYSE:ENIA) is projected to report quarterly earnings at $0.18 per share on revenue of $2.99 billion.
• loanDepot (NYSE:LDI) is likely to report quarterly earnings at $0.58 per share on revenue of $1.02 billion.
• ON Semiconductor (NASDAQ:ON) is expected to report quarterly earnings at $0.33 per share on revenue of $1.46 billion.
• Enterprise Prods Partners (NYSE:EPD) is likely to report quarterly earnings at $0.48 per share on revenue of $7.18 billion.
• Estee Lauder Cos (NYSE:EL) is projected to report quarterly earnings at $1.31 per share on revenue of $3.93 billion.
• CNA Financial (NYSE:CNA) is estimated to report quarterly earnings at $0.88 per share on revenue of $2.85 billion.
• Green Plains (NASDAQ:GPRE) is likely to report quarterly loss at $0.64 per share on revenue of $625.22 million.
• Bel Fuse (NASDAQ:BELFB) is expected to report quarterly earnings at $0.06 per share on revenue of $108.00 million.
• Ceragon Networks (NASDAQ:CRNT) is expected to report quarterly loss at $0.03 per share on revenue of $64.55 million.
• Bel Fuse (NASDAQ:BELFA) is likely to report quarterly earnings at $0.02 per share on revenue of $108.00 million.
• Akoustis Technologies (NASDAQ:AKTS) is estimated to report quarterly loss at $0.28 per share on revenue of $2.25 million.
• WEC Energy Gr (NYSE:WEC) is likely to report quarterly earnings at $1.47 per share on revenue of $2.31 billion.
• Itron (NASDAQ:ITRI) is expected to report quarterly earnings at $0.42 per share on revenue of $535.25 million.
• Karyopharm Therapeutics (NASDAQ:KPTI) is projected to report quarterly loss at $0.71 per share on revenue of $25.17 million.
• Alexander's (NYSE:ALX) is likely to report earnings for its first quarter.
• PetMed Express (NASDAQ:PETS) is expected to report quarterly earnings at $0.40 per share on revenue of $74.03 million.
• DSP Group (NASDAQ:DSPG) is likely to report quarterly earnings at $0.05 per share on revenue of $31.90 million.
• Green Plains Partners (NASDAQ:GPP) is likely to report quarterly earnings at $0.47 per share on revenue of $21.55 million.
• GlycoMimetics (NASDAQ:GLYC) is expected to report earnings for its first quarter.
• Enable Midstream Partners (NYSE:ENBL) is likely to report quarterly earnings at $0.17 per share on revenue of $764.21 million.
• Sterling Bancorp (NASDAQ:SBT) is likely to report quarterly earnings at $0.02 per share on revenue of $25.13 million.
• Loews (NYSE:L) is projected to report earnings for its first quarter.
 
Companies Reporting After The Bell
• Centerspace (NYSE:CSR) is projected to report quarterly loss at $0.38 per share on revenue of $46.03 million.
• Maxar Technologies (NYSE:MAXR) is estimated to report quarterly earnings at $1.06 per share on revenue of $560.30 million.
• Livent (NYSE:LTHM) is projected to report quarterly earnings at $0.01 per share on revenue of $82.13 million.
• Essential Props Realty (NYSE:EPRT) is estimated to report quarterly earnings at $0.10 per share on revenue of $46.49 million.
• CVR Partners (NYSE:UAN) is likely to report earnings for its first quarter.
• SeaSpine Holdings (NASDAQ:SPNE) is projected to report quarterly loss at $0.33 per share on revenue of $40.23 million.
• Ballard Power Systems (NASDAQ:BLDP) is estimated to report earnings for its first quarter.
• Suncor Energy (NYSE:SU) is estimated to report quarterly earnings at $0.35 per share on revenue of $8.51 billion.
• ZoomInfo Technologies (NASDAQ:ZI) is expected to report quarterly earnings at $0.10 per share on revenue of $145.50 million.
• TravelCenters Of America (NASDAQ:TA) is likely to report quarterly loss at $0.72 per share on revenue of $1.41 billion.
• trivago (NASDAQ:TRVG) is likely to report quarterly loss at $0.03 per ...Full story available on Benzinga.com",2021-05-03 08:13:04+00:00,https://www.benzinga.com/news/earnings/21/05/20909065/earnings-scheduled-for-may-3-2021,Benzinga,0.018333333333333337,0.6255555555555556,neutral,0.018333333333333337,True,False,False,False,False,False,False,False,0.0,4079,"['O', 'ELVT', 'JKHY', 'WWD', 'EPRT', 'CBT', 'GLYC', 'TA', 'OHI', 'CINR', 'KFRC', 'HNRG', 'LTHM', 'CNA', 'BRX', 'XPO', 'PKI', 'AGR', 'LGND', 'NSP', 'LTRN', 'CR', 'KPTI', 'ATCO', 'RBC', 'LDI', 'MYGN', 'REGI', 'CSR', 'OGS', 'BELFA', 'RIG', 'ENIA', 'NWPX', 'SHLS', 'CVI', 'VRNS', 'BELFB', 'SCI', 'TCMD', 'OTTR', 'SJ', 'EL', 'ENBL', 'BLDP', 'CRNT', 'SHO', 'DZSI', 'PETS', 'HBP', 'EPD', 'VNOM', 'DSPG', 'SU', 'TRVG', 'QGEN', 'BCEI', 'FLS', 'SOI', 'FRPT', 'VNO', 'ZI', 'RMBS', 'EVER', 'IAG', 'UE', 'FSTR', 'WEC', 'NCSM', 'SANM', 'ON', 'IPI', 'SEDG', 'BSM', 'GAIA', 'WMB', 'XELA', 'STRL', 'SIBN', 'ITUB', 'GPP', 'GPRE', 'CC', 'MAXR', 'ADC', 'MFIN', 'KMT', 'BWXT', 'HLIT', 'ADUS', 'SBT', 'ALX', 'FANG', 'L', 'RILY', 'IRBT', 'FN', 'CURO', 'AWK', 'EARN', 'LEG', 'SPNE', 'ITRI', 'PLOW', 'NTR', 'AWR', 'CPTA', 'MOS', 'AKTS', 'IVAC', 'UAN', 'ARGO', 'CAR', 'CHGG', 'MWA']",CHGG,2021-05-03
Chegg (CHGG) Q1 Earnings Lag Estimates,"Chegg (CHGG) delivered earnings and revenue surprises of -9.68% and 7.41%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-03 21:35:07+00:00,http://www.zacks.com/stock/news/1495343/chegg-chgg-q1-earnings-lag-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1495343,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,222,['CHGG'],CHGG,2021-05-03
4 key takeaways from Chegg’s Q1 earnings report,"Chegg Inc. (NYSE: CHGG) said on Monday its revenue topped Wall Street estimates in the fiscal first quarter. The company, however, concluded Q1 with a loss and fell shy of expectations for adjusted per-share earnings. 1. Financial performance Chegg reported £46.89 million of loss in the first quarter that translates to 35.24 pence per share. […]
The post 4 key takeaways from Chegg’s Q1 earnings report appeared first on Invezz.",2021-05-03 21:52:00+00:00,https://invezz.com/news/2021/05/03/4-key-takeaways-from-cheggs-q1-earnings-report/,Invezz,0.03571428571428571,0.5,neutral,0.03571428571428571,True,False,False,False,False,False,False,False,0.0,479,['CHGG'],CHGG,2021-05-03
"Chegg, Inc. 2021 Q1 - Results - Earnings Call Presentation","The following slide deck was published by Chegg, Inc.",2021-05-04 04:56:12+00:00,https://seekingalpha.com/article/4423913-chegg-inc-2021-q1-results-earnings-call-presentation?source=feed,Seeking Alpha,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,113,['CHGG'],CHGG,2021-05-04
26 Stocks Moving in Tuesday's Pre-Market Session,"Gainers

Cocrystal Pharma, Inc. (NASDAQ: COCP) shares rose 60.5% to $1.99 in pre-market trading. Cocrystal Pharma recently announced progress on its COVID-19 antiviral drug candidates that target coronaviruses, including SARS-CoV-2, and it also plans to launch a second COVID-19 program with additional antiviral compounds for development, apart from CDI-45205.
Precipio, Inc. (NASDAQ: PRPO) rose 40% to $6.93 in pre-market trading. Precipio shares surged 172% on Monday after the company successfully launched its COVID-19 rapid antibody test that tests for both IgG & IgM antibodies.
Vaxart, Inc. (NASDAQ: VXRT) rose 22% to $9.79 in pre-market trading after the company said new data obtained from Phase I COVID-19 trial 'added to the evidence' suggesting VXA-CoV2-1 shows broad cross-reactivity against other coronaviruses.
Huttig Building Products, Inc. (NASDAQ: HBP) rose 15.8% to $4.85 in pre-market trading after the company swung to a profit in the first quarter.
51job, Inc. (NASDAQ: JOBS) shares rose 15.1% to $70.57 in pre-market trading as the company reported the receipt of an updated non-binding proposal to acquire the company for $79.05 per share.
Gaucho Group Holdings, Inc. (NASDAQ: VINO) rose 10.4% to $4.34 in pre-market trading after dropping more than 9% in the previous session.
BioLineRx Ltd. (NASDAQ: BLRX) rose 10% to $3.51 in pre-market trading.
Renewable Energy Group, Inc. (NASDAQ: REGI) shares rose 8.5% to ...Full story available on Benzinga.com",2021-05-04 11:01:25+00:00,https://www.benzinga.com/news/21/05/20933240/26-stocks-moving-in-tuesdays-pre-market-session,Benzinga,0.36706649831649824,0.6301136363636363,positive,0.36706649831649824,True,True,True,False,True,False,False,False,0.0,1527,"['SDC', 'BRN', 'ELVT', 'BLDP', 'LMFA', 'DGLY', 'VINO', 'IRBT', 'PRPO', 'ISNS', 'RHE', 'JOBS', 'MAXR', 'SHIP', 'VXRT', 'CVS', 'KTRA', 'MOS', 'MITC', 'BTX', 'REGI', 'BLRX', 'HBP', 'CHGG', 'COCP', 'DBVT']",CHGG,2021-05-04
12 Consumer Discretionary Stocks Moving In Tuesday's Pre-Market Session,"Gainers

Arrival (NASDAQ:ARVL) shares moved upwards by 10.2% to $19.12 during Tuesday's pre-market session.
Build-A-Bear Workshop (NYSE:BBW) shares rose 7.89% to $8.88. The company's market cap stands at $143.2 million.
Chegg (NYSE:CHGG) shares moved upwards by 4.2% to $86.5. The market value of their outstanding shares is at $12.2 billion. As per the press release, Q1 earnings came out yesterday.
Under Armour (NYSE:UA) stock rose 3.57% to $20.59. The market value of their outstanding shares is ...Full story available on Benzinga.com",2021-05-04 12:07:34+00:00,https://www.benzinga.com/pre-market-outlook/21/05/20935188/12-consumer-discretionary-stocks-moving-in-tuesdays-pre-market-session,Benzinga,0.52,0.8099999999999999,positive,0.52,True,False,False,False,True,False,False,False,0.0,612,"['ASO', 'IRBT', 'BBW', 'HZO', 'UA', 'CHGG', 'PRTY', 'NAKD', 'UAA', 'XSPA', 'PLBY', 'ARVL']",CHGG,2021-05-04
New Strong Sell Stocks for May 7th,"AL, FUV, CHGG, OKTA, and SYX have been added to the Zacks Rank #5 (Strong Sell) List on May 7, 2021",2021-05-07 13:48:00+00:00,http://www.zacks.com/stock/news/1515736/new-strong-sell-stocks-for-may-7th?cid=CS-ZC-FT-tale_of_the_tape|new_zacks_5_rank_stocks-1515736,Zacks Investment Research,0.05075757575757571,0.7053030303030303,neutral,0.05075757575757571,False,False,False,False,False,False,False,False,0.0,135,"['SYX', 'AL', 'CHGG', 'OKTA', 'FUV']",CHGG,2021-05-07
