title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"3 Top Monthly-Payers, With Yields Up To 8% This Spring",Closed-end funds (CEFs) provide investors immediate income and diversity. Read more about three of our favorite high-yielding dividend CEFs in the market.,2021-04-27 12:35:00+00:00,https://seekingalpha.com/article/4421243-3-top-monthly-payers-yields-up-to-8-this-spring?source=feed,Seeking Alpha,0.5,0.6666666666666666,positive,0.5,False,False,False,False,False,True,False,False,0.0,210,"['CCD', 'CTT', 'HFRO', 'THQ']",CCD,2021-04-27
5 Best CEFs To Buy This Month (August 2021),"For income investors, closed-end funds remain an attractive investment class that covers a variety of asset classes and promise high distributions and reasonable total returns.",2021-08-14 13:03:00+00:00,https://seekingalpha.com/article/4448635-5-best-cefs-to-buy-this-month-august-2021,Seeking Alpha,0.43200000000000005,0.638,positive,0.43200000000000005,False,True,False,False,False,False,False,False,0.0,221,"['ACV', 'AGD', 'AOD', 'ASG', 'BBN', 'BST', 'BUI', 'CCD', 'CHI', 'CHN', 'CHY', 'EOS', 'ETG', 'FLC', 'FUND', 'GAB', 'GF', 'IFN', 'IGR', 'MCI', 'NFJ', 'NIE', 'RFI', 'RMT', 'RVT', 'SCD', 'STK', 'TWN', 'USA']",CCD,2021-08-14
5 Best CEFs To Buy This Month (September 2021),"We highlight five CEFs that have solid track records, pay high distributions, and are offering excess discounts. Read more to see the five CEFs to buy.",2021-09-18 13:30:00+00:00,https://seekingalpha.com/article/4455496-5-best-cefs-to-buy-september-2021,Seeking Alpha,0.415,0.36,positive,0.415,False,True,False,False,False,False,False,False,0.0,199,"['AEF', 'AGD', 'AOD', 'ASG', 'CCD', 'CHI', 'CHN', 'CHY', 'CSQ', 'DFP', 'EOS', 'ETV', 'FLC', 'GF', 'GLO', 'GLQ', 'IAF', 'IFN', 'NFJ', 'NIE', 'PFD', 'PFO', 'PGP', 'RMT', 'RVT', 'SCD', 'STK', 'SWZ', 'TWN', 'UTF']",CCD,2021-09-18
5 Best CEFs To Buy This Month (November 2021),"Closed-end funds are generally characterized by higher volatility and deeper drawdowns than the broad market. For these reasons, they are not suited for everyone.",2021-11-20 14:31:00+00:00,https://seekingalpha.com/article/4470591-5-best-cefs-to-buy-this-month-november-2021,Seeking Alpha,0.340625,0.403125,positive,0.340625,False,True,False,False,False,False,False,False,0.0,209,"['ACV', 'AEF', 'AGD', 'AOD', 'BST', 'CCD', 'CGO', 'CHI', 'CHN', 'CHY', 'CSQ', 'DFP', 'EOS', 'FDEU', 'GAM', 'GF', 'GLO', 'GLQ', 'IAF', 'IFN', 'NCZ', 'PFL', 'PFO', 'RMT', 'RVT', 'SCD', 'SWZ', 'TWN', 'USA']",CCD,2021-11-20
5 Best CEFs To Buy This Month (December 2021),"In this monthly series, we highlight five CEFs that have solid track records, pay high distributions, and are offering ""excess"" discounts.",2021-12-18 14:00:00+00:00,https://seekingalpha.com/article/4475547-5-best-cefs-to-buy-this-month-december-2021,Seeking Alpha,0.38666666666666666,0.3133333333333333,positive,0.38666666666666666,False,True,False,False,False,False,False,False,0.0,185,"['AGD', 'AOD', 'BST', 'CCD', 'CET', 'CGO', 'CHI', 'CHN', 'CHY', 'EOS', 'ETJ', 'ETO', 'GAM', 'GBAB', 'GF', 'IAF', 'IFN', 'IGR', 'LGI', 'NEV', 'NFJ', 'PDI', 'PFL', 'PFN', 'RMT', 'RVT', 'SCD', 'SWZ', 'TWN', 'UTF']",CCD,2021-12-18
2 Big Dividends To Retire Early - Passive Income,"In this article, we review 2 dividend picks with yields up to 9% which will get you started on your journey towards early retirement. Click here to know them.",2022-04-04 12:10:00+00:00,https://seekingalpha.com/article/4499400-2-big-dividends-retire-early-passive-income,Seeking Alpha,0.06666666666666667,0.2333333333333333,neutral,0.06666666666666667,False,False,False,False,False,True,False,False,0.0,208,"['CCD', 'O']",CCD,2022-04-04
Live Off Dividends With 2 Great Picks,Use this bear market to your advantage; two picks with up to ~10% yields for a happy and healthy retirement. Read more here.,2023-03-08 16:00:00+00:00,https://seekingalpha.com/article/4585128-live-off-dividends-with-2-great-picks,Seeking Alpha,0.5472727272727272,0.65,positive,0.5472727272727272,False,False,False,False,False,True,False,False,0.0,163,"['CCD', 'CIM']",CCD,2023-03-08
"My Income Portfolio - Keep It Simple, Sweetheart","For my investment goals, I have made the choice to focus mainly on CEFs and ETFs, carefully weighing their merits and drawbacks. Read more about my investment goals here.",2023-04-03 15:59:27+00:00,https://seekingalpha.com/article/4591946-my-income-portfolio-keep-it-simple-sweetheart,Seeking Alpha,0.14166666666666666,0.5476190476190477,positive,0.14166666666666666,False,False,False,False,False,False,False,False,0.0,220,"['ARCC', 'BST', 'CCAP', 'CCD', 'CGO', 'EOS', 'ETO', 'EVT', 'GOF', 'HTD', 'JEPI', 'JEPQ', 'PCN', 'PDI', 'PDT', 'PTY', 'QYLD', 'RQI', 'RVT', 'RYLD', 'SPE', 'USOI', 'UTF', 'UTG', 'XFLT', 'XYLD']",CCD,2023-04-03
My 9% Income Portfolio - Nobody Is Perfect,"For years now, I have been employing all my strength in investing in CEFs and ETFs. Check out the performance of all my positions over the course of 2023.",2023-08-22 05:23:37+00:00,https://seekingalpha.com/article/4630135-my-9-percent-income-portfolio-nobody-is-perfect,Seeking Alpha,1.0,1.0,positive,1.0,False,False,False,False,False,False,False,False,0.0,198,"['ARCC', 'BST', 'CCAP', 'CCD', 'CGO', 'EOS', 'ETO', 'EVT', 'GOF', 'HTD', 'JEPI', 'JEPQ', 'PCN', 'PDI', 'PDT', 'PTY', 'QYLD', 'RQI', 'RVT', 'RYLD', 'SPE', 'USOI', 'UTF', 'UTG', 'XFLT', 'XYLD']",CCD,2023-08-22
My 9% Income Portfolio-Living Off Dividends,Managing a portfolio is not only about applying financial rules. Learn about total return and total NAV return as important indicators of investment performance.,2024-01-03 02:31:55+00:00,https://seekingalpha.com/article/4660842-my-9-percent-income-portfolio-living-off-dividends,Seeking Alpha,0.08,0.7,neutral,0.08,False,False,False,False,False,True,False,False,0.2,206,"['ARCC', 'BST', 'CCAP', 'CCD', 'CGO', 'EOS', 'ETO', 'EVT', 'FDUS', 'GOF', 'HTD', 'JEPI', 'JEPQ', 'MCI', 'PCN', 'PDI', 'PDT', 'PTY', 'QYLD', 'RQI', 'RVT', 'RYLD', 'SPE', 'USOI', 'UTF', 'UTG', 'XFLT', 'XYLD']",CCD,2024-01-03
