title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Stocks Rise Over 1% This Week and Finish at Record Highs,Stocks Rise Over 1% This Week and Finish at Record Highs,2021-02-13 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28318,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,114,"['WKEY', 'ITI', 'COWN', 'DAC', 'ICHR', 'AEIS', 'ROAD', 'AHCO', 'CNR', 'HLIT', 'TX', 'SON', 'CVS', 'SHOP', 'BIDU', 'WMT', 'DE']",CVS,2021-02-13
Is the S&P 500 All You Need to Retire a Millionaire?,You might be surprised at how long it can take you to become a millionaire with this index of stocks.,2021-04-23 13:18:00+00:00,https://www.fool.com/investing/2021/04/23/is-the-sp-500-all-you-need-to-retire-a-millionaire/?source=iedfolrf0000001,The Motley Fool,0.025,0.65,neutral,0.025,False,False,False,False,False,False,False,False,0.0,155,"['SPY', 'WMT', 'DIS', 'AAPL', 'AMZN', 'V', 'KO', 'GS', 'FDX', 'CVS', 'ORCL', 'AVGO', 'SHW', 'NKE', 'VTI', 'VT', 'ZBRA']",CVS,2021-04-23
The Margin: Johnson & Johnson vaccine pause: What to know if you got or scheduled the shot,A CDC advisory committee recommends lifting the pause. So what blood clot symptoms should you watch out for if you get the vaccine?,2021-04-23 21:38:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3853162CFA7%7D&siteid=rss&rss=1,MarketWatch,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,223,"['JNJ', 'AZN', 'PFE', 'MRNA', 'RAD', 'CVS']",CVS,2021-04-23
One Last Hurrah? The Stocks To Buy Now,"Warning signals are flashing, suggesting it could be smart to fade the next move up. The strongest sectors currently include financials, REITs, and consumer goods.",2021-04-25 08:09:04+00:00,https://seekingalpha.com/article/4421093-one-last-hurrah-stocks-to-buy-now?source=feed,Seeking Alpha,0.05357142857142857,0.2773809523809524,neutral,0.05357142857142857,False,True,True,False,False,False,False,False,0.0,203,"['ABBV', 'ACHC', 'ADP', 'AEP', 'AFIN', 'AFINO', 'AFINP', 'AIZ', 'ALE', 'ALOT', 'ALRM', 'ASH', 'AVNT', 'BANR', 'BIP', 'BMY', 'BRO', 'BXS', 'CB', 'CLI', 'CMCSA', 'CMO', 'CMP', 'CNO', 'CNP', 'CODI', 'CPLG', 'CQP', 'CSL', 'CTVA', 'CVS', 'DBX', 'DKL', 'DTB', 'DTE', 'DTJ', 'DTP', 'DTW', 'ED', 'EFC', 'EFX', 'EMN', 'EPD', 'ESI', 'ETR', 'EVH', 'EVLO', 'EXPD', 'EXPO', 'FANG', 'FIS', 'FOXF', 'GLP', 'GPC', 'GPN', 'GRA', 'HAIN', 'HD', 'HOME', 'IART', 'ICHR', 'IPG', 'IT', 'JCOM', 'KBH', 'KO', 'LEG', 'LEVI', 'LLY', 'MAC', 'MEDP', 'MGP', 'MLM', 'MMM', 'MMP', 'MNST', 'NI', 'NLY', 'NOC', 'NWL', 'OIS', 'OPRX', 'OSIS', 'OTEX', 'OXY', 'PBFX', 'PFG', 'PFH', 'PFPT', 'PII', 'PPG', 'PRS', 'PRU', 'RPT', 'RRR', 'RSG', 'SHW', 'SLG', 'SRE', 'SREA', 'SSD', 'STAR', 'STZ', 'STZ.B', 'TSCO', 'WES', 'WTFC', 'WTFCM', 'WTFCP', 'WTRG', 'WWW', 'YUM']",CVS,2021-04-25
"Have $2,000? 2 Stocks to Buy That Are Absolute Money Machines",These unstoppable stocks can stabilize and grow your portfolio for decades to come.,2021-04-25 12:17:00+00:00,https://www.fool.com/investing/2021/04/25/have-2000-2-stocks-to-buy-that-are-absolute-money/?source=iedfolrf0000001,The Motley Fool,0.2,0.9,positive,0.2,False,True,False,False,False,False,False,False,0.0,146,"['O', 'HD', 'WMT', 'WBA', 'SMG', 'FDX', 'CVS']",CVS,2021-04-25
Is It Too Late to Get In on This Millionaire-Maker Stock?,The future of commerce is trending in PayPal's favor.,2021-04-25 19:48:00+00:00,https://www.fool.com/investing/2021/04/25/is-it-too-late-to-get-in-on-this-millionaire-maker/?source=iedfolrf0000001,The Motley Fool,-0.15,0.3625,negative,0.15,False,False,False,False,False,False,False,False,0.0,112,"['PYPL', 'CVS', 'NKE', 'SQ']",CVS,2021-04-25
CVS Health (CVS) Stock Sinks As Market Gains: What You Should Know,"In the latest trading session, CVS Health (CVS) closed at $75.75, marking a -0.39% move from the previous day.",2021-04-26 21:50:21+00:00,http://www.zacks.com/stock/news/1458078/cvs-health-cvs-stock-sinks-as-market-gains-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v1-1458078,Zacks Investment Research,0.03333333333333335,0.2916666666666667,neutral,0.03333333333333335,False,False,False,False,False,False,False,False,0.0,178,['CVS'],CVS,2021-04-26
Is a Beat in the Cards for CVS Health (CVS) in Q1 Earnings?,"Given the increasing number of walk-in-clinical appointments and patient visits, CVS Health (CVS), which has a huge PBM client base, is expected to have seen a sequential rebound in Q1 revenues.",2021-04-27 13:09:00+00:00,http://www.zacks.com/stock/news/1461702/is-a-beat-in-the-cards-for-cvs-health-cvs-in-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1461702,Zacks Investment Research,-0.16666666666666666,0.7666666666666666,negative,0.16666666666666666,True,False,False,False,False,False,False,False,0.0,255,"['OMI', 'CVS', 'COO', 'PCRX']",CVS,2021-04-27
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-05-02 11:14:11+00:00,https://seekingalpha.com/article/4423506-wall-street-breakfast-week-ahead?source=feed,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['SYY', 'CBT', 'MRK', 'DELL', 'KMX', 'UNP', 'DISH', 'XPO', 'CVS', 'PFE', 'DD', 'TMUS', 'CZR', 'ZG', 'UAA', 'ATVI', 'GM', 'MET', 'ZNGA', 'ALL', 'UBER', 'RKT', 'CAH', 'VIAC', 'MCK', 'SQ', 'CI', 'ENB', 'UTME', 'VECT', 'RPHM', 'GATO', 'VSH', 'RGR', 'CNO', 'MSA', 'CPK', 'HPE', 'EXPD', 'POOL', 'PEP', 'ORBC', 'MYGN', 'ARKX', 'VXRT', 'MRNA', 'NVAX', 'BNTX', 'CP', 'CNI', 'KSU', 'BYND', 'AIMC', 'PGR']",CVS,2021-05-02
Markets Up to Start Another Busy Week,"With Q1 earnings season continuing to unfold favorably (for the most part), investors look to enjoy a healthy Q2, as well.",2021-05-03 14:31:00+00:00,http://www.zacks.com/stock/news/1493703/markets-up-to-start-another-busy-week?cid=CS-ZC-FT-ahead_of_wall_street-1493703,Zacks Investment Research,0.375,0.45,positive,0.375,True,False,False,False,False,False,False,False,0.0,161,"['ADP', 'PFE', 'EL', 'CVS', 'MRNA', 'GM', 'L', 'CNA', 'ETSY']",CVS,2021-05-03
