title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
What an A.I.-based stock picker says about the market as delta variant delays ‘return to office’,"The spread of the coronavirus delta variant poses the biggest threat to emerging-market economies, while a delayed “return-to-office” environment is a positive for earlier pandemic winners and residential real estate, according to a platform that uses artificial intelligence to screen stocks.",2021-08-30 15:03:00+00:00,https://www.marketwatch.com/story/what-an-a-i-based-stock-picker-says-about-market-risks-as-delta-variant-spreads-11630084719,MarketWatch,-0.04318181818181818,0.5863636363636364,neutral,0.04318181818181818,False,False,False,False,False,False,False,False,0.0,391,"['AIEQ', 'AIIQ', 'IBM', 'GOOG', 'GOOGL', 'TEAM', 'WIX', 'COMP']",AIEQ,2021-08-30
This fund driven by artificial intelligence is ditching big tech. Here's what it's doing instead.,An exchange-traded fund driven by artificial intelligence has soured on big tech.,2021-12-29 13:34:00+00:00,https://www.marketwatch.com/story/this-fund-driven-by-artificial-intelligence-is-ditching-big-tech-heres-what-its-doing-instead-11640778192,MarketWatch,-0.3,0.4600000000000001,negative,0.3,False,False,False,False,False,False,False,False,0.0,180,"['GOOG', 'AMZN', 'COMP', 'AIEQ', 'AAPL', 'MSFT', 'AMD', 'DXCM', 'ETN', 'PANW', 'FTNT', 'TSLA', 'FB', 'AMC', 'GME', 'NIO', 'NVDA']",AIEQ,2021-12-29
IBM Artificial Intelligence Supercomputer Watson Has 8 Stock Picks For 2022,"It’s the time of year that investors consider which stocks to buy and sell to build their portfolio for the next 12 months.
Inflation, supply chain disruptions and the ongoing COVID-19 pandemic are setting up 2022 to be an unpredictable year. One unique approach to the market for the coming year is to look at which stocks are being purchased by artificial intelligence.
Related Link: 8 Trading Themes To Watch In 2022
The AI Powered Equity ETF (NYSE: AIEQ) is an ETF that is powered by the International Business Machines Corp (NYSE: IBM) AI supercomputer Watson. The fund is managed using proprietary AI algorithms that choose which stocks to buy and how much of the portfolio to allocate to each stock.
Top Holdings:
Here’s a look at the AIEQ fund’s eight top holdings heading into 2022:

Advanced Micro Devices, Inc. ...",2021-12-29 16:23:11+00:00,https://www.benzinga.com/trading-ideas/long-ideas/21/12/24814302/ibm-artificial-intelligence-supercomputer-watson-has-8-stock-picks-for-2022,Benzinga,0.05530303030303032,0.5636363636363636,neutral,0.05530303030303032,False,True,False,False,False,False,False,False,0.0,902,"['SPY', 'AAPL', 'DXCM', 'MSFT', 'AMD', 'ETN', 'IBM', 'IRM', 'FTNT', 'TSLA', 'PANW', 'NTNX', 'AIEQ']",AIEQ,2021-12-29
Nvidia Tumbles on Fiscal Q2 Revenue Warnings: ETFs in Focus,The graphics chipmaker Nvidia (NVDA) disappointed investors following the warning of lower second-quarter fiscal 2023 revenues.,2022-08-09 14:10:00+00:00,https://www.zacks.com/stock/news/1966086/nvidia-tumbles-on-fiscal-q2-revenue-warnings-etfs-in-focus,Zacks Investment Research,-0.375,0.425,negative,0.375,True,False,True,False,False,False,False,False,0.0,188,"['INTC', 'QCOM', 'NVDA', 'SMH', 'BOTZ', 'AIEQ', 'FNGS', 'TRFK']",AIEQ,2022-08-09
ETFs in Focus On Nvidia's Q2 Earnings Miss & Weak Outlook,Nvidia (NVDA) missed earnings estimates and forecast a sharp drop in revenues for the current quarter due to a slowdown in PC and gaming sales.,2022-08-25 14:25:00+00:00,https://www.zacks.com/stock/news/1972487/etfs-in-focus-on-nvidias-q2-earnings-miss-weak-outlook,Zacks Investment Research,-0.15625,0.5375,negative,0.15625,True,False,False,False,False,False,False,False,0.0,202,"['NVDA', 'SMH', 'SOXX', 'BOTZ', 'AIEQ', 'TRFK']",AIEQ,2022-08-25
Taking Stock: Q1 2023 Equity Market Outlook,Stocks look set to continue their stutter-step motion into 2023 after a downbeat and extremely volatile 2022.,2022-12-18 07:50:00+00:00,https://www.blackrock.com/us/individual/insights/taking-stock-quarterly-outlook,Seeking Alpha,-0.125,1.0,negative,0.125,False,False,False,False,False,False,False,False,0.0,154,"['ACTV', 'AFMC', 'AFSM', 'ARKK', 'AVUV', 'BAPR', 'BAUG', 'BBMC', 'BBSC', 'BFOR', 'BFTR', 'BJUL', 'BJUN', 'BKMC', 'BKSE', 'BMAR', 'BMAY', 'BOCT', 'BOSS', 'BOUT', 'BUFF', 'BUL', 'CALF', 'CATH', 'CBSE', 'CSA', 'CSB', 'CSD', 'CSF', 'CSML', 'CWS', 'CZA', 'DDIV', 'DEEP', 'DES', 'DEUS', 'DFAS', 'DGRS', 'DIA', 'DIV', 'DJD', 'DON', 'DSPC', 'DVLU', 'DWAS', 'DWMC', 'EES', 'EFIV', 'EPS', 'EQAL', 'ESML', 'ETHO', 'EWMC', 'EWSC', 'EZM', 'FAB', 'FAD', 'FDM', 'FFTY', 'FLQM', 'FLQS', 'FNDA', 'FNK', 'FNX', 'FNY', 'FOVL', 'FRTY', 'FSMD', 'FTA', 'FTDS', 'FYC', 'FYT', 'FYX', 'GLRY', 'GSSC', 'HAIL', 'HIBL', 'HIBS', 'HLGE', 'HOMZ', 'HSMV', 'IJH', 'IJJ', 'IJK', 'IJR', 'IJS', 'IJT', 'IMCB', 'IMCG', 'IMCV', 'IPO', 'ISCB', 'ISCG', 'ISCV', 'ISMD', 'IUSS', 'IVDG', 'IVE', 'IVOG', 'IVOO', 'IVOV', 'IVV', 'IVW', 'IWC', 'IWM', 'IWN', 'IWO', 'IWP', 'IWR', 'IWS', 'IYY', 'JHMM', 'JHSC', 'JPME', 'JPSE', 'JSMD', 'JSML', 'KAPR', 'KJAN', 'KJUL', 'KNG', 'KOMP', 'KSCD', 'LSAT', 'MDY', 'MDYG', 'MDYV', 'MGMT', 'MID', 'MIDE', 'NAPR', 'NJAN', 'NOBL', 'NUMG', 'NUMV', 'NUSC', 'NVQ', 'OMFS', 'ONEO', 'ONEQ', 'ONEV', 'ONEY', 'OSCV', 'OUSM', 'OVS', 'PAMC', 'PAPR', 'PAUG', 'PBP', 'PBSM', 'PEXL', 'PEY', 'PJAN', 'PJUN', 'PLTL', 'PRFZ', 'PSC', 'PTMC', 'PUTW', 'PWC', 'PY', 'QDIV', 'QMOM', 'QQC', 'QQD', 'QQEW', 'QQQ', 'QQQA', 'QQQE', 'QQQJ', 'QQQM', 'QQQN', 'QQXT', 'QTEC', 'QVAL', 'QVML', 'QVMM', 'QVMS', 'QYLD', 'QYLG', 'REGL', 'RFG', 'RFV', 'RNMC', 'RNSC', 'ROSC', 'RPG', 'RPV', 'RSP', 'RWJ', 'RWK', 'RWL', 'RYJ', 'RYT', 'RZG', 'RZV', 'SCHA', 'SCHM', 'SDS', 'SDVY', 'SFYX', 'SH', 'SIXL', 'SIXS', 'SLY', 'SLYG', 'SLYV', 'SMCP', 'SMDV', 'SMDY', 'SMLE', 'SMLF', 'SMLV', 'SMMD', 'SMMV', 'SNPE', 'SPAX', 'SPDN', 'SPDV', 'SPGP', 'SPHB', 'SPHD', 'SPHQ', 'SPLG', 'SPLV', 'SPMD', 'SPMO', 'SPMV', 'SPSM', 'SPUS', 'SPUU', 'SPVM', 'SPVU', 'SPXE', 'SPXL', 'SPXN', 'SPXS', 'SPXT', 'SPXU', 'SPXV', 'SPY', 'SPYD', 'SPYG', 'SPYV', 'SPYX', 'SQEW', 'SQLV', 'SSLY', 'SSO', 'SSPY', 'STLV', 'SVAL', 'SYLD', 'TMDV', 'TPHD', 'TPLC', 'TPSC', 'UAUG', 'UJAN', 'UMAR', 'UMAY', 'UOCT', 'UPRO', 'USEQ', 'USLB', 'USMC', 'USMF', 'USVM', 'VB', 'VBK', 'VBR', 'VFMF', 'VFMO', 'VFMV', 'VFQY', 'VFVA', 'VIOG', 'VIOO', 'VIOV', 'VO', 'VOE', 'VOO', 'VOOG', 'VOOV', 'VOT', 'VRAI', 'VTWG', 'VTWO', 'VTWV', 'VUSE', 'VXF', 'VXX', 'VXZ', 'WBIY', 'WEBL', 'WEBS', 'XJH', 'XJR', 'XLG', 'XMHQ', 'XMLV', 'XMMO', 'XMVM', 'XRLV', 'XSHD', 'XSHQ', 'XSLV', 'XSMO', 'XSVM', 'XVV', 'XYLD', 'XYLG', 'YPS', 'FSMO', 'FV', 'IWF', 'VUG', 'PWB', 'FPX', 'PDP', 'FTC', 'MGK', 'IWY', 'FVC', 'SFY', 'QQH', 'FDG', 'IQM', 'ILCG', 'IUSG', 'SCHG', 'VONG', 'GURU', 'MMTM', 'CACG', 'MTUM', 'FBGX', 'STLG', 'PTNQ', 'LEAD', 'MILN', 'FDMO', 'TTAC', 'GVIP', 'NULG', 'LRGE', 'AIEQ', 'JMOM', 'TMFC', 'QGRO', 'PLAT', 'SFYF', 'AMOM', 'QRFT', 'XOUT', 'DWAW', 'DWEQ', 'DWUS', 'ECOZ', 'FBCG', 'TCHP', 'TGRW', 'RORO', 'ENTR', 'IVSG', 'PLDR', 'PFUT', 'PGRO', 'WGRO', 'ATFV', 'KNGS', 'GK', 'QPX', 'LCG', 'SXQG', 'SENT', 'FGRO', 'FMAG', 'MMLG', 'GGRW', 'XDQQ', 'DFNV', 'CDL', 'DVY', 'IWD', 'VTV', 'PWV', 'SDY', 'PRF', 'PFM', 'FDL', 'FVD', 'DHS', 'DTD', 'DLN', 'VYM', 'PKW', 'MGV', 'IWX', 'HDV', 'VLU', 'QDF', 'CDC', 'QLC', 'ERM', 'IUS', 'FLV', 'IUSV', 'ILCV', 'SCHV', 'VONV', 'DGRO', 'SCHD', 'SDOG', 'QDYN', 'QDEF', 'FNDB', 'FNDX', 'VLUE', 'RDIV', 'RDVY', 'WBIF', 'WBIG', 'ROUS', 'LRGF', 'OUSA', 'LVHD', 'ESGS', 'FDVV', 'FDRR', 'FVAL', 'NULV', 'COWZ', 'VSMV', 'RNDV', 'EDOW', 'MAGA', 'EQRR', 'CLRG', 'JVAL', 'DIVB', 'ULVM', 'VALQ', 'AUSF', 'SDGA', 'SURE', 'DURA', 'REVS', 'RAFE', 'ABEQ', 'SIXA', 'SIXH', 'CFCV', 'FBCV', 'TEQI', 'ALTL', 'HDIV', 'LOPP', 'PVAL', 'FUNL', 'MBOX', 'KVLE', 'TRPL', 'QDPL', 'SDEI', 'DIVZ', 'AIVL', 'WTV']",AIEQ,2022-12-18
Guide to Artificial Intelligence ETFs,The recent success of Chart GPT made the AI space an intriguing investing area. IDC expects the AI market to maintain a year-over-year growth rate in the high teens throughout the five-year forecast.,2023-03-03 17:43:00+00:00,https://www.zacks.com/stock/news/2061702/guide-to-artificial-intelligence-etfs,Zacks Investment Research,0.032000000000000015,0.438,neutral,0.032000000000000015,False,False,False,False,False,False,False,False,0.0,238,"['AMZN', 'AAPL', 'MSFT', 'BIDU', 'GOOGL', 'ROBO', 'BOTZ', 'AIEQ', 'ROBT', 'IRBO']",AIEQ,2023-03-03
ETF Strategies to Follow Warren Buffett's Investing Wisdom,"Discover the investment secrets and preferences of Warren Buffett, the Oracle of Omaha, as he shares his insights on inflation, recession, banking and more.",2023-04-25 17:00:00+00:00,https://www.zacks.com/stock/news/2084469/etf-strategies-to-follow-warren-buffetts-investing-wisdom,Zacks Investment Research,0.5,0.5,positive,0.5,False,False,True,False,False,False,False,False,0.0,216,"['XLK', 'TIP', 'XLU', 'BITI', 'NOBL', 'MOAT', 'KBWB', 'FINX', 'AIEQ']",AIEQ,2023-04-25
Sector ETFs to Win/Lose from ChatGPT Frenzy,The hype surrounding ChatGPT has brought about a massive change in the global financial and investment world. These ETF areas could emerge as winners and losers.,2023-05-08 12:23:00+00:00,https://www.zacks.com/stock/news/2091380/sector-etfs-to-winlose-from-chatgpt-frenzy,Zacks Investment Research,-0.05,0.3,neutral,0.05,False,False,True,False,False,False,False,False,0.0,206,"['MSFT', 'GOOGL', 'HACK', 'AIEQ', 'EDUT']",AIEQ,2023-05-08
Make the Most of AI Craze With This New ETF (CHAT),"The success of ChatGPT explains the growth for generative AI's potential. Hence, a pure-play ETF on this concept is now available to you.",2023-05-25 18:22:00+00:00,https://www.zacks.com/stock/news/2099899/make-the-most-of-ai-craze-with-this-new-etf-chat,Zacks Investment Research,0.2672727272727273,0.4709090909090909,positive,0.2672727272727273,False,False,False,False,False,False,False,False,0.0,189,"['ROBO', 'BOTZ', 'AIEQ', 'ROBT', 'CHAT']",AIEQ,2023-05-25
Will the AI Momentum Continue? ETFs to Buy,The AI hype surrounding the tech sector has boosted stocks this year. The rally is here to stay as the AI valuation is not too stretched.,2023-06-09 18:11:00+00:00,https://www.zacks.com/stock/news/2106597/will-the-ai-momentum-continue-etfs-to-buy,Zacks Investment Research,-0.05,0.0,neutral,0.05,False,True,True,False,False,False,False,False,0.0,181,"['ROBO', 'BOTZ', 'AIEQ', 'ROBT', 'IRBO', 'CHAT']",AIEQ,2023-06-09
Will AI help investors beat the stock market? Don’t count on it.,"Other people may get excited about what AI means for the stock market or investing, but you can count me out.",2023-06-17 17:35:00+00:00,https://www.marketwatch.com/story/will-ai-help-investors-beat-the-stock-market-dont-count-on-it-62f00839,MarketWatch,0.125,0.5625,positive,0.125,False,False,False,False,False,False,False,False,0.0,175,"['NVDA', 'AIEQ', 'IBM', 'SPY', 'MID', 'VTI', 'EUSA', 'MDY', 'IWM', 'IJR']",AIEQ,2023-06-17
Nvidia Sparks Rally in AI ETFs,"Nvidia (NVDA) injected bullishness across the tech sector, especially in the artificial intelligence (AI) segment.",2023-08-24 15:05:00+00:00,https://www.zacks.com/stock/news/2140311/nvidia-sparks-rally-in-ai-etfs,Zacks Investment Research,-0.3,1.0,negative,0.3,False,False,True,False,False,False,False,False,0.0,146,"['NVDA', 'BOTZ', 'AIEQ', 'AIQ', 'ROBT', 'WTAI']",AIEQ,2023-08-24
Guide to Artificial Intelligence ETFs,Robots and artificial intelligence (AI) are increasingly gaining precedence in our daily life.,2023-09-07 15:48:00+00:00,https://www.zacks.com/stock/news/2146154/guide-to-artificial-intelligence-etfs,Zacks Investment Research,-0.39999999999999997,0.6666666666666666,negative,0.39999999999999997,False,False,False,False,False,False,False,False,0.0,133,"['AMZN', 'MSFT', 'NVDA', 'BIDU', 'GOOGL', 'ROBO', 'BOTZ', 'AIEQ', 'ROBT', 'IRBO', 'META']",AIEQ,2023-09-07
Top ETF Stories of Q3,"The third-quarter 2023 was a downbeat period for investors, mainly due to rising rates.",2023-09-28 17:00:00+00:00,https://www.zacks.com/stock/news/2157277/top-etf-stories-of-q3,Zacks Investment Research,0.1875,0.4375,positive,0.1875,False,False,False,False,False,False,False,False,0.0,110,"['FXI', 'USO', 'AIEQ', 'CHIR', 'PFIX', 'URNJ']",AIEQ,2023-09-28
A Tribute to Munger With His Philosophy-Enriched ETFs,"Charlie Munger's investment philosophy, which prioritizes quality, selective investing, and a long-term perspective, can influence ETF investors to be discerning in their choices and avoid excessive diversification.",2023-11-29 13:00:00+00:00,https://www.zacks.com/stock/news/2190719/a-tribute-to-munger-with-his-philosophy-enriched-etfs,Zacks Investment Research,-0.25,1.0,negative,0.25,False,False,False,False,False,False,False,False,0.0,270,"['SPY', 'XLP', 'DIA', 'BITI', 'FSTA', 'SPVU', 'AIEQ', 'MAGS', 'MEME', 'EVXX', 'SETH']",AIEQ,2023-11-29
Nvidia and Microsoft CEOs say  industrial companies will benefit most from AI. Here are stocks to put on your watch list.,"Money managers name stocks of companies that can benefit from the ""third wave"" of artificial-intelligence deployment described by Nvidia CEO Jensen Huang.",2023-12-09 11:20:00+00:00,https://www.marketwatch.com/story/nvidia-and-microsoft-ceos-say-industrial-companies-will-benefit-most-from-ai-here-are-stocks-to-put-on-your-watch-list-b427ab86,MarketWatch,0.25,0.25,positive,0.25,False,False,False,False,False,False,True,False,0.0,277,"['MSFT', 'NVDA', 'AIEQ', 'GD', 'BAH', 'TASK', 'IQM', 'GOOGL', 'AMZN', 'BABA', 'AXON', 'ISRG', 'SNPS', 'CDNS', 'TSLA', 'AAPL', 'ASML', 'TSM', 'IGPT', 'AMD', 'INTC', 'MU', 'META', 'ADBE', 'QCOM', 'AI']",AIEQ,2023-12-09
