title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Earnings Scheduled For May 27, 2021","Companies Reporting Before The Bell
• Royal Bank of Canada (NYSE:RY) is likely to report quarterly earnings at $2.48 per share on revenue of $11.77 billion.
• Thermon Group Holdings (NYSE:THR) is estimated to report quarterly earnings at $0.19 per share on revenue of $72.35 million.
• Yunji (NASDAQ:YJ) is expected to report earnings for its first quarter.
• HeadHunter Group (NASDAQ:HHR) is estimated to report quarterly earnings at $0.22 per share on revenue of $37.35 million.
• Toronto-Dominion Bank (NYSE:TD) is projected to report quarterly earnings at $1.76 per share on revenue of $10.27 billion.
• MiX Telematics (NYSE:MIXT) is estimated to report quarterly earnings at $0.08 per share on revenue of $30.07 million.
• Hoegh LNG Partners (NYSE:HMLP) is likely to report quarterly earnings at $0.40 per share on revenue of $35.48 million.
• Canadian Imperial Bank (NYSE:CM) is likely to report quarterly earnings at $3.01 per share on revenue of $4.76 billion.
• Redhill Biopharma (NASDAQ:RDHL) is expected to report quarterly loss at $0.34 per share on revenue of $22.70 million.
• Viomi Technology Co (NASDAQ:VIOT) is likely to report quarterly earnings at $0.10 per share on revenue of $141.74 million.
• CNFinance Holdings (NYSE:CNF) is likely to report earnings for its first quarter.
• Frontline (NYSE:FRO) is projected to report quarterly earnings at $0.32 per share on revenue of $184.43 million.
• Autohome (NYSE:ATHM) is expected to report quarterly earnings at $0.93 per share on revenue of $285.28 million.
• Titan Machinery (NASDAQ:TITN) is likely to report quarterly earnings at $0.16 per share on revenue of $337.66 million.
• Movado Group (NYSE:MOV) is likely to report quarterly loss at $0.08 per share on revenue of $111.00 million.
• Genesco (NYSE:GCO) is expected to report quarterly loss ...Full story available on Benzinga.com",2021-05-27 08:29:08+00:00,https://www.benzinga.com/news/earnings/21/05/21312819/earnings-scheduled-for-may-27-2021,Benzinga,0.03571428571428571,0.6904761904761906,neutral,0.03571428571428571,True,False,False,False,False,False,False,False,0.0,1893,"['GPS', 'ATHM', 'VB', 'HHR', 'HPQ', 'SAFM', 'ADSK', 'AFYA', 'BOX', 'AMWD', 'LMPX', 'MDT', 'HMLP', 'BOSC', 'PRVA', 'MOV', 'ASND', 'COST', 'NM', 'YY', 'CRVL', 'RY', 'OLLI', 'DELL', 'TD', 'DOMO', 'DLTR', 'VMW', 'FANH', 'TITN', 'DG', 'HLNE', 'ULTA', 'THR', 'YEXT', 'BBY', 'KRT', 'CNF', 'CM', 'MIXT', 'VIOT', 'CRM', 'RDHL', 'PLAN', 'FRO', 'BURL', 'QFIN', 'GCO', 'VEEV', 'YJ', 'GES']",CRVL,2021-05-27
CorVel Corporation (CRVL) Q1 2021 Earnings Call Transcript,"CRVL earnings call for the period ending March 31, 2021.",2021-05-27 20:30:49+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/27/corvel-corporation-crvl-q1-2021-earnings-call-tran/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,116,['CRVL'],CRVL,2021-05-27
CorVel Announces Revenues and Earnings,"FORT WORTH, Texas, Aug.  03, 2021  (GLOBE NEWSWIRE) -- CorVel Corporation (NASDAQ: CRVL) announced the results for the quarter ended June 30, 2021. Earnings per share for the quarter were $0.92, compared to $0.46 in the same quarter of the prior year. Revenues for the quarter were $153 million, an increase from $130 million in the same quarter of the previous year.",2021-08-03 10:15:00+00:00,https://www.globenewswire.com/news-release/2021/08/03/2273451/34735/en/CorVel-Announces-Revenues-and-Earnings.html,GlobeNewswire Inc.,0.026666666666666665,0.10333333333333332,neutral,0.026666666666666665,True,False,False,False,False,False,False,False,0.0,407,['CRVL'],CRVL,2021-08-03
CorVel Corporation (CRVL) Q1 2021 Earnings Call Transcript,"CRVL earnings call for the period ending June 30, 2021.",2021-08-03 21:30:53+00:00,https://www.fool.com/earnings/call-transcripts/2021/08/03/corvel-corporation-crvl-q1-2021-earnings-call-tran/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,115,['CRVL'],CRVL,2021-08-03
"Wall Street ignores these ‘orphan’ stocks, but they’ve beaten the S&P 500 over 20 years","A business might be considered boring, but a solid operator can make owners of its stock a lot of money while flying under the radar.",2021-08-21 23:59:00+00:00,https://www.marketwatch.com/story/wall-street-ignores-these-orphan-stocks-but-theyve-beaten-the-s-p-500-over-20-years-11629310042,MarketWatch,-0.5,0.55,negative,0.5,False,False,False,False,False,False,False,False,0.0,222,"['NATH', 'ATRI', 'CCF', 'VTHR', 'BRDG', 'NEU', 'EVI', 'UHAL', 'WINA', 'USLM', 'TCX', 'HIFS', 'RICK', 'CRVL', 'ITIC', 'SEB', 'NVEC', 'CASS', 'FRPH', 'DJCO', 'UTMD', 'IMKTA', 'MLR', 'MPX', 'NPK', 'VHC', 'FNLC', 'ODC', 'VLGEA', 'PCYO', 'UHT', 'IDT', 'PTSI', 'CNBKA', 'FLXS']",CRVL,2021-08-21
CorVel’s Virtual Pain Management Program Named 2021 Business Insurance Innovation of the Year,"FORT WORTH, Texas, Sept.  22, 2021  (GLOBE NEWSWIRE) -- CorVel Corporation (NASDAQ: CRVL), a national provider of risk management solutions, has been recognized by Business Insurance as a winner of the 2021 Innovation Awards for its Virtual Functional Restoration Services, a unique approach to pain management for injured workers. The awards program, now in its 12th year, recognizes innovation in products and services provided to professional risk managers.",2021-09-22 11:11:00+00:00,https://www.globenewswire.com/news-release/2021/09/22/2301200/34735/en/CorVel-s-Virtual-Pain-Management-Program-Named-2021-Business-Insurance-Innovation-of-the-Year.html,GlobeNewswire Inc.,0.25833333333333336,0.4000000000000001,positive,0.25833333333333336,False,False,False,False,True,False,True,False,0.0,555,['CRVL'],CRVL,2021-09-22
Risk & Insurance Names Three CorVel Partners as 2021 All-Star Risk Managers,"Partnership enhances risk management strategies and improves outcomes for Staples, Oklahoma City, and Hoag Memorial Hospital",2021-10-05 11:09:00+00:00,https://www.globenewswire.com/news-release/2021/10/05/2308582/34735/en/Risk-Insurance-Names-Three-CorVel-Partners-as-2021-All-Star-Risk-Managers.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,True,False,False,True,False,0.0,201,['CRVL'],CRVL,2021-10-05
"CorVel to Present at the National Workers Compensation and Disability Conference, Focusing on the Future of Telehealth and a Proactive Approach to Patient Care",President and CEO Michael Combs to Participate in Keynote Panel President and CEO Michael Combs to Participate in Keynote Panel,2021-10-13 11:04:00+00:00,https://www.globenewswire.com/news-release/2021/10/13/2313320/34735/en/CorVel-to-Present-at-the-National-Workers-Compensation-and-Disability-Conference-Focusing-on-the-Future-of-Telehealth-and-a-Proactive-Approach-to-Patient-Care.html,GlobeNewswire Inc.,0.0,0.0625,neutral,0.0,False,False,False,False,False,False,True,False,0.0,288,['CRVL'],CRVL,2021-10-13
CorVel Announces Quarterly Earnings Release Webcast,"FORT WORTH, Texas, Oct.  20, 2021  (GLOBE NEWSWIRE) --  About CorVelCorVel Corp. applies technology including artificial intelligence, machine learning and natural language processing to enhance the managing of episodes of care and the related health care costs. We partner with employers, third-party administrators, insurance companies and government agencies in managing workers’ compensation and health, auto and liability services. Our diverse suite of solutions combines our integrated technologies with a human touch. CorVel's customized services, delivered locally, are backed by a national team to support clients as well as their customers and patients.",2021-10-20 14:27:00+00:00,https://www.globenewswire.com/news-release/2021/10/20/2317601/34735/en/CorVel-Announces-Quarterly-Earnings-Release-Webcast.html,GlobeNewswire Inc.,-0.03333333333333333,0.3333333333333333,neutral,0.03333333333333333,True,False,False,False,True,False,False,False,0.0,716,['CRVL'],CRVL,2021-10-20
CorVel Announces Revenues and Earnings,"FORT WORTH, Texas, Nov.  02, 2021  (GLOBE NEWSWIRE) -- CorVel Corporation (NASDAQ: CRVL) announced the results for the quarter ended September 30, 2021. Earnings per share for the quarter were 88 cents, compared to 65 cents in the same quarter of the prior year. Revenues for the quarter were $158 million, an increase from $136 million in the same quarter of the previous year.",2021-11-02 10:15:00+00:00,https://www.globenewswire.com/news-release/2021/11/02/2325113/34735/en/CorVel-Announces-Revenues-and-Earnings.html,GlobeNewswire Inc.,0.026666666666666665,0.10333333333333332,neutral,0.026666666666666665,True,False,False,False,False,False,False,False,0.0,418,['CRVL'],CRVL,2021-11-02
