title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
ConocoPhillips (COP) Q1 Earnings Beat on Higher Crude Output,ConocoPhillips (COP) expects full-year 2021 production to be 1.5 million barrels of oil equivalent per day.,2021-05-04 16:18:00+00:00,http://www.zacks.com/stock/news/1499589/conocophillips-cop-q1-earnings-beat-on-higher-crude-output?cid=CS-ZC-FT-analyst_blog|earnings_article-1499589,Zacks Investment Research,-0.22499999999999998,0.75,negative,0.22499999999999998,True,False,False,False,True,False,False,False,0.0,169,"['COP', 'HES', 'CVE', 'FI']",CVE,2021-05-04
"Earnings Scheduled For May 7, 2021","Companies Reporting Before The Bell
• Cronos Group (NASDAQ:CRON) is likely to report earnings for its first quarter.
• Eaton Vance Municipal (NYSE:ETX) is expected to report earnings for its first quarter.
• Ocugen (NASDAQ:OCGN) is estimated to report quarterly earnings at $0.49 per share on revenue of $78.10 million.
• Sprott (NYSE:SII) is expected to report quarterly earnings at $0.31 per share on revenue of $32.20 million.
• Construction Partners (NASDAQ:ROAD) is projected to report quarterly earnings at $0.08 per share on revenue of $201.03 million.
• Hudson Global (NASDAQ:HSON) is projected to report quarterly loss at $0.04 per share on revenue of $29.50 million.
• Mednax (NYSE:MD) is estimated to report quarterly earnings at $0.13 per share on revenue of $424.13 million.
• Cenovus Energy (NYSE:CVE) is expected to report quarterly loss at $0.02 per share on revenue of $3.57 billion.
• Brookfield Property REIT (NASDAQ:BPYU) is estimated to report earnings for its first quarter.
• Overseas Shipholding Gr (NYSE:OSG) is projected to report earnings for its first quarter.
• Liberty Formula One Group (NASDAQ:FWONK) is estimated to report quarterly loss at $0.43 per share on revenue of $130.67 million.
• Liberty SiriusXM Gr (NASDAQ:LSXMA) is estimated to report quarterly earnings at $0.67 per share on revenue of $1.98 billion.
• AerSale (NASDAQ:ASLE) is estimated to report quarterly loss at $0.05 per share on revenue of $59.20 million.
• TELUS International (NYSE:TIXT) is projected to report quarterly earnings at $0.20 per share on revenue of $500.30 million.
• Enerplus (NYSE:ERF) is likely to report quarterly earnings at $0.14 per share on revenue of $169.20 million.
• Gatos Silver (NYSE:GATO) is estimated to report earnings for its first quarter.
• Liberty SiriusXM Gr (NASDAQ:LSXMK) is estimated to report quarterly earnings at $0.10 per share on revenue of $2.06 billion.
• TC Energy (NYSE:TRP) is estimated to report quarterly earnings at $1.11 per share on revenue of $3.54 billion.
• DraftKings (NASDAQ:DKNG) is expected to report quarterly loss at $0.41 per share on revenue of $230.68 million.
• Liberty Formula One Group (NASDAQ:FWONA) is estimated to report quarterly loss at $0.41 per share on revenue of $130.67 million.
• Nikola (NASDAQ:NKLA) is likely to report earnings for its first quarter.
• Meridian Bioscience (NASDAQ:VIVO) is likely to report quarterly earnings at $0.48 per share on revenue of $84.48 million.
• Northern Oil & Gas (AMEX:NOG) is projected to report quarterly earnings at $0.60 per share on revenue of $135.87 million.
• Tecnoglass (NASDAQ:TGLS) is likely to report quarterly earnings at $0.22 per share on revenue of $98.39 million.
• Spire (NYSE:SR) is estimated to report quarterly earnings at $3.08 per share on revenue of $773.16 million.
• Plymouth Industrial REIT (NYSE:PLYM) is estimated to report quarterly loss at $0.25 per share on revenue of $30.58 million.
• ModivCare (NASDAQ:MODV) is likely to report quarterly earnings at $1.60 per share on revenue of $483.06 million.
• Marcus & Millichap (NYSE:MMI) is projected to report quarterly earnings at $0.19 per share on revenue of $172.61 million.
• Hyatt Hotels (NYSE:H) is ...Full story available on Benzinga.com",2021-05-07 08:12:39+00:00,https://www.benzinga.com/news/earnings/21/05/21007713/earnings-scheduled-for-may-7-2021,Benzinga,0.07894736842105263,0.5263157894736842,neutral,0.07894736842105263,True,False,False,False,False,False,False,False,0.0,3277,"['LXP', 'CRON', 'NOG', 'STNG', 'AXL', 'PLYM', 'MD', 'QRTEA', 'RMR', 'AMCX', 'CCJ', 'UNVR', 'HCHC', 'MGI', 'ROAD', 'SVC', 'ELAN', 'CI', 'DS', 'NPO', 'AVNS', 'BWEN', 'HSON', 'CNK', 'LTRPA', 'OSG', 'OCGN', 'CLMT', 'AMRX', 'ENB', 'AC', 'SII', 'BPYU', 'CNTY', 'SMLP', 'ERF', 'LBRDA', 'SR', 'DKNG', 'DXPE', 'TILE', 'FF', 'LBRDK', 'SSP', 'NKLA', 'INTT', 'ATH', 'FLR', 'GCI', 'ETX', 'TRP', 'GATO', 'JOUT', 'BPY', 'GLP', 'LSXMA', 'VRS', 'ASLE', 'PFSW', 'ESNT', 'GVA', 'BATRA', 'VTR', 'MODV', 'RUTH', 'MMI', 'HE', 'LSXMK', 'H', 'TIXT', 'SIFY', 'ANIP', 'IEP', 'BATRK', 'CVE', 'VIVO', 'IBP', 'ITT', 'FWONK', 'AUD', 'ZEUS', 'CIO', 'KOP', 'FWONA', 'SPB', 'ABR', 'RDUS', 'LEA', 'DSKE', 'NFE', 'AP', 'TGLS']",CVE,2021-05-07
Cenovus Energy Inc. (CVE) Q1 2021 Earnings Call Transcript,"CVE earnings call for the period ending March 31, 2021.",2021-05-08 03:31:04+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/07/cenovus-energy-inc-cve-q1-2021-earnings-call-trans/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,115,['CVE'],CVE,2021-05-08
"Oil & Gas Stock Roundup: A Look at COP, EOG, PXD, MPC & WMB Q1 Earnings","Energy operators ConocoPhillips (COP), EOG Resources (EOG), Pioneer Natural Resources (PXD), Marathon Petroleum (MPC) and The Williams Companies (WMB) turned in a better-than-expected first-quarter bottom-line performance.",2021-05-11 11:23:00+00:00,http://www.zacks.com/stock/news/1535007/oil-gas-stock-roundup-a-look-at-cop-eog-pxd-mpc-wmb-q1-earnings?cid=CS-ZC-FT-analyst_blog|stock_roundup-1535007,Zacks Investment Research,0.1,0.4,neutral,0.1,True,False,False,False,False,False,False,False,0.0,295,"['RIG', 'COP', 'PXD', 'EOG', 'WMB', 'MPC', 'CVE']",CVE,2021-05-11
Cenovus (CVE) Declines 3.1% Since Q1 Earnings Miss Estimates,Severe winter in parts of the United States hurts Cenovus (CVE) in the first quarter.,2021-05-12 12:12:00+00:00,http://www.zacks.com/stock/news/1540425/cenovus-cve-declines-31-since-q1-earnings-miss-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1540425,Zacks Investment Research,0.25,0.3333333333333333,positive,0.25,True,False,False,False,False,False,False,False,0.0,147,"['CLR', 'CVE', 'MTDR', 'WLL']",CVE,2021-05-12
Cenovus (CVE) Divests Marten Hills Royalty Interest to Topaz,Cenovus Energy (CVE) receives gross cash proceeds of C$102 million from the latest divestment.,2021-05-19 13:58:00+00:00,http://www.zacks.com/stock/news/1576011/cenovus-cve-divests-marten-hills-royalty-interest-to-topaz?cid=CS-ZC-FT-analyst_blog|company_news_-_energy_sector-1576011,Zacks Investment Research,0.25,0.45,positive,0.25,False,False,False,False,False,False,False,False,0.0,156,"['SPH', 'CVE', 'DNOW', 'PHX']",CVE,2021-05-19
ConocoPhillips (COP) Jumps 8.3% MTD: More Room for Upside Left?,Higher oil price is aiding ConocoPhillips' (COP) upstream business.,2021-05-21 12:50:00+00:00,http://www.zacks.com/stock/news/1583696/conocophillips-cop-jumps-83-mtd-more-room-for-upside-left?cid=CS-ZC-FT-analyst_blog|price_surge_/_plunge-1583696,Zacks Investment Research,0.25,0.3333333333333333,positive,0.25,False,False,False,False,False,False,False,False,0.0,132,"['COP', 'CVE', 'MTDR', 'WLL']",CVE,2021-05-21
"Why ConocoPhillips, Cenovus Energy, and Marathon Oil Stocks All Popped Today","Oil demand is coming back, and OPEC is raising production.",2021-06-01 17:29:44+00:00,https://www.fool.com/investing/2021/06/01/duplicate10er-3-fer-template/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,False,False,False,False,True,False,False,False,0.0,136,"['COP', 'MRO', 'CVE']",CVE,2021-06-01
Shell (RDS.A) to Fast Track Emission Cut Post Court Ruling,The Dutch court in a major sentence delivery on a climate feud raised by environmentalists orders Shell (RDS.A) to trim carbon emissions by 45% within 2030 from its 2019 reading.,2021-06-10 17:22:00+00:00,https://www.zacks.com/stock/news/1686482/shell-rdsa-to-fast-track-emission-cut-post-court-ruling,Zacks Investment Research,0.13125,0.55,positive,0.13125,False,False,False,False,False,False,False,True,0.0,238,"['SU', 'RDS.A', 'CVE', 'CNQ']",CVE,2021-06-10
Canada's Oil Sands Producers Sign Up for 2050 Zero Emission,The tie-up between Suncor (SU) and other Canadian oil sands producers follows the grant of sizeable sops for emission-reduction project and infrastructure by the administration of Canada and Alberta.,2021-06-10 17:26:00+00:00,https://www.zacks.com/stock/news/1686314/canadas-oil-sands-producers-sign-up-for-2050-zero-emission,Zacks Investment Research,-0.125,0.375,negative,0.125,False,False,False,False,False,False,False,False,0.0,260,"['SU', 'IMO', 'CVE', 'CNQ']",CVE,2021-06-10
