title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Dividend Champion, Contender, And Challenger Highlights: Week Of April 23",,2023-04-23 04:22:39+00:00,https://seekingalpha.com/article/4595770-dividend-champion-contender-and-challenger-highlights-week-of-april-23?source=feed,Seeking Alpha,0.0,0.0,neutral,0.0,False,False,False,False,False,True,False,False,0.0,75,"['A', 'ABM', 'ADC', 'AES', 'AESC', 'AFG', 'AFGB', 'AFGC', 'AFGD', 'AFGE', 'ALG', 'ALLY', 'AMT', 'AON', 'AOS', 'ATLO', 'BHB', 'BK', 'BMO', 'BMY', 'BNS', 'BRC', 'BSRR', 'CAC', 'CASY', 'CE', 'CHCO', 'CLX', 'CM', 'CMCSA', 'COST', 'CSCO', 'DDS', 'DFS', 'DG', 'DGICA', 'DGICB', 'DHR', 'DOX', 'DULL', 'ENSG', 'EOG', 'EPD', 'EWBC', 'FAST', 'FBNC', 'GAIN', 'GL', 'GWRS', 'HBCP', 'HFBL', 'HIFS', 'HUM', 'INGR', 'ISTR', 'JNJ', 'JOUT', 'KMI', 'KWR', 'LAD', 'LAND', 'LANDM', 'LANDO', 'LNC', 'LNT', 'LOW', 'MAA', 'MGRC', 'MO', 'MORN', 'MS', 'NDAQ', 'NI', 'NIMC', 'NNN', 'NTAP', 'NWFL', 'NWN', 'O', 'OGE', 'PNM', 'PNW', 'RGCO', 'RPM', 'SHNY', 'SO', 'SOJC', 'SOJD', 'SOJE', 'SON', 'SPFI', 'SSD', 'STAG', 'SYK', 'SYY', 'THO', 'TRN', 'TRV', 'UBCP', 'UDR', 'UNB', 'UNM', 'UNMA', 'UVV', 'VALU', 'VZ', 'WDFC', 'WLY', 'WLYB', 'WSO', 'WSO.B', 'WST', 'WTIU']",DULL,2023-04-23
Top-Performing Inverse/Leveraged ETF Areas of Last Week,Last week marked the fourth straight week of losses for the S&P 500.,2023-10-02 12:00:00+00:00,https://www.zacks.com/stock/news/2158580/top-performing-inverseleveraged-etf-areas-of-last-week,Zacks Investment Research,0.06000000000000001,0.22666666666666666,neutral,0.06000000000000001,True,False,False,False,False,False,False,False,0.0,125,"['GLD', 'UUP', 'DUST', 'TMV', 'SDP', 'TTT', 'GDXD', 'CONL', 'DULL', 'CARU']",DULL,2023-10-02
"Canadian banks well-positioned to weather economic challenges, UBS analysts say By Proactive Investors - Investing.com Canada","UBS analysts have a cautiously optimistic outlook on Canadian banks, recommending buys on Royal Bank of Canada and National Bank of Canada due to their strong balance sheets and diversified business mix, while maintaining neutral ratings on the other four major banks amidst macroeconomic challenges.",2024-07-02 19:45:39+00:00,https://ca.investing.com/news/stock-market-news/canadian-banks-wellpositioned-to-weather-economic-challenges-ubs-analysts-say-3482712,Investing.com,0.08916666666666666,0.43666666666666665,neutral,0.08916666666666666,False,True,False,False,False,False,False,False,0.0,427,"['RY', 'TD', 'BNS', 'BERZ', 'BMO', 'BNKD', 'BNKU', 'BULZ', 'CARD', 'CARU', 'DULL', 'FLYD', 'FLYU', 'FNGD', 'FNGO', 'FNGS', 'FNGU', 'GDXD', 'GDXU', 'JETD', 'JETU', 'NRGD', 'NRGU', 'OILD', 'OILU', 'SHNY', 'WTID', 'WTIU']",DULL,2024-07-02
Bank of Montreal Stock Tanks 6.2% as High Provisions Hurt Q3 Earnings,"Bank of Montreal's Q3 earnings declined 10.2% year-over-year due to higher provisions for credit losses and lower net interest income, leading to a 6.2% drop in its stock price.",2024-08-28 18:28:26+00:00,https://www.benzinga.com/news/earnings/24/08/40603143/bank-of-montreal-stock-tanks-6-2-as-high-provisions-hurt-q3-earnings,Benzinga,0.07125000000000001,0.35375,neutral,0.07125000000000001,True,False,False,False,False,False,False,False,0.0,248,"['BERZ', 'BMO', 'BULZ', 'CARD', 'CARU', 'DULL', 'FLYD', 'FLYU', 'FNGD', 'FNGO', 'FNGS', 'FNGU', 'GDXD', 'GDXU', 'JETD', 'JETU', 'OILD', 'OILU', 'SHNY', 'WTID', 'WTIU', 'CM']",DULL,2024-08-28
PREMIUM INCOME CORPORATION ANNOUNCES AUTOMATIC TERM EXTENSION,"Premium Income Corporation announces an automatic 7-year term extension for its fund, allowing holders of Class A shares to continue receiving leveraged exposure to a portfolio of major Canadian banks, and preferred shareholders to continue receiving fixed monthly distributions.",2024-09-05 02:05:00+00:00,https://www.benzinga.com/pressreleases/24/09/n40722157/premium-income-corporation-announces-automatic-term-extension,Benzinga,0.08125,0.35,neutral,0.08125,False,False,False,False,False,False,False,False,0.0,342,"['BERZ', 'BMO', 'BULZ', 'CARD', 'CARU', 'DULL', 'FLYD', 'FLYU', 'FNGD', 'FNGO', 'FNGS', 'FNGU', 'GDXD', 'GDXU', 'JETD', 'JETU', 'OILD', 'OILU', 'SHNY', 'WTID', 'WTIU', 'BNS', 'CM', 'RY', 'TD']",DULL,2024-09-05
FINANCIAL 15 SPLIT CORP. Monthly Dividend Declaration for Class A & Preferred Share,Financial 15 Split Corp. has declared its regular monthly distributions for Class A and Preferred shares. The company invests in a portfolio of 15 major financial services companies in Canada and the U.S.,2024-09-18 13:00:00+00:00,https://www.globenewswire.com/news-release/2024/09/18/2948216/0/en/FINANCIAL-15-SPLIT-CORP-Monthly-Dividend-Declaration-for-Class-A-Preferred-Share.html,GlobeNewswire Inc.,0.0125,0.11538461538461538,neutral,0.0125,False,False,False,False,False,True,False,False,0.0,289,"['BERZ', 'BMO', 'BULZ', 'CARD', 'CARU', 'DULL', 'FLYD', 'FLYU', 'FNGD', 'FNGO', 'FNGS', 'FNGU', 'GDXD', 'GDXU', 'JETD', 'JETU', 'OILD', 'OILU', 'SHNY', 'WTID', 'WTIU', 'BNS', 'CM', 'RY', 'TD', 'MFC', 'SLF', 'BAC', 'BACpB', 'BACpE', 'BACpK', 'BACpL', 'BACpM', 'BACpN', 'BACpO', 'BACpP', 'BACpQ', 'BACpS', 'BMLpG', 'BMLpH', 'BMLpJ', 'BMLpL', 'MERpK', 'C', 'CpN', 'GS', 'GSpA', 'GSpC', 'GSpD', 'AMJB', 'JPM', 'JPMpC', 'JPMpD', 'JPMpJ', 'JPMpK', 'JPMpL', 'JPMpM', 'WFC', 'WFCpA', 'WFCpC', 'WFCpD', 'WFCpL', 'WFCpY', 'WFCpZ']",DULL,2024-09-18
Dividend 15 Split Corp. II Increases Preferred Share Rate,"Dividend 15 Split Corp. II announced an increase in the Preferred share dividend rate to 7.00% from 5.75% on the $10.00 repayment value for the new five-year term effective December 1, 2024. The company also extended the termination date by a further five-year period from December 1, 2024 to December 1, 2029.",2024-09-18 20:25:24+00:00,https://www.benzinga.com/pressreleases/24/09/g40928241/dividend-15-split-corp-ii-increases-preferred-share-rate,Benzinga,0.24545454545454545,0.5848484848484848,positive,0.24545454545454545,False,False,False,False,False,True,False,False,0.0,369,"['BERZ', 'BMO', 'BULZ', 'CARD', 'CARU', 'DULL', 'FLYD', 'FLYU', 'FNGD', 'FNGO', 'FNGS', 'FNGU', 'GDXD', 'GDXU', 'BNS', 'CM', 'ENB']",DULL,2024-09-18
Financial 15 Split Corp. Preferred Share Rate,"Financial 15 Split Corp. announces that the Preferred Share dividend rate for the fiscal year commencing December 1, 2024 will be set at 8.50%, down from the previous 9.25%. The company invests in a portfolio of 15 North American financial services companies.",2024-09-18 20:26:51+00:00,https://www.benzinga.com/pressreleases/24/09/g40928276/financial-15-split-corp-preferred-share-rate,Benzinga,-0.053703703703703705,0.07592592592592594,neutral,0.053703703703703705,False,False,False,False,False,True,False,False,0.0,306,"['BERZ', 'BMO', 'BULZ', 'CARD', 'CARU', 'DULL', 'FLYD', 'FLYU', 'FNGD', 'FNGO', 'FNGS', 'FNGU', 'GDXD', 'GDXU', 'JETD', 'JETU', 'OILD', 'OILU', 'SHNY', 'WTID', 'WTIU', 'BAC', 'BACpB', 'BACpE', 'BACpK', 'BACpL', 'BACpM', 'BACpN', 'BACpO', 'BACpP', 'BACpQ', 'BACpS', 'BMLpG', 'BMLpH', 'BMLpJ', 'BMLpL', 'MERpK', 'BNS', 'MFC', 'C', 'CpN', 'CM', 'SLF', 'GS', 'GSpA', 'GSpC', 'GSpD', 'RY', 'AMJB', 'JPM', 'JPMpC', 'JPMpD', 'JPMpJ', 'JPMpK', 'JPMpL', 'JPMpM', 'TD', 'WFC', 'WFCpA', 'WFCpC', 'WFCpD', 'WFCpL', 'WFCpY', 'WFCpZ']",DULL,2024-09-18
Dividend Select 15 Corp. Declares Monthly Dividend,"Dividend Select 15 Corp. has declared a monthly distribution of $0.05442 per Equity share, payable on November 8, 2024 to shareholders on record as of October 31, 2024. The distribution is based on a 10.00% annualized rate on the volume weighted average market price of the Equity shares over the last 3 trading days of the preceding month.",2024-10-18 13:00:00+00:00,https://www.globenewswire.com/news-release/2024/10/18/2965542/0/en/Dividend-Select-15-Corp-Declares-Monthly-Dividend.html,GlobeNewswire Inc.,-0.075,0.2333333333333333,neutral,0.075,False,False,False,False,False,True,False,False,0.0,392,"['BERZ', 'BMO', 'BULZ', 'CARD', 'CARU', 'DULL', 'FLYD', 'FLYU', 'FNGD', 'FNGO', 'FNGS', 'FNGU', 'GDXD', 'GDXU', 'JETD', 'JETU', 'OILD', 'OILU', 'SHNY', 'WTID', 'WTIU', 'TU', 'BNS', 'TD', 'OVV', 'TRI', 'CVE', 'CVE.WS', 'RY', 'TAC', 'SLF', 'TRP']",DULL,2024-10-18
Dividend 15 Split Corp. Monthly Dividend Declaration for Class A & Preferred Share,"Dividend 15 Split Corp. has declared its monthly distribution of $0.10000 for each Class A share and $0.04583 for each Preferred share, payable on November 8, 2024 to shareholders on record as at October 31, 2024.",2024-10-18 13:00:00+00:00,https://www.globenewswire.com/news-release/2024/10/18/2965539/0/en/Dividend-15-Split-Corp-Monthly-Dividend-Declaration-for-Class-A-Preferred-Share.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,True,False,False,0.0,297,"['BERZ', 'BMO', 'BULZ', 'CARD', 'CARU', 'DULL', 'FLYD', 'FLYU', 'FNGD', 'FNGO', 'FNGS', 'FNGU', 'GDXD', 'GDXU', 'JETD', 'JETU', 'OILD', 'OILU', 'SHNY', 'WTID', 'WTIU', 'BNS', 'CM', 'RY', 'TD', 'MFC', 'ENB', 'SLF', 'TU', 'TRI', 'TAC', 'TRP']",DULL,2024-10-18
