title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Nasdaq, Methanex And Other Big Stocks Moving Lower On Monday","U.S. stocks traded higher, with the Nasdaq Composite rising around 70 points on Monday. Here are some big stocks recording losses in today’s session.

Beneficient (NASDAQ: BENF) shares fell 17% to $6.87.
Chijet Motor Company, Inc. (NASDAQ: CJET) dropped 11.2% to $4.04.
Nasdaq, Inc. (NASDAQ: NDAQ) fell 10.9% to $51.53 after the company announced the acquisition of Adenza for $10.5 billion in cash and stock.
Sandstorm Gold Ltd. (NYSE: SAND) dropped ...",2023-06-12 14:52:14+00:00,https://www.benzinga.com/news/23/06/32817751/nasdaq-methanex-and-other-big-stocks-moving-lower-on-monday,Benzinga,0.03125,0.26875,neutral,0.03125,True,True,False,False,False,False,False,False,0.0,516,"['MEOH', 'NDAQ', 'CLB', 'TX', 'OMER', 'SAND', 'MTLS', 'TELL', 'APRN', 'JFIN', 'CJET', 'BENF']",BENF,2023-06-12
Why Asset Entities Shares Are Trading Higher By 142%? Here Are Other Stocks Moving In Monday's Mid-Day Session,"Gainers

Asset Entities Inc. (NASDAQ: ASST) shares jumped 142% to $2.79 after the company announced the development of an AI bot as part of its AE360DDM suite of services on Discord.
Micromobility.com Inc. (NASDAQ: MCOM) shares rose 91.2% to $0.44.
Chinook Therapeutics, Inc. (NASDAQ: KDNY) jumped 55.9% to $37.40 after Novartis agreed to acquire the company for $40 per share in cash.
Advanced Health Intelligence Ltd.  (NASDAQ: AHI) shares gained 44% to $3.14 after jumping 581% on Friday.
Auddia Inc.  (NASDAQ: AUUD) shares climbed 39.4% to $0.6042. Auddia reported the launch of its faidr 3.0 mobile app.
Infobird Co., Ltd  (NASDAQ: IFBD) shares climbed 38.8% to $2.02. Infobird recently regained compliance with Nasdaq minimum bid price requirement.
Sono Group N.V. (NASDAQ: SEV) rose 28.6% to $0.2930.
Motus GI Holdings, Inc. (NASDAQ: MOTS) jumped 26.4% to $0.92.
Marker Therapeutics, Inc. (NASDAQ: MRKR) surged 23% to $3.09 after it reported first patient was treated in the company's Phase 1 APOLLO trial of MT-601 for lymphoma patients.
Vera Therapeutics, Inc.  (NASDAQ: VERA) shares gained 20.5% to $9.36.
Tian Ruixiang Holdings Ltd (NASDAQ: TIRX) gained 20.5% to $2.0484.
Vera Therapeutics, Inc. (NASDAQ: VERA) climbed 19.2% to $9.27.
Recruiter.com Group, Inc. (NASDAQ: RCRT) surged 18% to $0.3191.
Olema Pharmaceuticals, Inc. (NASDAQ: OLMA) rose 16% to $9.07.
Precigen, Inc. (NASDAQ: PGEN) rose 15.6% to $1.3650.
Gracell Biotechnologies Inc. (NASDAQ: GRCL) climbed 15% to $4.6016.
Carnival Corporation (NYSE: CCL) gained 14.4% to $14.98 after JP Morgan upgraded the stock from Neutral to Overweight and raised its price target from $11 to $16. Also, B of ...",2023-06-12 17:03:57+00:00,https://www.benzinga.com/news/23/06/32820599/why-asset-entities-shares-are-trading-higher-by-142-here-are-other-stocks-moving-in-mondays-mid-day,Benzinga,0.3527777777777778,0.6509259259259259,positive,0.3527777777777778,False,True,False,False,True,False,False,False,0.0,1782,"['ASST', 'TIRX', 'BBLG', 'IFBD', 'SNOA', 'VEEE', 'BLDP', 'APRN', 'CYXT', 'MEOH', 'MOTS', 'MIMO', 'NDAQ', 'MRKR', 'MGLD', 'ORCL', 'YJ', 'VEDU', 'CCL', 'RCRT', 'FRZA', 'S', 'NIO', 'CACO', 'SEV', 'PGEN', 'IRON', 'VERA', 'KC', 'XPEV', 'TIO', 'CTLT', 'ONCR', 'MCOM', 'SIEN', 'KDNY', 'CJET', 'AHI', 'AUUD', 'BENF', 'HTGM', 'OLMA', 'NPWR', 'MDGS', 'GRCL']",BENF,2023-06-12
"Methode Electronics, Brookfield Renewable Partners And Other Big Stocks Moving Lower On Tuesday","U.S. stocks traded higher, with the Dow Jones rising around 100 points on Tuesday. Here are some big stocks recording losses in today’s session.

Methode Electronics, Inc.  (NYSE: MEI) shares dipped 15.7% to $37.98 after the company reported worse-than-expected preliminary fourth-quarter results. The company's outlook for FY24 lagged consensus.
Beneficient (NASDAQ: BENF) fell 13% to $5.77.
Cibus, Inc. (NASDAQ: CBUS) declined 10.6% to $20.74.
Chijet Motor Company, Inc. (NASDAQ: CJET) fell 9.4% to $3.5880.
Super Micro Computer, Inc. (NASDAQ: ...",2023-06-13 14:36:27+00:00,https://www.benzinga.com/news/23/06/32837210/methode-electronics-brookfield-renewable-partners-and-other-big-stocks-moving-lower-on-tuesday,Benzinga,0.09166666666666666,0.34833333333333333,neutral,0.09166666666666666,True,False,False,False,False,False,False,False,0.0,646,"['BIIB', 'SMCI', 'MEI', 'COMP', 'BEP', 'HUBS', 'CBUS', 'LSEA', 'AVPT', 'CJET', 'BENF']",BENF,2023-06-13
"MicroVision, RadNet And Other Big Stocks Moving Lower In Wednesday's Pre-Market Session","U.S. stock futures traded mixed this morning. Here are some big stocks recording losses in today’s pre-market trading session.

MicroVision, Inc. (NASDAQ: MVIS) shares dropped 12.7% to $5.56 in pre-market trading after the company filed for a mixed shelf offering.
RadNet, Inc. (NASDAQ: RDNT) shares fell 9% to $30.01 in pre-market trading. Radnet priced an underwritten offering of 7.575 million shares at $29.75 per share, ...",2023-06-14 10:50:22+00:00,https://www.benzinga.com/news/23/06/32851389/microvision-radnet-and-other-big-stocks-moving-lower-in-wednesdays-pre-market-session,Benzinga,-0.025,0.215,neutral,0.025,True,False,False,False,False,False,False,False,0.0,517,"['LOGI', 'MVIS', 'RDNT', 'HUM', 'UNH', 'KURA', 'BENF']",BENF,2023-06-14
"Domino's Pizza, Patterson-UTI Energy, JinkoSolar And Other Big Stocks Moving Higher On Thursday","U.S. stocks traded higher, with the Dow Jones gaining around 180 points on Thursday. Here are some big stocks recording gains in today’s session.

Nikola Corporation (NASDAQ: NKLA) jumped 19.9% to $1.2950 after jumping 18% on Wednesday.
MicroVision, Inc.  (NASDAQ: MVIS) shares surged 14.9% to $5.28 after the company withdrew its proposed public offering of common stock.
Symbotic Inc. (NASDAQ: SYM) surged 11.7% to $53.83.
Opera Limited (NASDAQ: OPRA) rose 11.6% to $20.83. Opera initiated semi-annual dividend of $0.40 per share.
EHang Holdings Limited (NASDAQ: EH) gained 10.5% to $15.50.
Aldeyra Therapeutics, Inc. (NASDAQ: ALDX) gained 10.1% to $11.51. Aldeyra Therapeutics said Phase 3 INVIGORATE-2 Trial of reproxalap ophthalmic solution for allergic conjunctivitis achieved statistical significance ...",2023-06-15 14:43:17+00:00,https://www.benzinga.com/news/23/06/32876112/dominos-pizza-patterson-uti-energy-jinkosolar-and-other-big-stocks-moving-higher-on-thursday,Benzinga,0.053214285714285714,0.33773809523809517,neutral,0.053214285714285714,False,False,False,False,False,True,False,False,0.0,908,"['ZNTL', 'NKLA', 'VERV', 'DGICB', 'BBAI', 'MVIS', 'BENF', 'PTEN', 'SKYW', 'AI', 'DPZ', 'GT', 'JKS', 'SYM', 'ALDX', 'ASPN', 'EH', 'VEL', 'OPRA']",BENF,2023-06-15
Why John Wiley & Sons Shares Are Trading Lower By Around 10%? Here Are Other Stocks Moving In Thursday's Mid-Day Session,"Gainers

SCWorx Corp. (NASDAQ: WORX) shares jumped 281% to $0.8396.
EdtechX Holdings Acquisition Corp. II (NASDAQ: EDTX) shares jumped 112.8% to $23.56. EdtechX Holdings Acquisition Corp II reported an amendment to extend date to consummate a business combination from June 15, 2023 to Dec. 15, 2023.
VIQ Solutions Inc. (NASDAQ: VQS) rose 35% to $0.3551 after the company partnered with Justice AV Solutions to bring AI-generated draft transcripts of courtroom proceedings.
Axcella Health Inc. (NASDAQ: AXLA) gained 34% to $0.4089.
Leju Holdings Limited  (NYSE: LEJU) gained 27.1% to $3.71 after gaining 15% on Wednesday.
Staffing 360 Solutions, Inc. (NASDAQ: STAF) gained 27% to $0.84.
Sonic Foundry, Inc. (NASDAQ: SOFO) surged 26.1% to $1.3750 after the company announced its Vidable business, which offers AI-powered analytics for video, will team up with its Video Solutions business to develop an offering focused on supporting the events market.
Dragonfly Energy Holdings Corp. (NASDAQ: DFLI) gained 20.3% to $3.08 on new US patent covering continued momentum toward domestic non-flammable lithium battery production.
Nikola Corporation (NASDAQ: NKLA) gained 19.9% to $1.2950 after jumping 18% on Wednesday.
AMMO, Inc. (NASDAQ: POWW) surged 16.9% to $2.3850 following strong quarterly results.
Corner Growth Acquisition Corp. (NASDAQ: COOL) gained 15.9% to $12.19.
IO Biotech, Inc. (NASDAQ: IOBT) surged 15.2% to $1.8550.
MicroVision, Inc.  (NASDAQ: MVIS) shares gained 14.9% to $5.28 after the company withdrew its proposed public offering of common stock.
Jeffs' Brands Ltd (NASDAQ: JFBR) climbed 13.3% to $0.88.
Opera Limited (NASDAQ:",2023-06-15 17:12:47+00:00,https://www.benzinga.com/news/23/06/32880165/why-john-wiley-sons-shares-are-trading-lower-by-around-10-here-are-other-stocks-moving-in-thursdays,Benzinga,0.1608457019171305,0.39037569573283865,positive,0.1608457019171305,False,True,False,False,True,False,False,True,0.0,1765,"['VERX', 'LEJU', 'GAMB', 'VQS', 'DATS', 'IHT', 'CRVS', 'IOBT', 'COOL', 'EDIT', 'WLY', 'MVIS', 'RETA', 'JFBR', 'PTEN', 'BBLG', 'DFLI', 'SOFO', 'JG', 'GETR', 'GT', 'POWW', 'ZVSA', 'CJJD', 'MRSN', 'TCJH', 'ONCS', 'PCSA', 'OPRA', 'LAES', 'BWV', 'EDTX', 'BENF', 'VERA', 'AXLA', 'GREE', 'SONN', 'STAF', 'CRKN', 'WORX', 'NKLA', 'ALDX']",BENF,2023-06-15
"AlloVir, DigitalOcean And Other Big Stocks Moving Lower In Thursday's Pre-Market Session","U.S. stock futures traded lower this morning. Here are some big stocks recording losses in today’s pre-market trading session.

AlloVir, Inc. (NASDAQ: ALVR) shares dipped 24.1% to $3.74 in pre-market trading. AlloVir priced its 20 million share offering at $3.75 per share.
U Power Limited (NASDAQ: UCAR) shares dropped 9.6% to $7.56 in pre-market trading. China unveiled on Wednesday a 520 billion yuan ...",2023-06-22 10:35:06+00:00,https://www.benzinga.com/news/23/06/32962260/allovir-digitalocean-and-other-big-stocks-moving-lower-in-thursdays-pre-market-session,Benzinga,-0.049107142857142856,0.1794642857142857,neutral,0.049107142857142856,True,False,False,False,False,False,False,False,0.0,497,"['ALVR', 'SMMT', 'AMC', 'DOCN', 'FFIE', 'UCAR', 'BENF']",BENF,2023-06-22
"Trupanion, IonQ, 3M And Other Big Stocks Moving Higher In Friday's Pre-Market Session","U.S. stock futures traded lower this morning. Here are some big stocks recording gains in today’s pre-market trading session.

Trupanion, Inc. (NASDAQ: TRUP) shares surged 16.4% to $23.96 in pre-market trading after California and New York approved the company's requested rate increases.
Beneficient (NASDAQ: BENF) gained 12.1% to $4.37 in pre-market trading after dropping around 10% on Thursday.
IonQ, Inc. (NYSE: IONQ) shares surged 8.9% to $10.27 in pre-market trading after the company lifted its booking expectations for the year by 25% to ...",2023-06-23 10:39:42+00:00,https://www.benzinga.com/news/23/06/32981321/trupanion-ionq-3m-and-other-big-stocks-moving-higher-in-fridays-pre-market-session,Benzinga,0.05227272727272727,0.3059090909090909,neutral,0.05227272727272727,False,False,False,False,False,False,False,False,0.0,637,"['MBC', 'STKL', 'GSK', 'MMM', 'TRUP', 'SWBI', 'IONQ', 'BENF']",BENF,2023-06-23
Why Virgin Galactic Are Trading Lower By Around 18%; Here Are 20 Stocks Moving Premarket,"Gainers

Castellum, Inc. (NYSE: CTM) shares surged 176.6% to $1.25 in pre-market trading after dropping around 6% on Thursday.
OncoSec Medical Incorporated (NASDAQ: ONCS) shares gained 99.9% to $0.4201 in pre-market trading after gaining around 8% on Thursday.
Conformis, Inc. (NASDAQ: CFMS) shares rose 91.4% to $2.22 in pre-market trading after the company agreed to be acquired by restor3d, a leading personalized 3D-printed orthopedic company, for a purchase price of $2.27 per share in cash.
Nuvve Holding Corp. (NASDAQ: NVVE) shares rose 60.3% to $0.73 in pre-market trading after the company launched Astrea AI forecasting for Nordic Energy market.
Surgalign Holdings, Inc. (NASDAQ: SRGA) shares gained 38% to $0.2781 in pre-market trading after gaining 6% on Thursday. Surgalign recently entered into an asset purchase agreement to sell its U.S. hardware and biomaterials assets and the equity interests in non-Debtor entities related to the Debtors' hardware business outside of the U.S. to Xtant Medical Holdings for $5 million.
VIQ Solutions Inc. (NASDAQ:",2023-06-23 12:14:21+00:00,https://www.benzinga.com/news/23/06/32982590/why-virgin-galactic-are-trading-lower-by-around-18-here-are-20-stocks-moving-premarket,Benzinga,0.17142857142857143,0.3714285714285714,positive,0.17142857142857143,False,True,True,False,True,True,False,False,0.0,1156,"['LMDX', 'BFRI', 'SGLY', 'LOV', 'TMPO', 'LCUT', 'BDRX', 'ONCS', 'BENF', 'TRUP', 'CTM', 'VQS', 'CFMS', 'AGLE', 'PIXY', 'SPCE', 'SONN', 'SRGA', 'SKLZ', 'NVVE']",BENF,2023-06-23
Why State Street Shares Are Trading Lower By Over 10%? Here Are Other Stocks Moving In Friday's Mid-Day Session,"Gainers

PainReform Ltd. (NASDAQ: PRFX) shares climbed 103% to $11.67. PainReform recently announced pricing of a $2.7 million concurrent registered direct offering and private placement.
EdtechX Holdings Acquisition Corp. II (NASDAQ: EDTX) shares climbed 46.3% to $63.24 after jumping 203% on Thursday.
Frequency Therapeutics, Inc. (NASDAQ: FREQ) gained 41.7% to $0.5669 after the company agreed to merge with Korro Bio in an all- stock transaction.
Ainos, Inc. (NASDAQ: AIMD) surged 38% to $1.0082.
Biodexa Pharmaceuticals Plc (NASDAQ: BDRX) gained 33.4% to $6.15.
Envirotech Vehicles, Inc. (NASDAQ: EVTV) climbed 29.2% to $3.10.
Monopar Therapeutics Inc. (NASDAQ: MNPR) rose 25% to $1.0699.
Chijet Motor Company, Inc. (NASDAQ: CJET) climbed 21.1% to $3.7738. Chijet Motor Company's majority-owned subsidiary achieved a breakthrough in export model.
Canoo Inc. (NASDAQ: GOEV) gained 21.1% to $0.6728.
Western Acquisition Ventures Corp. (NASDAQ: WAVS) gained 18.2% to $12.28.
ARB IOT Group Limited (NASDAQ: ARBB) shares rose 18% to $3.84 after gaining around 12% on Thursday.
TMC the metals company Inc. (NASDAQ: TMC) climbed 16.7% to $2.1250.
ACADIA Pharmaceuticals Inc. (NASDAQ: ACAD) gained 15.6% to $29.83. Acadia Pharmaceuticals acquired ex-North American rights to trofinetide and global rights to Neuren's NNZ-2591 in Rett syndrome and Fragile X syndrome.
Aehr Test Systems (NASDAQ: AEHR) gained 14.4% to $47.80 as the company reported better-than-expected results for its fourth quarter. The company said it sees FY24 revenue to be at least $100 million and GAAP net income of at least $28 million.
1847 Holdings LLC (NYSE: EFSH) rose 14% to $0.2850. 1847 projects revenue of $20 million for the second quarter.
Nutriband Inc. (NASDAQ: NTRB) gained 13.6% to $2.7299. Nutriband increased existing credit line to $5 million supporting the continued development of its AVERSA platform towards FDA submission.
Nikola Corporation  (NASDAQ: NKLA) shares rose 13.1% to $2.5115 after gaining over 60% on Thursday. The company and BayoTech announced an agreement to advance reliable hydrogen supply for zero-emission commercial fuel cell electric vehicle fleets.
Ambow Education Holding Ltd. (NYSE: AMBO) gained 13% to $0.2293.
Arcturus Therapeutics Holdings Inc. (NASDAQ: ARCT) rose 12% to $34.52. Cantor Fitzgerald reiterated Arcturus Therapeutics with an Overweight and maintained a $54 price target.
Elanco Animal Health Incorporated (NYSE: ELAN) gained 10.4% to $11.70 after the company announced the EPA completed its review of the Seresto ...",2023-07-14 16:53:59+00:00,https://www.benzinga.com/news/23/07/33233787/why-state-street-shares-are-trading-lower-by-over-10-here-are-other-stocks-moving-in-fridays-mid-day,Benzinga,0.12159863945578232,0.3734693877551021,positive,0.12159863945578232,True,True,True,False,False,False,False,False,0.0,2662,"['LGHL', 'LUNR', 'TMC', 'PRFX', 'BDRX', 'COMM', 'LUMN', 'ACAD', 'AULT', 'INGN', 'LESL', 'AEHR', 'SFWL', 'GLMD', 'GOEV', 'ERIC', 'ARBB', 'OGI', 'TIXT', 'RMTI', 'SXTP', 'LITE', 'HAYW', 'THRX', 'CJET', 'EFSH', 'FYBR', 'ITP', 'BENF', 'NTRB', 'AIMD', 'NOK', 'GTBP', 'CMAX', 'STT', 'FNKO', 'BTB', 'CGC', 'OPRA', 'CRBU', 'AMBO', 'ARDS', 'EVTV', 'ELAN', 'EDTX', 'VINE', 'ARCT', 'MNPR', 'WAVS', 'LILM', 'FREQ', 'QBTS', 'HCTI', 'NKLA']",BENF,2023-07-14
