title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Stocks Rise on Hopes that Stimulus Deal is ""Just About There""","Stocks Rise on Hopes that Stimulus Deal is ""Just About There""",2020-10-23 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27080,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,124,"['GILD', 'INTC', 'TSLA', 'NFLX', 'AXP', 'ITW', 'WERN', 'SON']",ITW,2020-10-23
3M Earnings Preview: Here's What to Expect,Analyzing the investment case for 3M and why the upcoming results will be very closely followed.,2021-04-23 11:49:00+00:00,https://www.fool.com/investing/2021/04/23/3m-earnings-preview-heres-what-to-expect/?source=iedfolrf0000001,The Motley Fool,0.2,0.3,positive,0.2,True,False,False,False,False,False,False,False,0.0,140,"['MMM', 'ITW']",ITW,2021-04-23
Will Illinois Tool (ITW) Keep Its Earnings Streak Alive in Q1?,"Illinois Tool (ITW) Q1 results to reflect gains from solid product offerings, diverse businesses, improving manufacturing activities and enterprise strategy. Pandemic woes are likely to have hurt.",2021-04-28 16:07:00+00:00,http://www.zacks.com/stock/news/1468338/will-illinois-tool-itw-keep-its-earnings-streak-alive-in-q1?cid=CS-ZC-FT-analyst_blog|earnings_preview-1468338,Zacks Investment Research,0.03333333333333333,0.5,neutral,0.03333333333333333,True,False,False,False,True,False,False,False,0.0,260,"['ITW', 'PH', 'CFX', 'MIDD']",ITW,2021-04-28
5 Big Cap Earnings Superstars,It's not easy for companies to beat on earnings nearly every quarter for years but these five are doing it.,2021-04-28 19:44:00+00:00,http://www.zacks.com/stock/news/1468976/5-big-cap-earnings-superstars?cid=CS-ZC-FT-video_blog-1468976,Zacks Investment Research,-0.03888888888888889,0.4444444444444445,neutral,0.03888888888888889,True,False,False,False,False,False,False,False,0.0,138,"['SWKS', 'ITW', 'MA', 'PH', 'ABBV']",ITW,2021-04-28
Why Earnings Season Could Be Great for Illinois Tool (ITW),Illinois Tool (ITW) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2021-04-29 12:32:00+00:00,http://www.zacks.com/stock/news/1472580/why-earnings-season-could-be-great-for-illinois-tool-itw?cid=CS-ZC-FT-tale_of_the_tape|earnings_surprise-1472580,Zacks Investment Research,0.5136363636363637,0.6477272727272727,positive,0.5136363636363637,True,False,False,False,False,False,False,False,0.0,203,['ITW'],ITW,2021-04-29
"Earnings Scheduled For April 30, 2021","Companies Reporting Before The Bell
• O2Micro Intl (NASDAQ:OIIM) is estimated to report quarterly earnings at $0.09 per share on revenue of $23.30 million.
• Twin Disc (NASDAQ:TWIN) is likely to report quarterly loss at $0.12 per share on revenue of $57.70 million.
• L3Harris Technologies (NYSE:LHX) is projected to report quarterly earnings at $2.94 per share on revenue of $4.54 billion.
• Shell Midstream Partners (NYSE:SHLX) is expected to report quarterly earnings at $0.34 per share on revenue of $123.97 million.
• Cboe Global Markets (BATS:CBOE) is estimated to report quarterly earnings at $1.40 per share on revenue of $353.75 million.
• Quhuo (NASDAQ:QH) is estimated to report quarterly earnings at $0.11 per share on revenue of $117.20 million.
• Pitney Bowes (NYSE:PBI) is expected to report quarterly earnings at $0.04 per share on revenue of $873.86 million.
• Weyerhaeuser (NYSE:WY) is likely to report quarterly earnings at $0.91 per share on revenue of $2.52 billion.
• iRadimed (NASDAQ:IRMD) is estimated to report quarterly earnings at $0.10 per share on revenue of $8.56 million.
• BeyondSpring (NASDAQ:BYSI) is projected to report earnings for its fourth quarter.
• Portland General Electric (NYSE:POR) is likely to report quarterly earnings at $0.92 per share on revenue of $578.16 million.
• Newell Brands (NASDAQ:NWL) is estimated to report quarterly earnings at $0.13 per share on revenue of $2.07 billion.
• Carter's (NYSE:CRI) is projected to report quarterly earnings at $0.32 per share on revenue of $664.49 million.
• Huntsman (NYSE:HUN) is likely to report quarterly earnings at $0.59 per share on revenue of $1.75 billion.
• Clorox (NYSE:CLX) is estimated to report quarterly earnings at $1.48 per share on revenue of $1.87 billion.
• Colgate-Palmolive (NYSE:CL) is expected to report quarterly earnings at $0.79 per share on revenue of $4.25 billion.
• Goodyear Tire & Rubber (NASDAQ:GT) is estimated to report quarterly earnings at $0.09 per share on revenue of $3.40 billion.
• Exxon Mobil (NYSE:XOM) is projected to report quarterly earnings at $0.59 per share on revenue of $54.60 billion.
• AstraZeneca (NASDAQ:AZN) is estimated to report ...Full story available on Benzinga.com",2021-04-30 08:11:54+00:00,https://www.benzinga.com/news/earnings/21/04/20883024/earnings-scheduled-for-april-30-2021,Benzinga,0.01363636363636364,0.5545454545454546,neutral,0.01363636363636364,True,False,False,False,False,False,False,False,0.0,2258,"['AON', 'IMO', 'QSR', 'GT', 'LYB', 'ALXN', 'CCLP', 'GWW', 'CHTR', 'BCPC', 'ESXB', 'HRC', 'WETF', 'DCOM', 'AVNT', 'HUN', 'SLCA', 'IESC', 'ITCB', 'ITW', 'BSAC', 'OFIX', 'ASIX', 'JCI', 'LAZ', 'PSX', 'OIIM', 'BYSI', 'NWL', 'ABBV', 'TWIN', 'JELD', 'PBI', 'PSXP', 'AZN', 'EEX', 'PFS', 'NWHM', 'B', 'LHX', 'PNM', 'SHLX', 'BCS', 'ANPC', 'POR', 'IRMD', 'CL', 'PIPR', 'WPC', 'CLX', 'QH', 'WY', 'CVEO', 'CRI', 'HSAQ', 'XOM', 'SBFG', 'CVX', 'CBOE', 'MGP', 'E']",ITW,2021-04-30
Illinois Tool Works (ITW) Q1 Earnings and Revenues Top Estimates,"Illinois Tool Works (ITW) delivered earnings and revenue surprises of 11.05% and 3.34%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-30 13:15:05+00:00,http://www.zacks.com/stock/news/1478643/illinois-tool-works-itw-q1-earnings-and-revenues-top-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1478643,Zacks Investment Research,0.25,0.3,positive,0.25,True,False,False,False,False,False,False,False,0.0,261,['ITW'],ITW,2021-04-30
"Illinois Tool (ITW) Tops on Q1 Earnings, Increases 2021 View",Illinois Tool's (ITW) Q1 earnings beat estimates and improve year over year on higher sales and margin generation. Projections for 2021 have been raised by the company.,2021-04-30 15:50:00+00:00,http://www.zacks.com/stock/news/1479644/illinois-tool-itw-tops-on-q1-earnings-increases-2021-view?cid=CS-ZC-FT-analyst_blog|earnings_article-1479644,Zacks Investment Research,0.25,0.5,positive,0.25,True,False,False,False,False,False,False,False,0.0,230,"['AIT', 'GGG', 'ITW', 'DOV']",ITW,2021-04-30
Illinois Tool Works Inc (ITW) Q1 2021 Earnings Call Transcript,"ITW earnings call for the period ending March 31, 2021.",2021-04-30 20:01:11+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/30/illinois-tool-works-inc-itw-q1-2021-earnings-call/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,119,['ITW'],ITW,2021-04-30
3 Top Dividend Stocks for a Better Retirement,Retirees should consider these stable dividend stocks to provide reliable income in their investment portfolio.,2021-05-05 01:04:00+00:00,https://www.fool.com/investing/2021/05/04/3-top-dividend-stocks-for-a-better-retirement/?source=iedfolrf0000001,The Motley Fool,0.5,0.5,positive,0.5,False,False,False,False,False,True,False,False,0.0,158,"['MPLX', 'ITW', 'SNA', 'MPC']",ITW,2021-05-05
4 Stocks to Outshine the Thriving Industrial Manufacturing Industry,4 Stocks to Outshine the Thriving Industrial Manufacturing Industry,2021-05-07 13:02:00+00:00,http://www.zacks.com/commentary/1515515/4-stocks-to-outshine-the-thriving-industrial-manufacturing-industry?cid=CS-ZC-FT-industry_outlook-1515515,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,136,"['XYL', 'PH', 'ITW', 'GGG']",ITW,2021-05-07
Illinois Tool Works (ITW) Is Up 0.85% in One Week: What You Should Know,Does Illinois Tool Works (ITW) have what it takes to be a top stock pick for momentum investors? Let's find out.,2021-05-07 16:00:07+00:00,http://www.zacks.com/stock/news/1516577/illinois-tool-works-itw-is-up-085-in-one-week-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_10-1516577,Zacks Investment Research,0.5,0.5,positive,0.5,False,False,False,False,False,False,False,False,0.0,185,['ITW'],ITW,2021-05-07
Sand In My Shoes - April Update,My portfolio value was up 2.65% for the month and is up 8.31% year to date. Click here to see the several changes I made to the portfolio.,2021-05-09 07:33:40+00:00,https://seekingalpha.com/article/4426286-sand-in-shoes-april-update?source=feed,Seeking Alpha,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,171,"['AAPL', 'ABBV', 'AMGN', 'APD', 'AVGO', 'BLK', 'C', 'CSCO', 'CVS', 'CVX', 'ED', 'EMN', 'GPC', 'HD', 'HRL', 'IFF', 'IPG', 'ITW', 'JNJ', 'LEG', 'MAIN', 'MMM', 'MMP', 'MSFT', 'NEE', 'O', 'OHI', 'PEP', 'PPL', 'PRU', 'SO', 'T', 'TXN', 'VZ', 'WMT', 'XOM']",ITW,2021-05-09
