title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
5 E-commerce Stocks Set to Beat Earnings Estimates in Q2,"Here's a sneak peek into five e-commerce stocks, which have the potential to surpass estimates this earnings season.",2021-08-04 13:16:00+00:00,https://www.zacks.com/stock/news/1774264/5-e-commerce-stocks-set-to-beat-earnings-estimates-in-q2,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,174,"['AMZN', 'EBAY', 'EXPE', 'W', 'CVNA', 'ACVA']",ACVA,2021-08-04
"Groupon (GRPN) Q2 Earnings Top Estimates, Revenues Decline Y/Y","Groupon's (GRPN) Q2 performance reflects strength in the ongoing pivot strategy. However, COVID-19 induced sluggishness in travel, restaurant and local businesses affects uptick in daily deals.",2021-08-06 14:17:00+00:00,https://www.zacks.com/stock/news/1776071/groupon-grpn-q2-earnings-top-estimates-revenues-decline-yy,Zacks Investment Research,0.16666666666666666,0.16666666666666666,positive,0.16666666666666666,True,False,False,False,False,False,False,False,0.0,257,"['TGT', 'WEN', 'GRPN', 'ACVA']",ACVA,2021-08-06
Why Earnings Season Could Be Great for ACV Auctions (ACVA),ACV Auctions (ACVA) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2021-08-09 13:45:00+00:00,https://www.zacks.com/stock/news/1776854/why-earnings-season-could-be-great-for-acv-auctions-acva,Zacks Investment Research,0.5136363636363637,0.6477272727272727,positive,0.5136363636363637,True,False,False,False,False,False,False,False,0.0,203,['ACVA'],ACVA,2021-08-09
ACV Auctions Inc (ACVA) Q2 2021 Earnings Call Transcript,"ACVA earnings call for the period ending June 30, 2021.",2021-08-12 19:30:21+00:00,https://www.fool.com/earnings/call-transcripts/2021/08/12/acv-auctions-inc-acva-q2-2021-earnings-call-transc/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,113,['ACVA'],ACVA,2021-08-12
Wall Street Breakfast: The Week Ahead,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-09-19 11:17:19+00:00,https://seekingalpha.com/article/4456023-wall-street-breakfast-week-ahead,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,176,"['FDX', 'NKE', 'T', 'DIS', 'PTON', 'FUSE', 'AZO', 'CBRL', 'ACB', 'ADBE', 'SFIX', 'GIS', 'BB', 'KBH', 'CCL', 'DRI', 'RAD', 'COST', 'DOCN', 'ACVA', 'DSEY', 'OLK', 'CRCT', 'VZIO', 'SEMR', 'TDUP', 'LVTX', 'ACN', 'LMT', 'PRGS', 'IDA', 'INCY', 'VRCA', 'XPO', 'BSX', 'MSFT', 'SPT', 'CRM', 'WMG', 'NWS', 'SNAP', 'TMUS', 'HAS', 'FRPT', 'LW', 'SVM', 'RJF', 'V', 'JPM', 'BHP', 'VALE', 'RIO']",ACVA,2021-09-19
Wall Street Breakfast: The Week Ahead (Podcast),The Federal Reserve meeting is the big marquee event in the week ahead.,2021-09-19 11:28:58+00:00,https://seekingalpha.com/article/4456025-wall-street-breakfast-the-week-ahead-podcast,Seeking Alpha,0.0,0.1,neutral,0.0,False,False,False,False,False,False,False,False,0.0,120,"['FDX', 'NKE', 'T', 'DIS', 'PTON', 'FUSE', 'AZO', 'CBRL', 'ACB', 'ADBE', 'SFIX', 'GIS', 'BB', 'KBH', 'CCL', 'DRI', 'RAD', 'COST', 'DOCN', 'ACVA', 'DSEY', 'OLK', 'CRCT', 'VZIO', 'SEMR', 'TDUP', 'LVTX', 'ACN', 'LMT', 'PRGS', 'IDA', 'INCY', 'VRCA', 'XPO', 'BSX', 'MSFT', 'SPT', 'CRM', 'WMG', 'NWS', 'SNAP', 'TMUS', 'HAS', 'FRPT', 'LW', 'SVM', 'RJF', 'V', 'JPM', 'BHP', 'VALE', 'RIO']",ACVA,2021-09-19
Wall Street Analysts Think ACV Auctions Inc. (ACVA) Could Surge 73%: Read This Before Placing a Bet,"The consensus price target hints at a 73.1% upside potential for ACV Auctions Inc. (ACVA). While empirical research shows that this sought-after metric is hardly effective, an upward trend in earnings estimate revisions could mean that the stock will witness an upside in the near term.",2021-10-25 14:57:00+00:00,https://www.zacks.com/stock/news/1815866/wall-street-analysts-think-acv-auctions-inc-acva-could-surge-73-read-this-before-placing-a-bet,Zacks Investment Research,0.09749999999999999,0.5975,neutral,0.09749999999999999,True,False,False,False,False,False,False,False,0.0,387,['ACVA'],ACVA,2021-10-25
Should You Buy ACV Auctions (ACVA) Ahead of Earnings?,ACV Auctions (ACVA) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2021-11-09 13:34:00+00:00,https://www.zacks.com/stock/news/1825749/should-you-buy-acv-auctions-acva-ahead-of-earnings,Zacks Investment Research,0.22727272727272727,0.5454545454545454,positive,0.22727272727272727,True,True,False,False,False,False,False,False,0.0,198,['ACVA'],ACVA,2021-11-09
Wall Street Analysts Believe ACV Auctions Inc. (ACVA) Could Rally 70%: Here's is How to Trade,"The average of price targets set by Wall Street analysts indicates a potential upside of 69.9% in ACV Auctions Inc. (ACVA). While the effectiveness of this highly sought-after metric is questionable, the positive trend in earnings estimate revisions might translate into an upside in the stock.",2021-11-10 15:27:00+00:00,https://www.zacks.com/stock/news/1826635/wall-street-analysts-believe-acv-auctions-inc-acva-could-rally-70-heres-is-how-to-trade,Zacks Investment Research,-0.05254545454545454,0.6970909090909091,neutral,0.05254545454545454,True,False,False,False,False,False,False,False,0.0,389,['ACVA'],ACVA,2021-11-10
ACV Auctions Inc (ACVA) Q3 2021 Earnings Call Transcript,"ACVA earnings call for the period ending September 30, 2021.",2021-11-11 04:30:36+00:00,https://www.fool.com/earnings/call-transcripts/2021/11/10/acv-auctions-inc-acva-q3-2021-earnings-call-transc/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,118,['ACVA'],ACVA,2021-11-11
ACV Participates as Active Sponsor and Exhibitor at Used Car Week 2021,"The leading digital automotive marketplace will participate in a wide variety of speaking sessions and events from November 15-18 in Las Vegas, Nevada The leading digital automotive marketplace will participate in a wide variety of speaking sessions and events from November 15-18 in Las Vegas, Nevada",2021-11-12 18:47:00+00:00,https://www.globenewswire.com/news-release/2021/11/12/2333602/0/en/ACV-Participates-as-Active-Sponsor-and-Exhibitor-at-Used-Car-Week-2021.html,GlobeNewswire Inc.,-0.06666666666666668,0.27999999999999997,neutral,0.06666666666666668,False,False,False,False,False,False,False,False,0.0,373,['ACVA'],ACVA,2021-11-12
ACV To Participate at the 2021 Raymond James Technology Investors Conference,"BUFFALO, N.Y., Dec.  01, 2021  (GLOBE NEWSWIRE) -- ACV (NASDAQ: ACVA), the leading online automotive marketplace for dealers, announced today that members of its management team will present at the 2021 Raymond James Technology Investors Conference on December 6, 2021 at 8:50 AM Eastern Time.",2021-12-01 21:01:00+00:00,https://www.globenewswire.com/news-release/2021/12/01/2344518/0/en/ACV-To-Participate-at-the-2021-Raymond-James-Technology-Investors-Conference.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,True,False,0.0,371,['ACVA'],ACVA,2021-12-01
Is a Surprise Coming for ACV Auctions (ACVA) This Earnings Season?,ACV Auctions (ACVA) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2022-02-15 13:34:00+00:00,https://www.zacks.com/stock/news/1867626/is-a-surprise-coming-for-acv-auctions-acva-this-earnings-season,Zacks Investment Research,0.22727272727272727,0.5454545454545454,positive,0.22727272727272727,True,False,False,False,False,False,False,False,0.0,211,['ACVA'],ACVA,2022-02-15
