title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Earnings Scheduled For April 29, 2021","Companies Reporting Before The Bell
• OSI Systems (NASDAQ:OSIS) is estimated to report quarterly earnings at $1.33 per share on revenue of $290.51 million.
• Fomento Economico (NYSE:FMX) is likely to report quarterly earnings at $0.41 per share on revenue of $6.49 billion.
• PG&E (NYSE:PCG) is expected to report quarterly earnings at $0.27 per share on revenue of $4.83 billion.
• Silicom (NASDAQ:SILC) is likely to report quarterly earnings at $0.35 per share on revenue of $28.25 million.
• AllianceBernstein Holding (NYSE:AB) is expected to report quarterly earnings at $0.75 per share on revenue of $807.41 million.
• Alnylam Pharmaceuticals (NASDAQ:ALNY) is estimated to report quarterly loss at $1.75 per share on revenue of $168.74 million.
• Allegheny Technologies (NYSE:ATI) is expected to report quarterly loss at $0.24 per share on revenue of $638.31 million.
• Brunswick (NYSE:BC) is likely to report quarterly earnings at $1.44 per share on revenue of $1.21 billion.
• BGC Partners (NASDAQ:BGCP) is likely to report quarterly earnings at $0.18 per share on revenue of $573.00 million.
• Carlyle Group (NASDAQ:CG) is estimated to report quarterly earnings at $0.52 per share on revenue of $609.52 million.
• Cognyte Software (NASDAQ:CGNT) is expected to report quarterly earnings at $0.23 per share on revenue of $123.46 million.
• Church & Dwight Co (NYSE:CHD) is projected to report quarterly earnings at $0.81 per share on revenue of $1.20 billion.
• CMS Energy (NYSE:CMS) is estimated to report quarterly earnings at $1.11 per share on revenue of $2.06 billion.
• Consolidated Comms Hldgs (NASDAQ:CNSL) is estimated to report quarterly earnings at $0.06 per share on revenue of $316.99 million.
• Cohu (NASDAQ:COHU) is expected to report quarterly earnings at $0.79 per share on revenue of $222.85 million.
• Mr. Cooper Group (NASDAQ:COOP) is likely to report quarterly earnings at $2.36 per share on revenue of $914.44 million.
• Carpenter Tech (NYSE:CRS) is estimated to report quarterly loss at $0.57 per share on revenue of $368.43 million.
• Evelo Biosciences (NASDAQ:EVLO) is expected to report earnings for its first quarter.
• Genocea Biosciences (NASDAQ:GNCA) is projected to report earnings for its first quarter.
• Gol Intelligent Airlines (NYSE:GOL) is projected to report quarterly loss at $0.81 per share on revenue of $351.33 million.
• Great Western Bancorp (NYSE:GWB) is likely to report quarterly earnings at $0.61 per share on revenue of $117.44 million.
• Integer Holdings (NYSE:ITGR) is estimated to report quarterly earnings at $0.73 per share on revenue of $284.20 million.
• Kraft Heinz (NASDAQ:KHC) is estimated to report quarterly earnings at $0.59 per share on revenue of $6.25 billion.
• Mastercard (NYSE:MA) is estimated to report quarterly earnings at $1.57 per share on revenue of $3.99 billion.
• Meredith (NYSE:MDP) is projected to report quarterly earnings at $0.32 per share on revenue of $677.99 million.
• Magellan Midstream (NYSE:MMP) is projected to report quarterly earnings at $0.85 per share on revenue of $668.51 million.
• Medical Properties Trust (NYSE:MPW) is estimated to report quarterly earnings at $0.27 per share on revenue of $347.23 million.
• Nokia (NYSE:NOK) is estimated to report quarterly earnings at $0.01 per share on revenue of $5.83 billion.
• NexPoint Real Estate (NYSE:NREF) is estimated to report quarterly earnings at $0.51 per share on revenue of $8.69 million.
• nVent Electric (NYSE:NVT) is estimated to report quarterly earnings at $0.35 per share on revenue of $510.75 million.
• Overstock.com (NASDAQ:OSTK) is likely to report quarterly earnings at $0.05 per share on revenue of $582.35 million.
• Patrick Industries (NASDAQ:PATK) is likely to report quarterly earnings at $1.32 per share on revenue of $740.71 million.
• PBF Logistics (NYSE:PBFX) is likely to report quarterly earnings at $0.49 per share on revenue of $85.42 million.
• Perficient (NASDAQ:PRFT) is projected to report quarterly earnings at $0.67 per share on revenue of $166.62 million.
• Royal Caribbean Gr (NYSE:RCL) is projected to report quarterly loss at $4.63 per share on revenue of $37.56 million.
• Realogy Holdings (NYSE:RLGY) is likely to report quarterly loss at $0.06 per share on revenue of $1.51 billion.
• SolarWinds (NYSE:SWI) is projected to report quarterly earnings at $0.20 per share on revenue of $252.95 million.
• Millicom Intl Cellular (NASDAQ:TIGO) is projected to report quarterly earnings at $0.25 per share on revenue of $1.59 billion.
• Total (NYSE:TOT) is estimated to report quarterly earnings at $0.86 per share on revenue of $36.09 billion.
• TriMas (NASDAQ:TRS) is likely to report quarterly earnings at $0.37 per share on revenue of $195.56 million.
• Valley National (NASDAQ:VLY) is likely to report quarterly earnings at $0.29 per share on revenue of $334.27 million.
• Peabody Energy (NYSE:BTU) is projected to report quarterly loss at $0.80 per share on revenue of $667.25 million.
• Materion (NYSE:MTRN) is estimated to report quarterly earnings at $0.60 per share on revenue of $332.45 million.
• Alliance Data Systems (NYSE:ADS) is likely to report quarterly earnings at $3.16 per share on revenue of $1.06 billion.
• AGCO (NYSE:AGCO) is estimated to report quarterly earnings at $1.13 per share on revenue of $2.22 billion.
• BrightSphere Investment (NYSE:BSIG) is projected to report quarterly earnings at $0.40 per share on revenue of $161.57 million.
• CTS (NYSE:CTS) is likely to report quarterly earnings at $0.39 per share on revenue of $119.20 million.
• Domino's Pizza (NYSE:DPZ) is estimated to report quarterly earnings at $2.94 per share on revenue of $983.05 million.
• EMCOR Gr (NYSE:EME) is expected to report quarterly earnings at $1.22 per share on revenue of $2.20 billion.
• FTI Consulting (NYSE:FCN) is likely to report quarterly earnings at $1.34 per share on revenue of $619.13 million.
• Hilton Grand Vacations (NYSE:HGV) is projected to report quarterly loss at $0.03 per share on revenue of $216.96 million.
• Intercontinental Exchange (NYSE:ICE) is likely to report quarterly earnings at $1.30 per share on revenue of $1.77 billion.
• Lawson Products (NASDAQ:LAWS) is expected to report quarterly earnings at $0.55 per share on revenue of $105.00 million.
• Lindblad Expeditions (NASDAQ:LIND) is estimated to report quarterly loss at $0.55 per share on revenue of $920.00 thousand.
• MACOM Technology (NASDAQ:MTSI) is projected to report quarterly earnings at $0.47 per share on revenue of $150.06 million.
• Parker Hannifin (NYSE:PH) is projected to report quarterly earnings at $3.78 per share on revenue of $3.73 billion.
• Southern (NYSE:SOLN) is estimated to report earnings for its first quarter.
• iStar (NYSE:STAR) is estimated to report quarterly earnings at $0.11 per share on revenue of $100.20 million.
• West Bancorp (NASDAQ:WTBA) is likely to report quarterly earnings at $0.63 per share on revenue of $24.70 million.
• Baxter Intl (NYSE:BAX) is estimated to report quarterly earnings at $0.64 per share on revenue of $2.89 billion.
• Navios Maritime Partners (NYSE:NMM) is projected to report quarterly earnings at $1.73 per share on revenue of $67.55 million.
• S&P Global (NYSE:SPGI) is expected to report quarterly earnings at $3.03 per share on revenue of $1.93 billion.
• Group 1 Automotive (NYSE:GPI) is projected to report quarterly earnings at $4.43 per share on revenue of $2.69 billion.
• Citrix Systems (NASDAQ:CTXS) is expected to report quarterly earnings at $1.43 per share on revenue of $797.64 million.
• Abiomed (NASDAQ:ABMD) is projected to report quarterly earnings at $1.10 per share on revenue of $230.38 million.
• Allegiance Bancshares (NASDAQ:ABTX) is expected to report quarterly earnings at $0.83 per share on revenue of $58.15 million.
• Agios Pharmaceuticals (NASDAQ:AGIO) is expected to report quarterly loss at $1.32 per share on revenue of $44.60 million.
• Altra Industrial Motion (NASDAQ:AIMC) is projected to report quarterly earnings at $0.76 per share on revenue of $462.49 million.
• American Tower (NYSE:AMT) is projected to report quarterly earnings at $1.27 per share on revenue of $2.17 billion.
• Ardagh Group (NYSE:ARD) is estimated to report quarterly earnings at $0.37 per share on revenue of $1.73 billion.
• BCE (NYSE:BCE) is expected to report quarterly earnings at $0.65 per share on revenue of $4.43 billion.
• Bloomin Brands (NASDAQ:BLMN) is estimated to report quarterly earnings at $0.33 per share on revenue of $954.33 million.
• Bristol-Myers Squibb (NYSE:BMY) is estimated to report quarterly earnings at $1.81 per share on revenue of $11.11 billion.
• Blueprint Medicines (NASDAQ:BPMC) is expected to report quarterly loss at $1.86 per share on revenue of $17.25 million.
• Comcast (NASDAQ:CMCSA) is likely to report quarterly earnings at $0.58 per share on revenue of $26.72 billion.
• ConnectOne Bancorp (NASDAQ:CNOB) is estimated to report quarterly earnings at $0.67 per share on revenue of $61.71 million.
• Cowen (NASDAQ:COWN) is likely to report quarterly earnings at $3.21 per share on revenue of $528.58 million.
• Capital Product Partners (NASDAQ:CPLP) is likely to report quarterly earnings at $0.40 per share on revenue of $36.23 million.
• Hershey (NYSE:HSY) is estimated to report quarterly earnings at $1.80 per share on revenue of $2.11 billion.
• Imax (NYSE:IMAX) is likely to report quarterly loss at $0.25 per share on revenue of $38.49 million.
• International Paper (NYSE:IP) is likely to report quarterly earnings at $0.62 per share on revenue of $5.34 billion.
• Kirby (NYSE:KEX) is likely to report quarterly earnings at $0.12 per share on revenue of $476.02 million.
• Kimco Realty (NYSE:KIM) is expected to report quarterly earnings at $0.10 per share on revenue of $262.46 million.
• McDonald's (NYSE:MCD) is estimated to report quarterly earnings at $1.81 per share on revenue of $5.03 billion.
• Altria Group (NYSE:MO) is estimated to report quarterly earnings at $1.05 per share on revenue of $4.98 billion.
• Newmont (NYSE:NEM) is expected to report quarterly earnings at $0.79 per share on revenue of $3.26 billion.
• PROG Holdings (NYSE:PRG) is likely to report quarterly earnings at $0.91 per share on revenue of $662.93 million.
• Resolute Forest Products (NYSE:RFP) is likely to report quarterly earnings at $1.66 per share on revenue of $872.50 million.
• Stericycle (NASDAQ:SRCL) is estimated to report quarterly earnings at $0.59 per share on revenue of $648.52 million.
• Molson Coors Beverage (NYSE:TAP) is projected to report quarterly loss at $0.09 per ...Full story available on Benzinga.com",2021-04-29 08:10:14+00:00,https://www.benzinga.com/news/earnings/21/04/20855783/earnings-scheduled-for-april-29-2021,Benzinga,0.033035714285714265,0.6517857142857139,neutral,0.033035714285714265,True,False,False,False,True,False,False,False,0.0,10673,"['MMSI', 'NVCR', 'MHK', 'MTRN', 'SILC', 'NIO', 'SM', 'NXJ', 'MGNX', 'HSY', 'VLY', 'MRLN', 'WLTW', 'MMP', 'KMPR', 'SKYW', 'ONEW', 'SNN', 'PSI', 'TWTR', 'IBA', 'WAB', 'MSTR', 'ULH', 'MO', 'MITK', 'SRCL', 'ONTO', 'SO', 'WEX', 'LEAF', 'ICE', 'WDC', 'MTSI', 'SPGI', 'MPW', 'LKQ', 'STAR', 'NREF', 'SSL', 'WSC', 'QUMU', 'IDA', 'WST', 'MVIS', 'KNSL', 'MRK', 'VCRA', 'STRA', 'NTST', 'STM', 'AMZN', 'PBFX', 'INT', 'X', 'XEL', 'NATI', 'TRTN', 'NEM', 'LFVN', 'SWKS', 'SWI', 'HAYN', 'ZEN', 'IP', 'SPSC', 'OCFC', 'ITGR', 'NMM', 'THRM', 'TBBK', 'SWN', 'HTGC', 'MTLS', 'KBR', 'PEB', 'OMCL', 'HGV', 'NOC', 'RFP', 'TEAM', 'TAP', 'IMAX', 'TRUP', 'KEX', 'TW', 'OSIS', 'VRNA', 'NOK', 'SAND', 'TREE', 'TEX', 'KLAC', 'NVT', 'KIM', 'OSTK', 'JHG', 'OFC', 'WRAP', 'TROW', 'TFX', 'LAWS', 'NTP', 'KRG', 'PACB', 'PATK', 'VICI', 'PCG', 'SOLN', 'TXRH', 'THG', 'LLNW', 'GWB', 'LH', 'LTC', 'LPLA', 'POWI', 'SYNH', 'PH', 'RLGY', 'ULBI', 'TMO', 'LMAT', 'TUSK', 'MA', 'NPTN', 'PRFT', 'GSHD', 'RCL', 'PBF', 'USAK', 'TOT', 'LTRX', 'TACO', 'MCD', 'PRG', 'PTEN', 'OPI', 'RMD', 'ORC', 'VRTX', 'TPX', 'MATW', 'KHC', 'MDC', 'ZYXI', 'SGEN', 'KDP', 'ROG', 'TMHC', 'WTBA', 'TRS', 'MDRX', 'SRG', 'LIND', 'MDP', 'VC', 'SHEN', 'TIGO', 'SAH', 'NDLS', 'HP', 'TXT', 'MERC']",RMD,2021-04-29
ResMed (RMD) Q3 Earnings Top Estimates,"ResMed (RMD) delivered earnings and revenue surprises of 6.56% and -2.00%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-04-29 21:55:11+00:00,http://www.zacks.com/stock/news/1475364/resmed-rmd-q3-earnings-top-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1475364,Zacks Investment Research,0.25,0.3,positive,0.25,True,False,False,False,False,False,False,False,0.0,222,['RMD'],RMD,2021-04-29
ResMed (RMD) Q3 2021 Earnings Call Transcript,"RMD earnings call for the period ending March 31, 2021.",2021-04-30 03:31:36+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/29/resmed-rmd-q3-2021-earnings-call-transcript/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,102,['RMD'],RMD,2021-04-30
12 Health Care Stocks Moving In Friday's Pre-Market Session,"Gainers

Motus GI Hldgs (NASDAQ:MOTS) stock increased by 46.78% to $1.6 during Friday's pre-market session. The market value of their outstanding shares is at $74.7 million.
Arcutis Biotherapeutics (NASDAQ:ARQT) stock rose 8.67% to $33.2. The company's market cap stands at $1.6 billion.
AnPac Bio-Medical Science (NASDAQ:ANPC) shares rose 8.22% to $5.92. The market value of their outstanding shares is at $66.3 million. As per the news, the Q4 earnings report came out today.
Cyclacel Pharmaceuticals (NASDAQ:CYCC) shares moved upwards by 6.75% ...Full story available on Benzinga.com",2021-04-30 12:14:58+00:00,https://www.benzinga.com/pre-market-outlook/21/04/20886521/12-health-care-stocks-moving-in-fridays-pre-market-session,Benzinga,0.52,0.8099999999999999,positive,0.52,True,False,False,False,False,False,False,False,0.0,647,"['CYCC', 'PSTI', 'RMD', 'PACB', 'ARDX', 'DBVT', 'OBLN', 'MOTS', 'OSMT', 'MRKR', 'ANPC', 'ARQT']",RMD,2021-04-30
"ResMed (RMD) Q3 Earnings Surpass Estimates, Revenues Miss",Lower device sales including weak demand for ventilators due to COVID-19 hurt ResMed's (RMD) Q3 top line.,2021-04-30 14:04:00+00:00,http://www.zacks.com/stock/news/1479154/resmed-rmd-q3-earnings-surpass-estimates-revenues-miss?cid=CS-ZC-FT-analyst_blog|earnings_article-1479154,Zacks Investment Research,0.0,0.5,neutral,0.0,True,False,False,False,False,False,False,False,0.0,164,"['IART', 'RMD', 'HCA', 'CHE']",RMD,2021-04-30
12 Health Care Stocks Moving In Friday's Intraday Session,"Gainers

Motus GI Hldgs (NASDAQ:MOTS) stock moved upwards by 30.17% to $1.42 during Friday's regular session. As of 12:31 EST, this security is trading at a volume of 113.9 million shares, making up 3758.63% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $66.3 million.
Cryolife (NYSE:CRY) stock moved upwards by 18.77% to $27.9. Cryolife's stock is trading at a volume of 843.1K shares as of 12:31 EST. This is 510.56% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $1.0 billion. As per the press release, Q1 earnings came out yesterday.
Vaxart (NASDAQ:VXRT) stock increased by 11.81% to $10.3. Vaxart's stock is trading at a volume of 51.8 million shares as of 12:31 EST. This is 277.3% of its average full-day volume over the last 100 days. The company's market cap stands at $1.2 billion.
BioVie (NASDAQ:BIVI) shares rose 11.69% to $18.11. The current volume of 56.2K shares is 50.67% of BioVie's average full-day volume over the ...Full story available on Benzinga.com",2021-04-30 16:40:54+00:00,https://www.benzinga.com/intraday-update/21/04/20893171/12-health-care-stocks-moving-in-fridays-intraday-session,Benzinga,0.10769230769230768,0.4136094674556214,positive,0.10769230769230768,True,False,True,False,True,False,False,False,0.0,1150,"['LMAT', 'CRY', 'RMD', 'PACB', 'ARDX', 'BIVI', 'MOTS', 'VXRT', 'OCGN', 'ARQT', 'KROS', 'ALXO']",RMD,2021-04-30
Here's Why You Should Hold on to ResMed (RMD) Stock for Now,"Investors continue to be optimistic about ResMed (RMD), owing to its potential in digital health and consistent high demand for its masks.",2021-05-11 13:18:00+00:00,http://www.zacks.com/stock/news/1535514/heres-why-you-should-hold-on-to-resmed-rmd-stock-for-now?cid=CS-ZC-FT-analyst_blog|rank_focused-1535514,Zacks Investment Research,0.10250000000000001,0.4475,positive,0.10250000000000001,False,False,False,False,False,False,False,False,0.0,199,"['AMED', 'RMD', 'BSX', 'EYE']",RMD,2021-05-11
2 Stocks That Are Much More Likely Than AMC to Make You Rich,"Gambling can be fun, but growing sales and profits are what matter for long-term gains.",2021-06-04 14:10:00+00:00,https://www.fool.com/investing/2021/06/04/2-stocks-that-are-much-more-likely-than-amc-to-mak/?source=iedfolrf0000001,The Motley Fool,0.29375,0.6125,positive,0.29375,True,False,False,False,False,False,False,False,0.0,149,"['AMC', 'RMD', 'TTD']",RMD,2021-06-04
ResMed (RMD) Rallies as Philips Falters on Mass Product Recall,"The full U.S. launch of ResMed (RMD) AirSense 11 is expected any time in 2021, which might receive bigger market acceptance capitalizing on its current peer position.",2021-06-15 12:05:00+00:00,https://www.zacks.com/stock/news/1711676/resmed-rmd-rallies-as-philips-falters-on-mass-product-recall,Zacks Investment Research,0.06249999999999999,0.4625,neutral,0.06249999999999999,False,False,False,False,True,False,False,False,0.0,230,"['PHG', 'RMD', 'IDXX']",RMD,2021-06-15
"The Daily Biotech Pulse: AstraZeneca, Biogen Face Clinical Trial Disappointments, Novavax Studies Coronavirus-Flu Combo Vaccine, Decision Day For Takeda","Here's a roundup of top developments in the biotech space over the last 24 hours:
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs June 14)

Alkermes plc (NASDAQ: ALKS)
Apellis Pharmaceuticals, Inc. (NASDAQ: APLS)
Bio-Techne Corporation (NASDAQ: TECH)
Centessa Pharmaceuticals Limited (NASDAQ: CNTA)
Dicerna Pharmaceuticals, Inc. (NASDAQ: DRNA)
Dr. Reddy's Laboratories Limited (NYSE: RDY
Edwards Lifesciences Corporation (NYSE: EW)
Enochian Biosciences, Inc. (NASDAQ: ENOB) (announced FDA acceptance of pre-IND application for investigational HIV therapy)
GT Biopharma, Inc. (NASDAQ: GTBP)
Jazz Pharmaceuticals plc (NASDAQ: JAZZ)
LeMaitre Vascular, Inc. (NASDAQ: LMAT)
Maravai LifeSciences Holdings, Inc. (NASDAQ: MRVI)
NovoCure Limited (NASDAQ: NVCR)
Ortho Clinical Diagnostics Holdings plc (NASDAQ: OCDX)
PPD, Inc. (NASDAQ: PPD)
Protagonist Therapeutics, Inc. (NASDAQ: PTGX)
Psychemedics Corporation (NASDAQ: PMD)
RAPT Therapeutics, Inc. (NASDAQ: RAPT) (moved in reaction to positive early stage results for atopic dermatitis candidate)
ResMed Inc. (NYSE: RMD) - rose after Koninklijke Philips N.V. (NYSE: PHG) recalled rival sleep device
Sesen Bio, Inc. (NASDAQ: SESN)
ShockWave Medical, Inc. (NASDAQ: SWAV)
Verastem, Inc. (NASDAQ: VSTM)
Zoetis Inc. (NYSE: ZTS)

Down In The Dumps
(Biotech Stocks Hitting 52-week Lows June 14)

Achilles Therapeutics plc (NASDAQ: ACHL)
Avenue Therapeutics, Inc. (NASDAQ: ATXI) (received  a complete response letter to new drug application for non-opioid pain drug)
Bolt Biotherapeutics, Inc. (NASDAQ: BOLT)
Ikena Oncology, Inc. (NASDAQ: IKNA)
Janux Therapeutics, Inc. (NASDAQ: JANX) (went public Friday)
Nautilus Biotechnology, Inc. (NASDAQ: NAUT) (listed on Thursday through a SPAC deal)
Vertex Pharmaceuticals Incorporated (NASDAQ: VRTX)

Stocks In Focus
Fusion Pharma Announces Positive Phase 1 Data For FPI-1434 In Multiple Tumor Types
Fusion Pharmaceuticals Inc. (NASDAQ: FSUN) announced the presentation of preliminary Phase 1 data from the single-dose portion of the study at the Society of Nuclear Medicine and Molecular Imaging Virtual Annual Meeting, demonstrating that treatment with its actinium-based targeted alpha therapy FPI-1434 was well-tolerated, and imaging shows uptake of the drug across multiple tumor types.
""Importantly, these data supported our ability to initiate the multi-dosing portion of the study, in which we would expect to begin reaching total cumulative levels of radiation necessary to demonstrate anti-tumor activity,"" said CEO John Valliant.
In after-hours trading, the stock gained 10.54% to $9.02.
AstraZeneca's Antibody Cocktail Fails To Prevent Symptomatic COVID-19 In People Recently Exposed To Virus
AstraZeneca PLC (NASDAQ: AZN) said the STORM CHASER trial assessing the safety and efficacy of iAZD7442, a long-acting antibody combination, for the prevention of symptomatic COVID-19 in participants recently exposed to the SARS-CoV-2 virus did not meet the primary endpoint of post-exposure prevention of symptomatic COVID-19 with AZD7442 compared to placebo.
In the overall trial ...",2021-06-15 12:07:37+00:00,https://www.benzinga.com/general/biotech/21/06/21564297/the-daily-biotech-pulse-astrazeneca-biogen-face-clinical-trial-disappointments-novavax-studies-co,Benzinga,0.07284271284271285,0.34384992784992774,neutral,0.07284271284271285,False,False,True,False,False,False,True,False,0.2,3228,"['ALKS', 'BIIB', 'IBB', 'NVAX', 'PMD', 'TECH', 'VRTX', 'AZN', 'EW', 'PHG', 'PPD', 'RMD']",RMD,2021-06-15
