title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Cathie Wood Adds More Coinbase, Skillz, Trims Square","Cathie Wood-led Ark Investment Management on Friday snapped up another 221,167 shares of the cryptocurrency exchange Coinbase Global Inc (NASDAQ: COIN) worth about $64.49 million on the stock’s Friday’s dip and also its fourth-straight loss.
The investment firm’s Ark Innovation ETF (NYSE: ARKK) bought the shares of the company that closed 0.63% lower at $291.60 on Friday, giving the cryptocurrency exchange a market cap of $58.09 billion. Coinbase’s market cap has dropped from $85.8 billion on its blockbuster listing earlier this month.
The New York-based company also added another 3,873 shares of the mobile gaming company Skillz Inc (NYSE: SKLZ), just a day after snapping 1.2 million shares of the stock.
ARKK bought the shares of the company which closed ...Full story available on Benzinga.com",2021-04-26 02:33:17+00:00,https://www.benzinga.com/markets/cryptocurrency/21/04/20784086/cathie-wood-adds-more-coinbase-skillz-trims-square,Benzinga,0.10404040404040406,0.28383838383838383,positive,0.10404040404040406,True,False,False,False,True,False,True,False,0.0,858,"['DDD', 'DOCU', 'COIN', 'NIU', 'NVDA', 'ARKF', 'PCAR', 'SKLZ', 'PSTI', 'MASS', 'TREE', 'SPFR', 'PHR', 'RXRX', 'IRDM', 'BEAM', 'ARKW', 'ARKK', 'ARKG', 'PSTG', 'SQ', 'IONS', 'SYRS']",BEAM,2021-04-26
3 Exciting Biotech Stocks to Buy Right Now,Gene therapies could be poised to enter an era of extraordinarily rapid advancement.,2021-04-30 15:15:49+00:00,https://www.fool.com/investing/2021/04/30/3-exciting-biotech-stocks-to-buy-right-now/?source=iedfolrf0000001,The Motley Fool,0.3063492063492063,0.7785714285714286,positive,0.3063492063492063,False,True,False,False,False,False,False,False,0.0,128,"['BEAM', 'INTC', 'NVS', 'REGN', 'NTLA', 'TWST']",BEAM,2021-04-30
The Anatomy Of My High-Growth Portfolio,I operate two main portfolios: my safe portfolio and my high growth portfolio. This article will dissect and focus on my high-growth holdings.,2021-05-03 11:32:39+00:00,https://seekingalpha.com/article/4423712-anatomy-of-high-growth-portfolio?source=feed,Seeking Alpha,0.27555555555555555,0.4577777777777777,positive,0.27555555555555555,False,False,True,False,False,False,False,False,0.0,183,"['ABCL', 'ADPT', 'AI', 'AMRC', 'AMZN', 'AONE', 'ARRY', 'ASTS', 'ASTSW', 'AYX', 'BABA', 'BEAM', 'BLI', 'CAPA', 'CAPAW', 'CHPT', 'CMII', 'CMIIU', 'CMIIW', 'COUP', 'CRSP', 'CRWD', 'CYBR', 'DDOG', 'DESP', 'DM', 'DT', 'EDIT', 'ENPH', 'ESTC', 'FB', 'FSLR', 'GNCA', 'GOOG', 'GOOGL', 'HASI', 'IIVI', 'IIVIP', 'KLR', 'LILA', 'LILAK', 'MELI', 'MP', 'MSFT', 'NFLX', 'NTLA', 'NVDA', 'OKTA', 'PACB', 'PATH', 'PLTR', 'PROF', 'QS', 'RLAY', 'ROCK', 'SAIL', 'SDGR', 'SEDG', 'SNOW', 'SPCE', 'SPFR', 'SPLK', 'SRAC', 'SRACU', 'TLS', 'TTD', 'TWST', 'U', 'Z', 'ZG', 'ZS']",BEAM,2021-05-03
Will Beam Therapeutics Inc. (BEAM) Report Negative Q1 Earnings? What You Should Know,Beam Therapeutics Inc. (BEAM) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-05-04 19:00:34+00:00,http://www.zacks.com/stock/news/1500198/will-beam-therapeutics-inc-beam-report-negative-q1-earnings-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1500198,Zacks Investment Research,-0.002857142857142858,0.7871428571428571,neutral,0.002857142857142858,True,False,False,False,False,False,False,False,0.0,271,['BEAM'],BEAM,2021-05-04
Buying This Beaten-Down ETF Could Make You a Fortune Over the Next 10 Years,It definitely made investors a lot of money over the last decade. And its future could be brighter than the past.,2021-05-07 09:52:00+00:00,https://www.fool.com/investing/2021/05/07/buying-this-beaten-down-etf-could-make-you-a-fortu/?source=iedfolrf0000001,The Motley Fool,-0.05,0.18833333333333332,neutral,0.05,False,True,False,False,False,False,False,False,0.0,190,"['XBI', 'REGN', 'EXAS', 'NTLA', 'MRNA', 'BEAM']",BEAM,2021-05-07
"Cathie Wood Cuts Apple Stake By 30% And Buys Coinbase, DraftKings","Cathie Wood-led Ark Investment Management shed more shares of Apple Inc (NASDAQ: AAPL) on Monday, just days after halving its stake in the maker of iPhones and iPads, and snapped up shares of cryptocurrency exchange Coinbase Global Inc (NASDAQ: COIN) and daily fantasy sports company DraftKings Inc (NASDAQ: DKNG). 
The investment firm sold 87,560 Apple shares, worth about $11.1 million, of the 289,630 shares it owned, as of the day’s close via its ARK Innovation ETF (NYSE: ARKF). No other Ark ETF has a position in Apple.
See Also: Cathie Wood Slashes Apple Stake To Half — Also Trims Google, Fastly: What You Need To Know
Shares of the Cupertino, California-based company closed 2.58% lower at $126.85 on Monday and were further down 0.42% in after-hours trading. ARKF shares closed 4.84% lower at $47.02.
The New York-based investment firm snapped up another 33,300 shares, worth about $9.77 million, of cryptocurrency exchange Coinbase via ARKF.
Coinbase shares closed ...Full story available on Benzinga.com",2021-05-11 03:07:41+00:00,https://www.benzinga.com/markets/cryptocurrency/21/05/21050757/cathie-wood-cuts-apple-stake-by-30-and-buys-coinbase-draftkings,Benzinga,0.05156714200831848,0.2697118241235888,neutral,0.05156714200831848,False,True,False,False,True,False,True,False,0.0,1082,"['AONE', 'ARKW', 'API', 'MASS', 'TXG', 'PDD', 'CMII', 'IRDM', 'ARKK', 'AAPL', 'TSLA', 'TWLO', 'BIDU', 'CDXS', 'TAK', 'COIN', 'NNDM', 'KTOS', 'PATH', 'PRNT', 'OPEN', 'TTD', 'REGN', 'BEAM', 'HUYA', 'SNPS', 'SRPT', 'ARKF', 'TREE', 'SURF', 'ICE', 'NSTG', 'DKNG', 'PHR', 'VCYT', 'RPTX', 'SI', 'FATE', 'BLI', 'TDY', 'ADPT', 'BEKE', 'TER', 'CDNA', 'PLTR', 'TSP']",BEAM,2021-05-11
"Beam Therapeutics Inc. (BEAM) Reports Q1 Loss, Lags Revenue Estimates","Beam Therapeutics Inc. (BEAM) delivered earnings and revenue surprises of -365.28% and -99.90%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-11 11:45:03+00:00,http://www.zacks.com/stock/news/1534853/beam-therapeutics-inc-beam-reports-q1-loss-lags-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1534853,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,274,['BEAM'],BEAM,2021-05-11
3 Growth Stocks to Buy That Could Be Bigger Winners Than Bitcoin and Dogecoin,"Like the two cryptocurrencies, these stocks currently trade well below their highs.",2021-05-24 09:52:00+00:00,https://www.fool.com/investing/2021/05/24/3-growth-stocks-to-buy-that-could-be-bigger-winner/?source=iedfolrf0000001,The Motley Fool,0.0,0.45,neutral,0.0,False,True,False,False,False,False,False,False,0.0,162,"['BEAM', 'NDAQ', 'IPOE', 'GHVI']",BEAM,2021-05-24
2 Winners for a Drug Development Future That Looks Nothing Like the Past,A new breed of disruptors is delivering breakthroughs in genomics.,2021-06-04 12:37:00+00:00,https://www.fool.com/investing/2021/06/04/2-winners-for-a-drug-development-future-that-looks/?source=iedfolrf0000001,The Motley Fool,-0.03787878787878788,0.27651515151515155,neutral,0.03787878787878788,False,False,False,False,False,False,False,False,0.0,140,"['BEAM', 'PACB', 'ILMN', 'LH', 'NVTA']",BEAM,2021-06-04
CRISPR 101: What Investors Need to Know,Here's an overview of the opportunities in gene editing and CRISPR technology.,2021-06-05 11:11:00+00:00,https://www.fool.com/investing/2021/06/05/crispr-101-what-investors-need-to-know/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,119,"['SGMO', 'DTIL', 'BEAM']",BEAM,2021-06-05
