title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Dow, S&P Jump Over 3% on Encouraging Vaccine Data","Dow, S&P Jump Over 3% on Encouraging Vaccine Data",2020-05-19 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25390,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,100,"['CVX', 'COG', 'SIMO', 'GSKY', 'AINV', 'NVDA', 'SDOW', 'SPXS', 'NOMD', 'CNX', 'FLO', 'HUM', 'HEXO', 'CCL', 'UAL', 'DAL', 'LUV', 'C', 'WFC', 'BAC', 'JPM', 'MRNA', 'WMT', 'HD']",LUV,2020-05-19
Market Rises for Third Time in Four Days,Market Rises for Third Time in Four Days,2020-10-09 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26920,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,82,"['RPD', 'LOGI', 'LASR', 'DSGX', 'FFIN', 'THO', 'LL', 'UCTT', 'KEYS', 'CGC', 'UAL', 'DAL', 'LUV']",LUV,2020-10-09
First Positive Session of 2021,First Positive Session of 2021,2021-01-06 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27867,Zacks Investment Research,0.23863636363636365,0.43939393939393934,positive,0.23863636363636365,False,False,False,False,False,False,False,False,0.0,62,"['STZ', 'ROAD', 'TTC', 'SAVA', 'DBD', 'LVS', 'V', 'COP', 'INTU', 'BMRN', 'MAR', 'PDD', 'LUV']",LUV,2021-01-06
"Market Jumps Over 1% While Waiting for Amazon, Alphabet","Market Jumps Over 1% While Waiting for Amazon, Alphabet",2021-02-03 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-28174,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,112,"['MRC', 'CNDT', 'SAVA', 'NOW', 'SQ', 'CCS', 'NXGN', 'ARMK', 'PDD', 'LUV', 'ILMN', 'GME', 'AMC', 'AAPL', 'AMZN', 'GOOG']",LUV,2021-02-03
Southwest Airlines reports a narrower than expected loss in fiscal Q1,"Southwest Airlines Co. (NYSE: LUV) reported a narrower-than-expected loss in the fiscal first quarter on Thursday. The air carrier’s revenue, however, still fell shy of analysts’ estimates in Q1. Southwest Airlines shares were reported more than 3% up in premarket trading on Thursday. Including the price action, the stock is now exchanging hands at £45.85 […]
The post Southwest Airlines reports a narrower than expected loss in fiscal Q1 appeared first on Invezz.",2021-04-22 13:23:20+00:00,https://invezz.com/news/2021/04/22/southwest-airlines-reports-a-narrower-than-expected-loss-in-fiscal-q1/,Invezz,0.05714285714285715,0.3666666666666667,neutral,0.05714285714285715,True,False,False,False,False,False,False,False,0.0,537,['LUV'],LUV,2021-04-22
Southwest Airlines (LUV) Q1 2021 Earnings Call Transcript,"LUV earnings call for the period ending March 31, 2021.",2021-04-23 02:31:15+00:00,https://www.fool.com/earnings/call-transcripts/2021/04/22/southwest-airlines-luv-q1-2021-earnings-call-trans/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,114,['LUV'],LUV,2021-04-23
Wall Street Breakfast: Tax The Rich,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-04-23 11:28:29+00:00,https://seekingalpha.com/article/4420850-wall-street-breakfast-tax-rich?source=feed,Seeking Alpha,0.28958333333333336,0.3833333333333333,positive,0.28958333333333336,False,False,False,False,False,False,False,False,0.0,174,"['AMZN', 'TSLA', 'JNJ', 'C', 'AAL', 'T', 'BIIB', 'BX', 'DOW', 'FCX', 'INTC', 'MAT', 'SNAP', 'LUV', 'VLO', 'PFE', 'BNTX']",LUV,2021-04-23
Better Buy: Boeing vs. Airbus,Comparing the two aviation giants in a post-pandemic world.,2021-04-23 15:13:00+00:00,https://www.fool.com/investing/2021/04/23/better-buy-boeing-vs-airbus/?source=iedfolrf0000001,The Motley Fool,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,90,"['BA', 'LUV']",LUV,2021-04-23
1 Big U.S. Airline Just Turned a Profit,The carrier with the most consistent record of profitability is already back to reporting GAAP profits.,2021-04-24 15:35:00+00:00,https://www.fool.com/investing/2021/04/24/1-big-us-airline-just-turned-a-profit/?source=iedfolrf0000001,The Motley Fool,0.1875,0.2125,positive,0.1875,True,False,False,False,False,False,False,False,0.0,144,['LUV'],LUV,2021-04-24
: Demand may exceed supply as CEO of one of the world’s biggest hotel groups sees ‘surge’ in bookings,"Hotel and airline industry will begin to bounce back by second half of 2021,  according to the chief executive of InterContinental Hotels.",2021-04-24 19:14:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3A6C82979DE%7D&siteid=rss&rss=1,MarketWatch,-0.05555555555555555,0.05555555555555555,neutral,0.05555555555555555,False,False,True,False,False,False,True,False,0.0,241,"['IHG', 'H', 'AC', 'MAR', 'HLT', 'DAL', 'AAL', 'LUV']",LUV,2021-04-24
