title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Dow Joins S&P in Record Territory on Strong Vaccine News,Dow Joins S&P in Record Territory on Strong Vaccine News,2020-11-17 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27356,Zacks Investment Research,0.4333333333333333,0.7333333333333333,positive,0.4333333333333333,False,False,False,False,False,False,False,False,0.0,114,"['WDAY', 'ODFL', 'INTU', 'CRTO', 'FB', 'IDN', 'UGA', 'XLE', 'CVX', 'XOM', 'COP', 'XOP', 'LKQ', 'EAT', 'BLDR', 'TGT', 'BBY', 'RLGY', 'ACM', 'AMKR', 'CAH', 'GM', 'REZI', 'SBGI', 'PFGC', 'MRNA', 'PFE']",CAH,2020-11-17
Stocks Too Frustrated To Enjoy Vaccine Rollout,Stocks Too Frustrated To Enjoy Vaccine Rollout,2020-12-15 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27660,Zacks Investment Research,-0.14999999999999997,0.35,negative,0.14999999999999997,False,False,False,False,False,False,False,False,0.0,94,"['AI', 'RPD', 'VIVO', 'ONCT', 'TTC', 'BECN', 'WTRH', 'CALX', 'LQDT', 'SGMO', 'OFC', 'SFM', 'PENN', 'FBC', 'REZI', 'SBGI', 'PFGC', 'BIG', 'CAH', 'FNF', 'STLD', 'TPR', 'TGT', 'TGNA', 'UBS']",CAH,2020-12-15
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-05-02 11:14:11+00:00,https://seekingalpha.com/article/4423506-wall-street-breakfast-week-ahead?source=feed,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['SYY', 'CBT', 'MRK', 'DELL', 'KMX', 'UNP', 'DISH', 'XPO', 'CVS', 'PFE', 'DD', 'TMUS', 'CZR', 'ZG', 'UAA', 'ATVI', 'GM', 'MET', 'ZNGA', 'ALL', 'UBER', 'RKT', 'CAH', 'VIAC', 'MCK', 'SQ', 'CI', 'ENB', 'UTME', 'VECT', 'RPHM', 'GATO', 'VSH', 'RGR', 'CNO', 'MSA', 'CPK', 'HPE', 'EXPD', 'POOL', 'PEP', 'ORBC', 'MYGN', 'ARKX', 'VXRT', 'MRNA', 'NVAX', 'BNTX', 'CP', 'CNI', 'KSU', 'BYND', 'AIMC', 'PGR']",CAH,2021-05-02
"Big Increases Expected In May From Northrop Grumman, PetMed Express","As expected, Apple came in with a nice dividend increase on the last day in April.",2021-05-03 04:03:42+00:00,https://seekingalpha.com/article/4423659-big-increases-expected-in-may-from-northrop-grumman-petmed-express?source=feed,Seeking Alpha,0.07999999999999999,0.3933333333333333,neutral,0.07999999999999999,False,False,False,False,False,True,False,False,0.0,151,"['AAPL', 'AMP', 'AWK', 'CAH', 'CNO', 'CPK', 'CVX', 'EXPD', 'FDS', 'FFIN', 'GWW', 'IBM', 'IHC', 'JNJ', 'LAZ', 'LBAI', 'LEG', 'MET', 'MSA', 'NHC', 'NOC', 'PBCT', 'PETS', 'POOL', 'POR', 'RLI', 'SO', 'SON', 'TRV', 'TTEK', 'UGI', 'WEYS', 'XOM']",CAH,2021-05-03
Cardinal Health (CAH) to Post Q3 Earnings: What's in Store?,Cardinal Health's (CAH) fiscal third-quarter results are likely to reflect solid performance in Pharmaceutical segment.,2021-05-04 12:54:00+00:00,http://www.zacks.com/stock/news/1498865/cardinal-health-cah-to-post-q3-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1498865,Zacks Investment Research,0.0,0.55,neutral,0.0,True,False,False,False,False,False,False,False,0.0,180,"['BDX', 'XRAY', 'CAH', 'ABC']",CAH,2021-05-04
Cardinal Health (CAH) Q3 Earnings and Revenues Lag Estimates,"Cardinal (CAH) delivered earnings and revenue surprises of -3.16% and -1.78%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-06 12:15:06+00:00,http://www.zacks.com/stock/news/1509498/cardinal-health-cah-q3-earnings-and-revenues-lag-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1509498,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,247,['CAH'],CAH,2021-05-06
12 Health Care Stocks Moving In Thursday's Pre-Market Session,"Gainers

Stealth BioTherapeutics (NASDAQ:MITO) stock moved upwards by 58.33% to $1.9 during Thursday's pre-market session. The market value of their outstanding shares is at $105.6 million.
Nemaura Medical (NASDAQ:NMRD) shares moved upwards by 22.78% to $13.58. The company's market cap stands at $311.3 million.
Orgenesis (NASDAQ:ORGS) stock moved upwards by 10.04% to $4.93. The market value of their outstanding shares is at $120.3 million.
Lexaria Bioscience (NASDAQ:LEXX) shares moved upwards by 9.34% to $5.5.
Aptorum Group (NASDAQ:APM) shares moved upwards by ...Full story available on Benzinga.com",2021-05-06 12:16:06+00:00,https://www.benzinga.com/pre-market-outlook/21/05/20986678/12-health-care-stocks-moving-in-thursdays-pre-market-session,Benzinga,0.35,0.5375,positive,0.35,False,False,False,False,False,False,False,False,0.0,669,"['BCRX', 'NVAX', 'CAH', 'CTSO', 'ORGS', 'NMRD', 'VXRT', 'APM', 'MITO', 'BNTX', 'OCGN', 'LEXX']",CAH,2021-05-06
Cardinal Health (CAH) Q3 Earnings & Revenues Miss Estimates,Cardinal Health's (CAH) fiscal third-quarter results reflect weakness in Pharmaceutical segment.,2021-05-06 12:25:00+00:00,http://www.zacks.com/stock/news/1509866/cardinal-health-cah-q3-earnings-revenues-miss-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1509866,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,157,"['CAH', 'BSX', 'HCA', 'ITGR']",CAH,2021-05-06
58 Stocks Moving In Thursday's Mid-Day Session,"Gainers

Stealth BioTherapeutics Corp (NASDAQ: MITO) shares surged 92.9% to $2.3150. Stealth BioTherapeutics presented at the Association for Research in Vision and Ophthalmology meeting with positive data from a post hoc analysis of the Phase 1 ReCLAIM study evaluating elamipretide in patients with non-central geographic atrophy and high risk drusen associated with dry age-related macular degeneration.
SemiLEDs Corporation (NASDAQ: LEDS) shares jumped 45% to $7.97 on above-average volume.
Lexaria Bioscience Corp. (NASDAQ: LEXX) gained 27.2% to $6.40 after the company disclosed successful results from first 2021 study, HYPER-A21-1.
Barnwell Industries, Inc. (NYSE: BRN) surged 23.8% to $3.32 on above-average volume.
Summit Wireless Technologies, Inc. (NASDAQ: WISA) gained 20.7% to $3.4038.
Sally Beauty Holdings, Inc. (NYSE: SBH) shares climbed 19.5% to $24.20 after the company reported better-than-expected Q2 results.
Avid Technology, Inc. (NASDAQ: AVID) gained 19.1% to $25.86 after the company reported better-than-expected Q1 results and raised FY21 guidance.
Biofrontera AG (NASDAQ: BFRA) jumped 18.3% to $6.20 after the company announced preliminary April revenue of €2.491 million, up from €492 thousand year over year.
Liquidity Services, Inc. (NASDAQ: LQDT) gained 17% to $21.95 following upbeat quarterly results.
Eltek Ltd. (NASDAQ: ELTK) jumped 17% to $7.00.
At Home Group Inc. (NYSE: HOME) shares rose 16.6% to $36.48 after the Wall Street Journal reported that private-equity firm Hellman & Friedman LLC is nearing a deal to buy the company.
WW International, Inc. (NASDAQ: WW) gained 16.4% to $32.10 following Q1 results.
Orgenesis Inc. (NASDAQ: ORGS) surged 16% to $5.20 after the company announced FDA approval of the Investigational Device Exemption for the pilot clinical trial of its Tissue Genesis Icellator2.
Acushnet Holdings Corp. (NYSE: GOLF) gained 15.7% to $49.65 after reporting strong Q1 results.
Hecla Mining Company (NYSE: HL) surged 14.7% to $7.17 after the company reported better-than-expected Q1 results.
Taitron Components Incorporated (NASDAQ: TAIT) climbed 14.2% to $4.88.
Corvus Gold Inc. (NASDAQ: KOR) gained 12.8% to $2.37. Corvus ...Full story available on Benzinga.com",2021-05-06 16:04:38+00:00,https://www.benzinga.com/news/21/05/20993844/58-stocks-moving-in-thursdays-mid-day-session,Benzinga,0.2181385281385281,0.5465800865800866,positive,0.2181385281385281,True,True,True,False,False,False,False,False,0.0,2271,"['AMS', 'LKCO', 'TAIT', 'KOR', 'BRN', 'MITO', 'ZEUS', 'FOUR', 'EVK', 'FSLY', 'CAH', 'ORGS', 'TXG', 'SSY', 'JAN', 'HL', 'JRVR', 'AEHR', 'OCGN', 'IPI', 'ETSY', 'ALGT', 'VYNE', 'RGS', 'UBER', 'ASYS', 'PCT', 'RKT', 'RUN', 'AVID', 'LEXX', 'SBH', 'QUOT', 'CENX', 'HMPT', 'TWI', 'APRN', 'ELTK', 'YELL', 'WW', 'PRPO', 'ENG', 'BUD', 'RDFN', 'GOLF', 'AVNW', 'RHE', 'HOME', 'SYN', 'BFRA', 'LOPE', 'LEDS', 'VXRT', 'LQDT', 'WD', 'WISA', 'MOSY', 'USCR']",CAH,2021-05-06
Cardinal Health Inc (CAH) Q3 2021 Earnings Call Transcript,"CAH earnings call for the period ending March 31, 2021.",2021-05-06 19:01:08+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/06/cardinal-health-inc-cah-q3-2021-earnings-call-tran/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,115,['CAH'],CAH,2021-05-06
