title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
NASDAQ Now Positive for 2020 After Four Days of Green,NASDAQ Now Positive for 2020 After Four Days of Green,2020-05-08 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25277,Zacks Investment Research,0.013636363636363627,0.42272727272727273,neutral,0.013636363636363627,False,False,False,False,False,False,False,False,0.0,108,"['EPAY', 'MTSI', 'ACMR', 'R', 'MGLN', 'ALNY', 'DRNA', 'ISRG', 'MSFT', 'GOOG', 'FB', 'AAPL']",ISRG,2020-05-08
"Market Down Again as Pre-Election Deal Looks ""Difficult""","Market Down Again as Pre-Election Deal Looks ""Difficult""",2020-10-15 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26978,Zacks Investment Research,-0.3277777777777778,0.6444444444444445,negative,0.3277777777777778,False,False,False,False,False,False,False,False,0.0,114,"['ANDE', 'HRI', 'AAPL', 'AMZN', 'GS', 'BAC', 'WFC', 'MS', 'TSM', 'HON', 'ISRG', 'WBA']",ISRG,2020-10-15
10 Words From Intuitive Surgical's CEO That Could Mean Billions for Investors,Pandemic-fueled healthcare trends bode well for the maker of the da Vinci surgical robot.,2021-04-24 10:21:00+00:00,https://www.fool.com/investing/2021/04/24/10-words-from-intuitive-surgicals-ceo-that-could-m/?source=iedfolrf0000001,The Motley Fool,-0.3125,0.6875,negative,0.3125,False,False,False,False,False,False,True,False,0.0,168,"['ISRG', 'GH']",ISRG,2021-04-24
5 Foolproof Stocks to Own for a Biden Bull Market,A perfect storm of catalysts could yield big profits for investors in these five businesses.,2021-04-25 09:51:00+00:00,https://www.fool.com/investing/2021/04/25/5-foolproof-stocks-to-own-for-a-biden-bull-market/?source=iedfolrf0000001,The Motley Fool,0.5333333333333333,0.7000000000000001,positive,0.5333333333333333,True,False,False,False,False,False,False,False,0.0,143,"['ISRG', 'FB', 'NEE', 'OKTA']",ISRG,2021-04-25
"$5,000 Invested in These 3 Stocks Should Make You a Fortune Over the Next 10 Years",Each of them has what it takes to deliver tremendous returns.,2021-04-26 09:52:00+00:00,https://www.fool.com/investing/2021/04/26/5000-invested-in-these-3-stocks-should-make-you-a/?source=iedfolrf0000001,The Motley Fool,0.16666666666666666,0.5,positive,0.16666666666666666,False,False,False,False,False,False,False,False,0.0,145,"['SQ', 'ISRG', 'ETSY', 'BTC']",ISRG,2021-04-26
3 Top Healthcare Stocks to Buy and Hold for the Next 10 Years,"From dividends to growth to overall stability, these stocks will give your portfolio a great mix.",2021-04-28 15:54:00+00:00,https://www.fool.com/investing/2021/04/28/3-top-healthcare-stocks-to-buy-and-hold-for-the-ne/?source=iedfolrf0000001,The Motley Fool,0.325,0.3125,positive,0.325,False,True,False,False,False,True,False,False,0.0,160,"['JNJ', 'ABT', 'ISRG', 'PFE', 'MRNA', 'BNTX']",ISRG,2021-04-28
"Streaming TV, Burritos, Beer, and Capital Gains Taxes",Discussing the biggest news in the markets.,2021-04-28 20:29:00+00:00,https://www.fool.com/investing/2021/04/28/streaming-tv-burritos-beer-and-capital-gains-taxes/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,98,"['NFLX', 'JNJ', 'CMG', 'ISRG', 'SAM', 'MKTX', 'RBLX', 'PATH']",ISRG,2021-04-28
3 Healthcare Stocks That Could Be Millionaire-Makers,Don't wait to snag these three golden eggs for your basket of stocks.,2021-04-30 10:23:00+00:00,https://www.fool.com/investing/2021/04/30/3-healthcare-stocks-that-could-be-millionaire-make/?source=iedfolrf0000001,The Motley Fool,0.3,0.5,positive,0.3,False,False,False,False,False,False,False,False,0.0,123,"['TDOC', 'PFE', 'ISRG']",ISRG,2021-04-30
"Here's How Much You'd Have If You Invested $1000 in Intuitive Surgical, Inc. a Decade Ago",Holding on to popular or trending stocks for the long-term can make your portfolio a winner.,2021-04-30 12:40:05+00:00,http://www.zacks.com/stock/news/1478378/heres-how-much-youd-have-if-you-invested-%241000-in-intuitive-surgical-inc-a-decade-ago?cid=CS-ZC-FT-tale_of_the_tape|investing_$1000-1478378,Zacks Investment Research,0.4,0.55,positive,0.4,False,False,False,False,False,False,False,False,0.0,183,['ISRG'],ISRG,2021-04-30
The Final 5 April Fool's Portfolio Recommendations,Welcome to Week 4 -- the exciting conclusion -- of our April Fool's Portfolio reveal.,2021-04-30 14:00:00+00:00,https://www.fool.com/how-to-invest/the-final-5-april-fools-portfolio-recommendations/?source=iedfolrf0000001,The Motley Fool,0.3666666666666667,0.9,positive,0.3666666666666667,False,False,False,False,False,False,False,False,0.0,137,"['BRK.B', 'AAPL', 'MSFT', 'DIS', 'AMZN', 'SBUX', 'ISRG', 'MELI', 'NOW', 'VTI', 'VB', 'VXUS', 'VNQ', 'VTV', 'ETSY', 'SHOP', 'PYPL', 'TDOC', 'MDB', 'PINS']",ISRG,2021-04-30
2 of the Best Healthcare Stocks You'll Find Today,The advice of Warren Buffett's biggest influencers supports these solid picks.,2021-04-30 18:00:00+00:00,https://www.fool.com/investing/2021/04/30/2-of-the-best-healthcare-stocks-youll-find-today/?source=iedfolrf0000001,The Motley Fool,0.5,0.2,positive,0.5,False,False,False,False,False,False,False,False,0.0,129,"['ISRG', 'ILMN', 'JNJ', 'PACB', 'MDT']",ISRG,2021-04-30
3 Unstoppable Stocks That Can Crush Dogecoin,"Dogecoin, the much-hyped cryptocurrency, can't hold a candle to these high-quality stocks over the long run.",2021-05-01 10:36:00+00:00,https://www.fool.com/investing/2021/05/01/3-unstoppable-stocks-that-can-crush-dogecoin/?source=iedfolrf0000001,The Motley Fool,-0.05,0.4,neutral,0.05,False,False,False,False,False,False,False,False,0.0,154,"['CRWD', 'ISRG']",ISRG,2021-05-01
