title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Eventbrite (EB) Reports Q1 Loss, Tops Revenue Estimates","Eventbrite (EB) delivered earnings and revenue surprises of 5.13% and 13.28%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-06 23:35:06+00:00,http://www.zacks.com/stock/news/1512594/eventbrite-eb-reports-q1-loss-tops-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1512594,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,242,['EB'],EB,2021-05-06
An Investor's Look at Vimeo,Discussing a newly public video company that made a big pivot.,2021-06-17 18:49:00+00:00,https://www.fool.com/investing/2021/06/17/an-investors-look-at-vimeo/,The Motley Fool,0.0,0.08333333333333334,neutral,0.0,False,False,False,False,False,False,False,False,0.0,91,"['VMEO', 'WIX', 'SHOP', 'EB', 'FSLY', 'LMND']",EB,2021-06-17
Will Eventbrite (EB) Report Negative Earnings Next Week? What You Should Know,Eventbrite (EB) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-07-29 19:04:58+00:00,https://www.zacks.com/stock/news/1770851/will-eventbrite-eb-report-negative-earnings-next-week-what-you-should-know,Zacks Investment Research,-0.0023809523809523816,0.655952380952381,neutral,0.0023809523809523816,True,False,False,False,False,False,False,False,0.0,250,['EB'],EB,2021-07-29
3 Stocks to Avoid This Week,These investments seem pretty vulnerable right now.,2021-08-02 12:05:00+00:00,https://www.fool.com/investing/2021/08/02/3-stocks-to-avoid-this-week/,The Motley Fool,0.011904761904761899,0.6785714285714285,neutral,0.011904761904761899,False,False,False,False,False,False,False,False,0.0,80,"['GME', 'IMAX', 'AMC', 'TRVG', 'EB']",EB,2021-08-02
"Eventbrite (EB) Reports Q2 Loss, Tops Revenue Estimates","Eventbrite (EB) delivered earnings and revenue surprises of 33.33% and 15.96%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-08-05 23:25:09+00:00,https://www.zacks.com/stock/news/1775712/eventbrite-eb-reports-q2-loss-tops-revenue-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,242,['EB'],EB,2021-08-05
Will Eventbrite (EB) Report Negative Earnings Next Week? What You Should Know,Eventbrite (EB) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-10-21 19:02:41+00:00,https://www.zacks.com/stock/news/1814460/will-eventbrite-eb-report-negative-earnings-next-week-what-you-should-know,Zacks Investment Research,-0.0023809523809523816,0.655952380952381,neutral,0.0023809523809523816,True,False,False,False,False,False,False,False,0.0,250,['EB'],EB,2021-10-21
"Eventbrite (EB) Reports Q3 Loss, Lags Revenue Estimates","Eventbrite (EB) delivered earnings and revenue surprises of 5.26% and -0.94%, respectively, for the quarter ended September 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-10-28 22:55:10+00:00,https://www.zacks.com/stock/news/1819571/eventbrite-eb-reports-q3-loss-lags-revenue-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,246,['EB'],EB,2021-10-28
Eventbrite Inc (EB) Q3 2021 Earnings Call Transcript,"EB earnings call for the period ending September 30, 2021.",2021-10-29 05:01:01+00:00,https://www.fool.com/earnings/call-transcripts/2021/10/29/eventbrite-inc-eb-q3-2021-earnings-call-transcript/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,112,['EB'],EB,2021-10-29
"Jim Cramer Says Eventbrite Has Great Management, Doesn't Recommend This Parabolic Stock","On CNBC’s ""Mad Money Lightning Round,"" Jim Cramer said SK Telecom Co.,Ltd  (NYSE: SKM) is good, but he doesn’t like the carrier business as it's getting competitive. He recommends owning Facebook if ""you want metaverse"" exposure.
Cramer said  Eventbrite, Inc.  (NYSE: EB) is an ...",2021-11-02 12:46:24+00:00,https://www.benzinga.com/news/21/11/23813106/jim-cramer-says-eventbrite-has-great-management-doesnt-recommend-this-parabolic-stock,Benzinga,0.16875,0.6875,positive,0.16875,False,False,False,False,False,False,True,False,0.0,370,"['WIRE', 'SKM', 'ORGN', 'EB']",EB,2021-11-02
Eventbrite (EB) Expected to Beat Earnings Estimates: What to Know Ahead of Q4 Release,Eventbrite (EB) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2022-02-03 20:01:16+00:00,https://www.zacks.com/stock/news/1862367/eventbrite-eb-expected-to-beat-earnings-estimates-what-to-know-ahead-of-q4-release,Zacks Investment Research,0.03714285714285714,0.7871428571428571,neutral,0.03714285714285714,True,False,False,False,True,False,False,False,0.0,252,['EB'],EB,2022-02-03
Should You Buy Eventbrite (EB) Ahead of Earnings?,Eventbrite (EB) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,2022-02-09 16:35:00+00:00,https://www.zacks.com/stock/news/1864971/should-you-buy-eventbrite-eb-ahead-of-earnings,Zacks Investment Research,0.22727272727272727,0.5454545454545454,positive,0.22727272727272727,True,True,False,False,False,False,False,False,0.0,190,['EB'],EB,2022-02-09
