title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
3 Dividend Stocks That Are Screaming Buys in July - The Motley Fool,"The article discusses three dividend-paying companies that are currently flying under the radar: Agree Realty, Pfizer, and Rithm Capital. It provides an overview of each company's business model, dividend history, and investment potential.",2024-07-05 07:45:00+00:00,https://www.fool.com/investing/2024/07/05/3-dividend-stocks-that-are-screaming-buys-in-july/,The Motley Fool,0.19999999999999998,0.7666666666666666,positive,0.19999999999999998,False,True,False,False,False,True,False,False,0.0,308,"['ADC', 'ADCpA', 'PFE', 'NRZ', 'RITM', 'RITMpA', 'RITMpB', 'RITMpC', 'RITMpD']",ADCpA,2024-07-05
3 High-Yield REITs to Buy Hand Over Fist in July - The Motley Fool,"The article discusses three high-yield REITs - Realty Income, NNN REIT, and Agree Realty - that offer attractive dividend yields above the REIT average. It highlights the strengths and potential challenges of each REIT.",2024-07-05 08:21:00+00:00,https://www.fool.com/investing/2024/07/05/3-high-yield-reits-to-buy-hand-over-fist-in-july/,The Motley Fool,0.25,0.6799999999999999,positive,0.25,False,True,False,False,False,True,False,False,0.0,287,"['O', 'Op', 'NNN', 'ADC', 'ADCpA']",ADCpA,2024-07-05
3 REIT Stocks That Are Screaming Buys in July - The Motley Fool,"The article discusses three blue-chip real estate investment trusts (REITs) that are considered good buys in July despite higher interest rates. The REITs mentioned are Agree Realty, Realty Income, and Alexandria Real Estate Equities.",2024-07-08 09:30:00+00:00,https://www.fool.com/investing/2024/07/08/3-reit-stocks-that-are-screaming-buys-in-july/,The Motley Fool,0.39,0.5200000000000001,positive,0.39,False,True,False,False,False,False,False,False,0.0,299,"['ADC', 'ADCpA', 'O', 'Op', 'ARE']",ADCpA,2024-07-08
What is the Dividend Payout for Agree Realty Stock? - The Motley Fool,"Agree Realty, a real estate investment trust (REIT), is a generous dividend payer, distributing $0.247 per share monthly. However, the company previously cut its dividend in 2011 due to the bankruptcy of a major tenant, Borders. Despite this, Agree Realty's current tenant base, including Walmart, Dollar General, and Tractor Supply, is more diverse, suggesting the company can maintain its monthly dividend payments.",2024-07-10 15:33:08+00:00,https://www.fool.com/investing/2024/07/10/what-is-the-dividend-payout-for-agree-realty-stock/,The Motley Fool,0.03564814814814816,0.5157407407407408,neutral,0.03564814814814816,False,False,False,False,False,True,False,False,0.0,488,"['ADC', 'ADCpA', 'WMT', 'DG', 'TSCO']",ADCpA,2024-07-10
"Forget Agree Realty, Buy This Magnificent High-Yield REIT Instead - The Motley Fool","Agree Realty and W.P. Carey are both net lease REITs, but W.P. Carey offers a higher dividend yield of 6.3% compared to Agree Realty's 4.8%. While Agree Realty has seen rapid growth, W.P. Carey is undergoing a portfolio overhaul that could lead to faster growth in the future, making it the better choice for dividend-focused investors.",2024-07-13 15:37:00+00:00,https://www.fool.com/investing/2024/07/13/forget-agree-realty-buy-this-magnificent-high-yiel/,The Motley Fool,0.35000000000000003,0.4321428571428571,positive,0.35000000000000003,False,True,False,False,False,True,False,False,0.0,421,"['ADC', 'ADCpA', 'WPC']",ADCpA,2024-07-13
Want Decades of Passive Income? 3 Stocks to Buy Now and Hold Forever,"This article discusses three high-yield stocks that can provide consistent dividend payments: Bank of Nova Scotia, Agree Realty, and T. Rowe Price. The article analyzes the strengths and challenges of each company, providing insights into their dividend growth potential and overall business fundamentals.",2024-07-28 11:53:00+00:00,https://www.fool.com/investing/2024/07/28/want-decades-of-passive-income-3-stocks-to-buy-now/?source=iedfolrf0000001,The Motley Fool,0.08333333333333333,0.4166666666666667,neutral,0.08333333333333333,False,True,False,False,False,True,False,False,0.0,375,"['BNS', 'ADC', 'ADCpA', 'TROW']",ADCpA,2024-07-28
"W.P. Carey: Buy, Sell, or Hold?","W.P. Carey, a diversified REIT, has completed its transition away from the office market. Despite a dividend cut, the company's unique portfolio and growth prospects make it an attractive investment opportunity.",2024-08-24 07:45:00+00:00,https://www.fool.com/investing/2024/08/24/wp-carey-buy-sell-or-hold/?source=iedfolrf0000001,The Motley Fool,0.5875,1.0,positive,0.5875,False,True,False,False,False,True,False,False,0.0,244,"['WPC', 'O', 'Op', 'ADC', 'ADCpA']",ADCpA,2024-08-24
Places You Routinely Visit Could Provide You With a Pathway Toward a Lifetime of Passive Income,"The article discusses how investing in real estate investment trusts (REITs) that own properties you frequently visit, such as grocery stores, restaurants, and auto service centers, can provide a pathway to passive income. The REITs mentioned are Agree Realty, Getty Realty, and Four Corners Property Trust.",2024-09-08 10:50:00+00:00,https://www.fool.com/investing/2024/09/08/places-you-routinely-visit-could-provide-you-with/?source=iedfolrf0000001,The Motley Fool,0.225,0.525,positive,0.225,False,False,False,False,False,False,False,False,0.0,404,"['ADC', 'ADCpA', 'GTY', 'FCPT']",ADCpA,2024-09-08
Agree Realty Declares Monthly Common and Preferred Dividends,"Agree Realty Corporation announced that its Board of Directors has authorized and declared a monthly cash dividend of $0.250 per common share, representing a 2.9% increase over the previous quarter. The company also declared a monthly cash dividend on its 4.25% Series A Cumulative Redeemable Preferred Stock.",2024-09-10 20:05:00+00:00,https://www.benzinga.com/pressreleases/24/09/n40803383/agree-realty-declares-monthly-common-and-preferred-dividends,Benzinga,-0.25555555555555554,0.3888888888888889,negative,0.25555555555555554,False,False,False,False,False,True,True,False,0.0,371,"['ADC', 'ADCpA']",ADCpA,2024-09-10
3 No-Brainer High-Yield Stocks to Buy With $200 Right Now,"The article discusses three net lease real estate investment trusts (REITs) - Agree Realty, NNN REIT, and W.P. Carey - that offer attractive dividend yields and trade for less than $200 per share. These REITs are considered relatively low-risk investments due to their large portfolios and the net lease structure, which requires tenants to pay most property-level operating expenses.",2024-09-13 07:06:00+00:00,https://www.fool.com/investing/2024/09/13/3-no-brainer-high-yield-stocks-to-buy-with-200-rig/?source=iedfolrf0000001,The Motley Fool,0.17083333333333334,0.3205952380952381,positive,0.17083333333333334,False,True,False,False,False,True,False,False,0.0,443,"['ADC', 'ADCpA', 'NNN', 'WPC']",ADCpA,2024-09-13
4 Dividend Stocks Yielding 4% or More to Buy for Passive Income Right Now,"The article highlights four dividend-paying stocks - Kinder Morgan, Verizon, Brookfield Infrastructure Partners, and Agree Realty - that offer attractive yields of 4% or more, backed by stable cash flows and strong financial profiles. These companies have also demonstrated a history of consistently increasing their dividends, making them appealing options for investors seeking steadily rising passive income.",2024-09-24 08:19:00+00:00,https://www.fool.com/investing/2024/09/24/4-dividend-stocks-yielding-4-or-more-to-buy-for-pa/?source=iedfolrf0000001,The Motley Fool,0.3817460317460317,0.5021164021164021,positive,0.3817460317460317,False,True,False,False,False,True,False,False,0.0,486,"['EPpC', 'KMI', 'BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB', 'ADC', 'ADCpA']",ADCpA,2024-09-24
This 4%-Yielding Dividend Stock Is Stepping on the Accelerator,"Agree Realty, a retail REIT, has been a consistent dividend stock with a 5.7% compound annual dividend growth rate over the past decade. Despite headwinds from higher interest rates, the company has accelerated its acquisition volume, which should drive faster dividend growth in the future.",2024-10-24 11:06:00+00:00,https://www.fool.com/investing/2024/10/24/this-4-yielding-dividend-stock-is-stepping-on-the/?source=iedfolrf0000001,The Motley Fool,0.0625,0.28125,neutral,0.0625,False,True,False,False,False,True,False,False,0.0,355,"['ADC', 'ADCpA']",ADCpA,2024-10-24
Looking for Passive Income? These 3 High-Yield Dividend Stocks Cut You a Check Monthly.,"The article highlights three high-yield dividend stocks that pay monthly dividends, providing investors with a steady stream of passive income. The companies discussed are Agree Realty, Realty Income, and Stag Industrial, all of which have diversified portfolios and strong financial positions.",2024-11-09 11:30:00+00:00,https://www.fool.com/investing/2024/11/09/looking-for-passive-income-these-3-high-yield-divi/?source=iedfolrf0000001,The Motley Fool,0.19999999999999998,0.41111111111111115,positive,0.19999999999999998,False,False,False,False,False,True,False,False,0.0,383,"['ADC', 'ADCpA', 'O', 'STAG']",ADCpA,2024-11-09
Agree Realty Declares Monthly Common and Preferred Dividends,Agree Realty Corporation announced that its Board of Directors has authorized and declared a monthly cash dividend of $0.253 per common share and a monthly cash dividend of $0.08854 per depositary share on its 4.25% Series A Cumulative Redeemable Preferred Stock.,2024-11-12 21:05:00+00:00,https://www.benzinga.com/pressreleases/24/11/n41918843/agree-realty-declares-monthly-common-and-preferred-dividends,Benzinga,-0.3,0.5,negative,0.3,False,False,False,False,False,True,True,False,0.0,325,"['ADC', 'ADCpA']",ADCpA,2024-11-12
Realty Income vs. Agree Realty: Which Is the Better Monthly Dividend Stock to Buy for Passive Income Right Now?,"Realty Income and Agree Realty are two real estate investment trusts (REITs) focused on freestanding retail properties. Realty Income has a higher dividend yield and lower valuation, while Agree Realty has a lower-risk portfolio with investment-grade tenants and ground leases. Realty Income is the better buy right now due to its higher total return potential.",2024-11-23 10:49:00+00:00,https://www.fool.com/investing/2024/11/23/realty-income-vs-agree-realty-which-is-the-better/?source=iedfolrf0000001,The Motley Fool,0.19512987012987013,0.5087662337662338,positive,0.19512987012987013,False,True,False,False,False,True,False,False,0.0,474,"['O', 'ADC', 'ADCpA']",ADCpA,2024-11-23
