title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Late Selloff Puts an End to Dow’s Winning Streak,Late Selloff Puts an End to Dow’s Winning Streak,2020-04-29 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25174,Zacks Investment Research,0.1,0.675,neutral,0.1,False,False,False,False,False,False,False,False,0.0,98,"['CNC', 'LMT', 'ADBE', 'PLNT', 'SDOW', 'UVXY', 'TDOC', 'ENPH', 'CODI', 'CTXS', 'CURO', 'CDAY', 'ZBH', 'BURL', 'HTHT', 'TT', 'MAR', 'ETSY', 'GDS', 'RCL', 'R', 'TMUS', 'TWTR', 'APPS', 'FB', 'AAPL', 'AMZN', 'NFLX', 'GOOG']",APPS,2020-04-29
Dow Surges 2% and Retakes 26K,Dow Surges 2% and Retakes 26K,2020-06-04 13:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-25551,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,60,"['OXM', 'CIEN', 'BJ', 'GES', 'MU', 'APPS', 'CSIQ', 'REGI']",APPS,2020-06-04
"NASDAQ Closes Above 11,000 and at Another New Record","NASDAQ Closes Above 11,000 and at Another New Record",2020-08-07 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26257,Zacks Investment Research,0.06818181818181818,0.2772727272727273,neutral,0.06818181818181818,False,False,False,False,False,False,False,False,0.0,106,"['TPC', 'ORI', 'QDEL', 'WAB', 'SBH', 'IPAR', 'ARCB', 'IRDM', 'SIMO', 'APPS', 'MAXR', 'FB', 'AAPL', 'NFLX', 'GOOG', 'MSFT']",APPS,2020-08-07
NASDAQ Adds Another 1% as Tech Recovery Continues,NASDAQ Adds Another 1% as Tech Recovery Continues,2020-09-16 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26669,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,100,"['CNR', 'ATEN', 'APPS', 'TUFN', 'HTHT', 'TTD', 'BURL', 'ROST', 'LVS', 'FIVE', 'XPO', 'PFGC', 'NFLX', 'NKE', 'PVH', 'NOW', 'STNE', 'TAL', 'VFC', 'YNDX', 'NFLX', 'FB', 'MSFT', 'AAPL']",APPS,2020-09-16
"Rates Stay Put at Near Zero, but NASDAQ Drops More Than 1.2%","Rates Stay Put at Near Zero, but NASDAQ Drops More Than 1.2%",2020-09-17 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26681,Zacks Investment Research,0.3,0.45,positive,0.3,False,False,False,False,False,False,False,False,0.0,122,"['UCTT', 'GFF', 'TVTY', 'CROX', 'WSM', 'UPWK', 'CNR', 'APPS', 'FB', 'AAPL']",APPS,2020-09-17
Slight Losses Put an End to Three-Day Winning Run,Slight Losses Put an End to Three-Day Winning Run,2020-09-30 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-26814,Zacks Investment Research,0.16666666666666669,0.4583333333333333,positive,0.16666666666666669,True,False,False,False,False,False,False,False,0.0,100,"['DG', 'NTRS', 'LDOS', 'BBY', 'KMB', 'OC', 'TACO', 'APPS', 'HLIT', 'VFC', 'TAL', 'NFLX', 'STNE', 'XPO', 'NKE', 'RUN', 'BMRN', 'BURL', 'HTHT', 'ILMN', 'LVS', 'PFGC', 'SYY']",APPS,2020-09-30
Single-Minded Market Snaps Weekly Winning Streaks,Single-Minded Market Snaps Weekly Winning Streaks,2020-10-26 14:15:00+00:00,https://www.zacks.com/registration/ultimatetrader/welcome/eoffer/30c3?adid=ZU_CONTENT_SYND&cid=CS-ZC-FT-zucommentary-27094,Zacks Investment Research,0.5,0.75,positive,0.5,False,False,False,False,False,False,False,False,0.0,100,"['FLWS', 'WGO', 'AIMC', 'APPS', 'IVC', 'CERS', 'HL', 'FNKO', 'DOMO', 'HIBB', 'CMC', 'PRFT', 'G', 'INTC', 'AAPL', 'FB', 'AMZN', 'GOOG', 'NFLX', 'MSFT', 'AMD']",APPS,2020-10-26
Digital Turbine (APPS) Stock Sinks As Market Gains: What You Should Know,"Digital Turbine (APPS) closed the most recent trading day at $72.38, moving -1.63% from the previous trading session.",2021-04-29 21:45:09+00:00,http://www.zacks.com/stock/news/1475274/digital-turbine-apps-stock-sinks-as-market-gains-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6-1475274,Zacks Investment Research,0.019047619047619046,0.14523809523809522,neutral,0.019047619047619046,False,False,False,False,False,False,False,False,0.0,191,['APPS'],APPS,2021-04-29
11 Information Technology Stocks Moving In Friday's Pre-Market Session,"Gainers

Image Sensing Systems (NASDAQ:ISNS) stock increased by 23.28% to $5.68 during Friday's pre-market session. The market value of their outstanding shares is at $30.4 million.
Digital Turbine (NASDAQ:APPS) shares moved upwards by 4.51% to $75.65. The market value of their outstanding shares is at $6.7 billion.
Western Digital (NASDAQ:WDC) shares rose 4.02% to $73.99. The market value of their outstanding shares is at $22.6 billion. As per the press release, Q3 earnings came out yesterday.
Atlassian Corporation (NASDAQ:TEAM) shares rose 3.38% ...Full story available on Benzinga.com",2021-04-30 12:13:46+00:00,https://www.benzinga.com/pre-market-outlook/21/04/20886523/11-information-technology-stocks-moving-in-fridays-pre-market-session,Benzinga,0.34444444444444444,0.5472222222222223,positive,0.34444444444444444,True,False,False,False,True,False,False,False,0.0,665,"['CRUS', 'ISNS', 'KOPN', 'LLNW', 'LOGI', 'SWKS', 'TEAM', 'WDC', 'CYRN', 'APPS', 'WKEY']",APPS,2021-04-30
Digital Turbine (APPS) Dips More Than Broader Markets: What You Should Know,"In the latest trading session, Digital Turbine (APPS) closed at $60.06, marking a -7.74% move from the previous day.",2021-05-10 21:50:17+00:00,http://www.zacks.com/stock/news/1531952/digital-turbine-apps-dips-more-than-broader-markets-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v1-1531952,Zacks Investment Research,0.12222222222222223,0.2777777777777778,positive,0.12222222222222223,False,False,False,False,False,False,False,False,0.0,193,['APPS'],APPS,2021-05-10
