title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Nvidia Stock Exploded in 2024: How to Protect Your Portfolio From a Reversal for the Rest of the Year - The Motley Fool,"Nvidia's stock has soared 150% in the first half of 2024, but the valuation may be stretched. Investors can protect their portfolio by adding dividend-paying stocks like Realty Income, Brookfield Infrastructure, and Garmin to diversify and provide stability.",2024-07-04 10:16:00+00:00,https://www.fool.com/investing/2024/07/04/nvidia-stock-exploded-in-2024-how-to-protect-your/,The Motley Fool,0.15833333333333333,0.35000000000000003,positive,0.15833333333333333,False,False,False,False,False,True,False,False,0.0,379,"['NVDA', 'O', 'Op', 'BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB', 'GRMN']",BIPI,2024-07-04
Here's Why Brookfield Infrastructure Partners Tumbled Nearly 13% in the 1st Half of 2024 - The Motley Fool,"Brookfield Infrastructure Partners (BIP) saw a 12.9% decline in the first half of 2024, underperforming its corporate twin Brookfield Infrastructure Corporation (BIPC) and the broader S&P 500. The decline was likely due to a potential sale of BIP units by its parent Brookfield Corporation and the impact of higher interest rates on the company's borrowing costs and asset valuations.",2024-07-15 15:07:00+00:00,https://www.fool.com/investing/2024/07/15/heres-why-brookfield-infrastructure-partners-tumbl/,The Motley Fool,0.07416666666666667,0.4841666666666667,neutral,0.07416666666666667,False,False,False,False,False,False,False,False,0.0,492,"['BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB', 'BIPC', 'BN', 'BNH', 'BNJ']",BIPI,2024-07-15
Why Brookfield and Other Infrastructure Stocks Held Up in Today's Sell-Off,"The article discusses how infrastructure stocks like Brookfield Infrastructure Partners, Brookfield Renewable Partners, and NextEra Energy are holding up better than the broader market during the current sell-off. It suggests that these companies' critical assets and growing businesses make them good long-term investments, even in volatile times.",2024-08-05 17:46:07+00:00,https://www.fool.com/investing/2024/08/05/why-brookfield-and-infrastructure-stocks-held-up/?source=iedfolrf0000001,The Motley Fool,0.215,0.535,positive,0.215,False,False,False,False,False,False,False,False,0.2,424,"['BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB', 'BEP', 'BEPH', 'BEPI', 'BEPJ', 'BEPpA']",BIPI,2024-08-05
Why Brookfield Infrastructure Partners Stock Rebounded and Jumped 15% in July,"Brookfield Infrastructure Partners (BIP) stock rebounded strongly in July, gaining over 15% after underperforming the S&P 500 in recent months. The company's consistent operational performance, including 10% year-over-year growth in funds from operations (FFO) in Q2, and its plans to reinvest proceeds from asset sales into growth projects contributed to the stock's recovery.",2024-08-07 17:42:57+00:00,https://www.fool.com/investing/2024/08/07/why-brookfield-infrastructure-partners-stock-rebou/?source=iedfolrf0000001,The Motley Fool,0.22777777777777777,0.41111111111111115,positive,0.22777777777777777,False,False,False,False,False,False,False,False,0.0,456,"['BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB', 'BIPC']",BIPI,2024-08-07
3 Bargain-Basement Value Stocks With Growing Dividends to Buy in September,"The article discusses three companies - Toyota, Delta Air Lines, and Brookfield Infrastructure - that offer value and growth potential for investors. It highlights their attractive valuations, dividend growth, and strategic positioning in their respective industries.",2024-09-01 10:30:00+00:00,https://www.fool.com/investing/2024/09/01/3-bargain-basement-value-stocks-buy-dividends/?source=iedfolrf0000001,The Motley Fool,0.26666666666666666,0.7000000000000001,positive,0.26666666666666666,False,True,False,False,False,True,False,False,0.0,343,"['TM', 'DAL', 'BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB']",BIPI,2024-09-01
Want Decades of Passive Income? 3 Stocks to Buy Now and Hold Forever,"The article discusses three stocks that can generate passive income: AbbVie, Brookfield Infrastructure, and Verizon Communications. It highlights the companies' strong dividend/distribution track records, growth potential, and other attractive features.",2024-09-14 09:51:00+00:00,https://www.fool.com/investing/2024/09/14/want-decades-of-passive-income-3-stocks-to-buy-now/?source=iedfolrf0000001,The Motley Fool,0.27708333333333335,0.7770833333333333,positive,0.27708333333333335,False,True,False,False,False,True,False,False,0.0,323,"['ABBV', 'BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB', 'VZ']",BIPI,2024-09-14
4 Dividend Stocks Yielding 4% or More to Buy for Passive Income Right Now,"The article highlights four dividend-paying stocks - Kinder Morgan, Verizon, Brookfield Infrastructure Partners, and Agree Realty - that offer attractive yields of 4% or more, backed by stable cash flows and strong financial profiles. These companies have also demonstrated a history of consistently increasing their dividends, making them appealing options for investors seeking steadily rising passive income.",2024-09-24 08:19:00+00:00,https://www.fool.com/investing/2024/09/24/4-dividend-stocks-yielding-4-or-more-to-buy-for-pa/?source=iedfolrf0000001,The Motley Fool,0.3817460317460317,0.5021164021164021,positive,0.3817460317460317,False,True,False,False,False,True,False,False,0.0,486,"['EPpC', 'KMI', 'BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB', 'ADC', 'ADCpA']",BIPI,2024-09-24
2 Sectors Investors Should Buy Now That Rate Cuts Are In,"With interest rates being cut, investors should focus on utility stocks like Dominion Energy and dividend REITs like Brookfield Infrastructure Partners, as lower interest expenses can boost their earnings and dividends.",2024-09-25 18:49:51+00:00,https://www.benzinga.com/news/earnings/24/09/41006102/2-sectors-investors-should-buy-now-that-rate-cuts-are-in,Benzinga,0.0,0.0,neutral,0.0,True,True,True,False,False,True,False,False,0.0,277,"['D', 'BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB']",BIPI,2024-09-25
Brookfield Infrastructure Announces Reorganization of Brookfield Infrastructure Corporation,Brookfield Infrastructure Partners L.P. and Brookfield Infrastructure Corporation announced a reorganization to maintain the benefits of Brookfield Infrastructure's business structure while addressing proposed tax changes in Canada.,2024-10-09 21:41:00+00:00,https://www.globenewswire.com/news-release/2024/10/09/2960959/0/en/Brookfield-Infrastructure-Announces-Reorganization-of-Brookfield-Infrastructure-Corporation.html,GlobeNewswire Inc.,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,325,"['BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB', 'BIPC']",BIPI,2024-10-09
3 Stocks That Could Be Big Winners if Kamala Harris Wins but the GOP Controls Congress,"The article discusses three stocks that could benefit if Kamala Harris wins the presidency but the GOP controls Congress: Broadcom, Brookfield Infrastructure, and Microsoft. The reasoning is that a divided government could lead to a stronger economy and bipartisan support for AI and infrastructure.",2024-10-20 09:51:00+00:00,https://www.fool.com/investing/2024/10/20/3-stocks-that-could-be-big-winners-if-kamala-harri/?source=iedfolrf0000001,The Motley Fool,0.19999999999999998,0.16666666666666666,positive,0.19999999999999998,False,False,False,False,False,False,False,False,0.0,387,"['AVGO', 'BIP', 'BIPH', 'BIPI', 'BIPJ', 'BIPpA', 'BIPpB', 'MSFT']",BIPI,2024-10-20
