title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Have Faith in DuPont Analysis? Buy 5 Top-Ranked Stocks,DuPont technique helps investors to analyze basic ROE at an advanced level. Bet on these five stocks.,2021-04-23 11:03:00+00:00,http://www.zacks.com/stock/news/1441083/have-faith-in-dupont-analysis-buy-5-top-ranked-stocks?cid=CS-ZC-FT-analyst_blog|rw-1441083,Zacks Investment Research,0.2,0.3625,positive,0.2,False,True,False,False,False,False,False,False,0.0,157,"['UFPI', 'POOL', 'HZO', 'BCC', 'XPEL']",BCC,2021-04-23
"UFP Industries (UFPI) Hits 52-Week High, Can the Run Continue?","UFP Industries (UFPI) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",2021-04-23 13:15:08+00:00,http://www.zacks.com/stock/news/1441386/ufp-industries-ufpi-hits-52-week-high-can-the-run-continue?cid=CS-ZC-FT-52_week_high-1441386,Zacks Investment Research,0.20500000000000002,0.42624999999999996,positive,0.20500000000000002,False,False,False,False,False,False,False,False,0.0,216,"['UFPI', 'LPX', 'PCH', 'BCC']",BCC,2021-04-23
"Zacks.com featured highlights include: Pool Corp, MarineMax, XPEL, Boise Cascade and UFP Industries","Zacks.com featured highlights include: Pool Corp, MarineMax, XPEL, Boise Cascade and UFP Industries",2021-04-26 10:47:00+00:00,http://www.zacks.com/stock/news/1455233/zackscom-featured-highlights-include-pool-corp-marinemax-xpel-boise-cascade-and-ufp-industries?cid=CS-ZC-FT-press_releases-1455233,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,200,"['UFPI', 'POOL', 'HZO', 'BCC', 'XPEL']",BCC,2021-04-26
5 Top Momentum Picks Screened on Driehaus Strategy,Investors who have the propensity to take higher risks can think of investing in momentum stocks to boost their gains.,2021-04-26 12:10:00+00:00,http://www.zacks.com/stock/news/1455838/5-top-momentum-picks-screened-on-driehaus-strategy?cid=CS-ZC-FT-analyst_blog|rw-1455838,Zacks Investment Research,0.375,0.5,positive,0.375,False,False,False,False,False,False,False,False,0.0,170,"['FIX', 'ALLY', 'BCC', 'HRI', 'CZWI']",BCC,2021-04-26
Top Ranked Value Stocks to Buy for April 26th,Top Ranked Value Stocks to Buy for April 26th,2021-04-26 14:22:00+00:00,http://www.zacks.com/commentary/1455933/top-ranked-value-stocks-to-buy-for-april-26th?cid=CS-ZC-FT-zacks_1_rank_additions-1455933,Zacks Investment Research,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,92,"['OMP', 'GS', 'BCC', 'ALLY']",BCC,2021-04-26
Top Ranked Growth Stocks to Buy for April 26th,Top Ranked Growth Stocks to Buy for April 26th,2021-04-26 14:52:00+00:00,http://www.zacks.com/commentary/1456325/top-ranked-growth-stocks-to-buy-for-april-26th?cid=CS-ZC-FT-zacks_1_rank_additions-1456325,Zacks Investment Research,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,94,"['CWH', 'BSET', 'BCC', 'AN']",BCC,2021-04-26
"Zacks.com featured highlights include: Ally Financial, Citizens Community Bancorp, Boise Cascade, Comfort Systems and Herc Holdings","Zacks.com featured highlights include: Ally Financial, Citizens Community Bancorp, Boise Cascade, Comfort Systems and Herc Holdings",2021-04-27 11:02:00+00:00,http://www.zacks.com/stock/news/1460810/zackscom-featured-highlights-include-ally-financial-citizens-community-bancorp-boise-cascade-comfort-systems-and-herc-holdings?cid=CS-ZC-FT-press_releases-1460810,Zacks Investment Research,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,264,"['FIX', 'ALLY', 'BCC', 'HRI', 'CZWI']",BCC,2021-04-27
Boise Cascade (BCC) Gains As Market Dips: What You Should Know,"Boise Cascade (BCC) closed at $68.98 in the latest trading session, marking a +0.97% move from the prior day.",2021-04-27 21:50:20+00:00,http://www.zacks.com/stock/news/1463592/boise-cascade-bcc-gains-as-market-dips-what-you-should-know?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_6v1-1463592,Zacks Investment Research,0.13333333333333333,0.3333333333333333,positive,0.13333333333333333,False,False,False,False,False,False,False,False,0.0,173,['BCC'],BCC,2021-04-27
3 Wood Building Stocks to Buy as U.S. Housing Starts Rebound,"U.S. housing starts made a comeback in March, boding well for wood building companies, making it prudent to invest in names like Boise Cascade (BCC), Louisiana-Pacific (LPX) and UFP Industries (UFPI)",2021-04-28 11:54:00+00:00,http://www.zacks.com/stock/news/1466778/3-wood-building-stocks-to-buy-as-us-housing-starts-rebound?cid=CS-ZC-FT-analyst_blog|investment_ideas-1466778,Zacks Investment Research,0.0,0.0,neutral,0.0,False,True,False,False,False,False,False,False,0.0,261,"['LPX', 'UFPI', 'BCC']",BCC,2021-04-28
"Boise Cascade (BCC) Soars to 52-Week High, Time to Cash Out?","Boise Cascade (BCC) is at a 52-week high, but can investors hope for more gains in the future? We take a look at the company's fundamentals for clues.",2021-04-28 13:15:06+00:00,http://www.zacks.com/stock/news/1466870/boise-cascade-bcc-soars-to-52-week-high-time-to-cash-out?cid=CS-ZC-FT-52_week_high-1466870,Zacks Investment Research,0.20500000000000002,0.42624999999999996,positive,0.20500000000000002,False,False,False,False,False,False,False,False,0.0,212,['BCC'],BCC,2021-04-28
Is Boise Cascade (BCC) a Great Value Stock Right Now?,"Here at Zacks, our focus is on the proven Zacks Rank system, which emphasizes earnings estimates and estimate revisions to find great stocks. Nevertheless, we are always paying attention to the latest value, growth, and momentum trends to underscore strong picks.",2021-04-29 16:54:51+00:00,http://www.zacks.com/stock/news/1474100/is-boise-cascade-bcc-a-great-value-stock-right-now?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_2-1474100,Zacks Investment Research,0.3365079365079365,0.7615079365079365,positive,0.3365079365079365,True,False,False,False,False,False,False,False,0.0,318,['BCC'],BCC,2021-04-29
Top Ranked Growth Stocks to Buy for April 30th,Top Ranked Growth Stocks to Buy for April 30th,2021-04-30 15:02:00+00:00,http://www.zacks.com/commentary/1479087/top-ranked-growth-stocks-to-buy-for-april-30th?cid=CS-ZC-FT-zacks_1_rank_additions-1479087,Zacks Investment Research,0.5,0.5,positive,0.5,False,True,False,False,False,False,False,False,0.0,94,"['BCC', 'AN', 'ABG']",BCC,2021-04-30
Why Fast-paced Mover Boise Cascade (BCC) Is a Great Choice for Value Investors,Boise Cascade (BCC) could be a great choice for investors looking to buy stocks that have gained strong momentum recently but are still trading at reasonable prices. It is one of the several stocks that made it through our 'Fast-Paced Momentum at a Bargain' screen.,2021-05-03 12:27:00+00:00,http://www.zacks.com/stock/news/1493307/why-fast-paced-mover-boise-cascade-bcc-is-a-great-choice-for-value-investors?cid=CS-ZC-FT-tale_of_the_tape|fast_paced_momentum_at_a_bargain-1493307,Zacks Investment Research,0.37222222222222223,0.513888888888889,positive,0.37222222222222223,False,True,False,False,False,False,False,False,0.0,345,['BCC'],BCC,2021-05-03
Boise Cascade (BCC) to Post Q1 Earnings: What's in Store?,"Boise Cascade (BCC) is benefiting from robust demand in the housing market. Also, favorable pricing has likely driven the company's bottom-line performance in the first quarter.",2021-05-03 13:23:00+00:00,http://www.zacks.com/stock/news/1493634/boise-cascade-bcc-to-post-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1493634,Zacks Investment Research,0.125,0.6666666666666666,positive,0.125,True,False,False,False,False,False,False,False,0.0,236,"['WMS', 'LPX', 'BCC', 'BLD']",BCC,2021-05-03
Top Ranked Growth Stocks to Buy for May 3rd,Top Ranked Growth Stocks to Buy for May 3rd,2021-05-03 13:29:00+00:00,http://www.zacks.com/commentary/1493268/top-ranked-growth-stocks-to-buy-for-may-3rd?cid=CS-ZC-FT-zacks_1_rank_additions-1493268,Zacks Investment Research,0.25,0.25,positive,0.25,False,True,False,False,False,False,False,False,0.0,88,"['TOT', 'HRI', 'BCC', 'AVTR']",BCC,2021-05-03
7 Great Value Picks Based on Discounted PEG,Here are seven out of the 50 stocks that qualify the screening.,2021-05-03 14:13:00+00:00,http://www.zacks.com/stock/news/1493800/7-great-value-picks-based-on-discounted-peg?cid=CS-ZC-FT-analyst_blog|rw-1493800,Zacks Investment Research,0.8,0.75,positive,0.8,False,False,False,False,False,False,False,False,0.0,108,"['MAN', 'DOW', 'OC', 'SC', 'BCC', 'EHC', 'EQNR']",BCC,2021-05-03
