title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Amphastar Pharmaceuticals (AMPH) to Report Q1 Results: Wall Street Expects Earnings Growth,Amphastar (AMPH) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-04-29 21:06:36+00:00,http://www.zacks.com/stock/news/1475149/amphastar-pharmaceuticals-amph-to-report-q1-results-wall-street-expects-earnings-growth?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1475149,Zacks Investment Research,0.07142857142857142,0.8839285714285714,neutral,0.07142857142857142,True,False,False,False,False,False,False,False,0.0,264,['AMPH'],AMPH,2021-04-29
A Peek Into The Markets: US Stock Futures Gain Ahead Of Manufacturing Data,"Pre-open movers
U.S. stock futures traded higher in early pre-market trade after the Dow Jones dipped 185 points in the previous session. However, Wall Street recorded gains for the month of April. Investors are awaiting earnings results from  Estee Lauder Companies Inc (NYSE: EL),  ON Semiconductor Corp (NASDAQ: ON),  Enterprise Products Partners L.P. (NYSE: EPD),  Williams Companies Inc (NYSE: WMB) and  Mosaic Co (NYSE: MOS).
The manufacturing PMI for April is scheduled for release at 9:45 a.m. ET, while the ISM manufacturing composite index and construction spending data will be released at 10:00 a.m. ET. Federal Reserve Bank of New York President John Williams is set to speak at 2:10 p.m. ET.
Futures for the Dow Jones Industrial Average climbed 184 points to 33,951.00 while the Standard & Poor’s 500 index futures gained 18.75 points at 4,193.25. Futures for the Nasdaq 100 index rose 25.75 points to 13,875.75.
The U.S. has the highest number of COVID-19 cases and deaths in the world, with total infections in the country exceeding 32,421,710 with around 577,040 deaths. India reported ...Full story available on Benzinga.com",2021-05-03 10:10:47+00:00,https://www.benzinga.com/news/earnings/21/05/20910053/a-peek-into-the-markets-us-stock-futures-gain-ahead-of-manufacturing-data,Benzinga,0.07696969696969697,0.45212121212121215,neutral,0.07696969696969697,True,False,False,False,True,False,False,False,0.0,1218,"['AJG', 'EL', 'EMN', 'EPD', 'MOS', 'WMB', 'ON', 'AMPH', 'DTEA']",AMPH,2021-05-03
Amphastar Pharmaceuticals (AMPH) Q1 Earnings and Revenues Top Estimates,"Amphastar (AMPH) delivered earnings and revenue surprises of 42.11% and 6.08%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-06 22:25:05+00:00,http://www.zacks.com/stock/news/1512310/amphastar-pharmaceuticals-amph-q1-earnings-and-revenues-top-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1512310,Zacks Investment Research,0.25,0.3,positive,0.25,True,False,False,False,False,False,False,False,0.0,259,['AMPH'],AMPH,2021-05-06
Amphastar Pharmaceuticals Inc (AMPH) Q1 2021 Earnings Call Transcript,"AMPH earnings call for the period ending March 31, 2021.",2021-05-07 14:00:51+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/07/amphastar-pharmaceuticals-inc-amph-q1-2021-earning/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,127,['AMPH'],AMPH,2021-05-07
18 Key Biopharma Catalysts To Keep An Eye On In Q3,"Biopharma stocks underperformed in the first half of 2021, and several of these stocks could be in for a rebound in the coming months.
Needham analyst Serge Belanger highlighted companies in the firm's coverage universe that have key catalysts in the third quarter.
PDUFA Events:  PDUFA goal dates are key binary events that can make or break stocks. The date denotes the end of the review period for the regulatory application filed with the Food and Drug Administration.
A standard review takes 10 months from the date of filing of the application, while a priority review takes up to six months.
Revance Therapeutics, Inc. (NASDAQ: RVNC): Daxi, or daxibotulinumtoxin A, for glabellar lines will likely clear the FDA hurdle by the middle of the third quarter, 
Verrica Pharmaceuticals Inc. (NASDAQ: VRCA): Ycanth, or VP-102, for molluscum contagiosum has a PDUFA date  of Sept. 23.
Clinical Trial Readouts: Another stock-moving catalyst for biopharma stocks is clinical readouts. A drug goes through several stages ...",2021-07-10 12:03:10+00:00,https://www.benzinga.com/analyst-ratings/analyst-color/21/07/21882595/18-key-biopharma-catalysts-to-keep-an-eye-on-in-q3,Benzinga,-0.0011904761904761893,0.3773809523809524,neutral,0.0011904761904761893,False,False,True,False,False,False,False,False,0.0,1072,"['BCRX', 'IBB', 'ZGNX', 'AERI', 'RVNC', 'AMPH', 'HRTX', 'XENE', 'ZYNE', 'RGNX', 'CLSD', 'KALV', 'ACER', 'VRCA', 'LQDA']",AMPH,2021-07-10
Amphastar Pharmaceuticals (AMPH) to Report Q2 Results: Wall Street Expects Earnings Growth,Amphastar (AMPH) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-07-29 19:05:57+00:00,https://www.zacks.com/stock/news/1771132/amphastar-pharmaceuticals-amph-to-report-q2-results-wall-street-expects-earnings-growth,Zacks Investment Research,0.07142857142857142,0.8839285714285714,neutral,0.07142857142857142,True,False,False,False,False,False,False,False,0.0,264,['AMPH'],AMPH,2021-07-29
"The Daily Biotech Pulse: Pfizer's Positive Readout, NRx Strikes R&D Collaboration With Mannkind, Cerus & Invitae Jump On Earnings","Here's a roundup of top developments in the biotech space over the last 24 hours.
Scaling The Peaks
(Biotech Stocks Hitting 52-week Highs Aug. 3)

Absci, CORP (NASDAQ: ABSI) (IPOed July 22)
Alkermes plc (NASDAQ: ALKS)
Amphastar Pharmaceuticals, Inc. (NASDAQ: AMPH)
Bio-Rad Laboratories, Inc. (NYSE: BIO)
Bristol-Myers Squibb Company (NYSE: BMY)
BioNTech SE (NASDAQ: BNTX)
Cytek Biosciences, Inc. (NASDAQ: CTKB) (IPOed July 23)
Eli Lilly and Company (NYSE: LLY) (announced its second-quarter results)
Genmab A/S (NASDAQ: GMAB)
Imago BioSciences, Inc. (NASDAQ: IMGO) (IPOed July 16)
Immuneering Corporation (NASDAQ: IMRX) (IPOed Friday)
Innoviva, Inc. (NASDAQ: INVA)
Intuitive Surgical, Inc. (NASDAQ: ISRG)
Johnson & Johnson (NYSE: JNJ)
Maravai LifeSciences Holdings, Inc. (NASDAQ: MRVI)
Moderna, Inc. (NASDAQ: MRNA) (announced commencement of Phase 1 study of mRNA therapeutic candidate for autoimmune disorder)
Monte Rosa Therapeutics, Inc. (NASDAQ: GLUE)
Myriad Genetics, Inc. (NASDAQ: MYGN)
Novo Nordisk A/S (NYSE: NVO)
Nuvalent, Inc. (NASDAQ: NUVL) (IPOed Thursday)
Pfizer Inc. (NYSE: PFE)
Quest Diagnostics Incorporated (NYSE: DGX)
Repligen Corporation (NASDAQ: RGEN)
ResMed Inc. (NYSE: RMD)
Translate Bio, Inc. (NASDAQ: TBIO) (announced a deal to be bought by Sanofi (NASDAQ: SNY)

Down In The Dumps
(Biotech Stocks Hitting 52-week Lows Aug. 3)

Adicet Bio, Inc. (NASDAQ: ACET)
Akero Therapeutics, Inc. (NASDAQ: AKRO)
Alzamend Neuro, Inc. (NASDAQ: ALZN)
Arena Pharmaceuticals, Inc. (NASDAQ: ARNA)
Aridis Pharmaceuticals, Inc. (NASDAQ: ARDS)
Avidity Biosciences, Inc. (NASDAQ: RNA)
Aytu Biopharma, Inc. (NASDAQ: AYTU)
Cara Therapeutics, Inc. (NASDAQ: CARA)
Catalyst Pharmaceuticals, Inc. (NASDAQ: CPRX)
Centessa Pharmaceuticals Limited (NASDAQ: CNTA)
Cogent Biosciences, Inc. (NASDAQ: COGT)
Deciphera Pharmaceuticals, Inc. (NASDAQ: DCPH)
Ensysce Biosciences, Inc. (NASDAQ: ENSC)
Esperion Therapeutics, Inc. (NASDAQ: ESPR) (reacted to its quarterly results)
Epizyme, Inc. (NASDAQ: EPZM)
Foghorn Therapeutics Inc. (NASDAQ: FHTX)
Gemini Therapeutics, Inc. (NASDAQ: GMTX)
Global Blood Therapeutics, Inc. (NASDAQ: GBT)
Harpoon Therapeutics, Inc. (NASDAQ: HARP)
Hepion Pharmaceuticals, Inc. (NASDAQ: HEPA)
Heron Therapeutics, Inc. (NASDAQ: HRTX)
Immunovant, Inc. (NASDAQ: IMVT)
Innate Pharma S.A. (NASDAQ: IPHA)
Insmed Incorporated (NASDAQ: INSM)
Karyopharm Therapeutics Inc. (NASDAQ: KPTI)
Kiniksa Pharmaceuticals, Ltd. (NASDAQ: KNSA)
Kinnate Biopharma Inc. (NASDAQ: KNTE)
Liquidia Corporation (NASDAQ: LQDA)
Lyra Therapeutics, Inc. (NASDAQ: LYRA)
Mersana Therapeutics, Inc. (NASDAQ: MRSN)
Minerva Neurosciences, Inc. (NASDAQ: NERV)
Moleculin Biotech, Inc. (NASDAQ: MBRX)
Nautilus Biotechnology, Inc. (NASDAQ: NAUT)
Nektar Therapeutics (NASDAQ: NKTR)
Neoleukin Therapeutics, Inc. (NASDAQ: NLTX)
NuCana plc (NASDAQ: NCNA)
Orchard Therapeutics plc (NASDAQ: ORTX)
ORIC Pharmaceuticals, Inc. (NASDAQ: ORIC)
Orphazyme A/S (NASDAQ: ORPH)
Oyster Point Pharma, Inc. (NASDAQ: OYST)
Palisade Bio, Inc. (NASDAQ: PALI)
Panbela Therapeutics, Inc. (NASDAQ: PBLA)
Passage Bio, Inc. (NASDAQ:",2021-08-04 11:52:09+00:00,https://www.benzinga.com/general/biotech/21/08/22320514/the-daily-biotech-pulse-pfizers-positive-readout-nrx-strikes-r-d-collaboration-with-mannkind-ceru,Benzinga,0.07146980004122862,0.22055246340960627,neutral,0.07146980004122862,True,False,True,False,False,False,False,False,0.0,3205,"['DCPH', 'CTKB', 'PBYI', 'MRNA', 'ACET', 'RYTM', 'PBLA', 'SRDX', 'KNSA', 'EPZM', 'BNTX', 'ALKS', 'VVOS', 'BIO', 'XERS', 'ESPR', 'IPHA', 'ARNA', 'TRIL', 'PALI', 'BMY', 'DGX', 'BNGO', 'RNA', 'OYST', 'CERS', 'VCEL', 'VOR', 'JNJ', 'LQDA', 'AERI', 'IMVT', 'COGT', 'NVTA', 'TERN', 'LLY', 'AQST', 'FATE', 'PASG', 'CPRX', 'CYAD', 'GMTX', 'NVO', 'ARDS', 'KPTI', 'ORIC', 'IBB', 'PULM', 'NRXP', 'PFE', 'INMB', 'FLXN', 'LYRA', 'INSM', 'GBT', 'CNTA', 'RMD', 'ORTX', 'CARA', 'PROG', 'ISRG', 'TLGT', 'NAUT', 'SNY', 'HARP', 'DMTK', 'VYNE', 'MBRX', 'AYTU', 'ALZN', 'TBIO', 'ISEE', 'AMPH', 'ORPH', 'MNKD', 'NTLA', 'GLUE', 'HZNP', 'AKRO', 'NERV', 'SPRB', 'MYGN', 'OBSV', 'ABSI', 'AXGN', 'GMAB', 'SAGE', 'PRAX', 'NKTR', 'URGN', 'GTHX', 'ENSC', 'NUVL', 'PSTV', 'HRTX', 'FHTX', 'NLTX', 'MRSN', 'IMGO', 'INVA', 'HEPA', 'OTIC', 'MRVI', 'OSUR', 'NCNA', 'IMRX', 'TXMD', 'TFFP', 'XNCR', 'KNTE', 'RGEN']",AMPH,2021-08-04
"The Week Ahead In Biotech (Aug. 8-14): Jazz Pharma FDA Decision, Earnings Deluge and IPOs In The Spotlight","Biopharma stocks ended higher for the week ending Aug. 6, as the sector latched on to the optimism that was evident in the broader markets. Earnings continued to flow in, triggering stock-specific moves, while clinical readouts also moved stocks during the week.
BeyondSpring Inc. (NASDAQ: BYSI) was among the biggest biopharma gainers of the week, with the stock reacting  to a positive late-stage readout for its lung cancer treatment combo. The stock ended the week with a gain of about 128%.
Dicerna Pharmaceuticals, Inc. (NASDAQ: DRNA), however, was not as fortunate, as the stock lost about one-fifth of its market cap following mixed results from a pivotal trial of its RNAi therapeutic candidate nedosiran in primary hyperoxaluria 1.
The market reacted negatively to earnings from vaccine companies Moderna, Inc. (NASDAQ: MRNA) and Novavax, Inc. (NASDAQ: NVAX).  Moderna's  results, although outstanding, elicited negative reaction, while a lack of update about U.S. approval of Novavax' vaccine sent its shares tumbling on Friday.
On the approvals front, the Food and Drug Administration cleared Sanofi (NASDAQ: SNY)'s Nexviazyme (avalglucosidase alfa-ngpt), an enzyme replacement therapy drug for Pompe disease.
The IPO news flow tapered off, with ABVC BioPharma, Inc. (NASDAQ: ABVC), Indaptus Therapeutics, Inc. (NASDAQ: INDP) and Adagio Therapeutics, Inc. Common Stock (NASDAQ: ADGI) among the companies pricing their offerings and listing during the week.
Here are the key catalytic events for the unfolding week:
Conferences:
BTIG Virtual Biotechnology Conference: Aug. 9-10
2021 Wedbush Pacgrow Healthcare Virtual Conference: Aug. 10-11
PDUFA Dates
The FDA is scheduled to rule on Jazz Pharmaceuticals plc's (NASDAQ: JAZZ)'s supplemental new drug application for Xywav (JZP-258) as a treatment option for idiopathic hypersomnia in adults. The PDUFA goal by date is Thursday, Aug. 12.
Clinical Readouts
Pending Mid-2021 Releases 
F-star Therapeutics, Inc. (NASDAQ: FSTX): update on the progress of SB 11285 in the phase 1 clinical trial
Crinetics Pharmaceuticals, Inc. (NASDAQ: CRNX): preliminary Phase 1 data for CRN04894 in Cushing's disease and congenital adrenal hyperplasia and CRN04777 in congenital hyperinsulinism
Praxis Precision Medicines, Inc. (NASDAQ: PRAX): Preliminary topline data from the Phase 2a trial of PRAX-944 in essential tremor and safety, tolerability and PK data from the ongoing Phase 1 trial of PRAX-562
Kaleido Biosciences, Inc. (NASDAQ: KLDO): Topline Phase 2 data from a clinical study of KB295 in patients with mild-to-moderate ulcerative colitis
Earnings
Monday 

Dicerna Pharmaceuticals, Inc. (NASDAQ: DRNA) (before the market open)
Intra-Cellular Therapies, Inc. (NASDAQ: ITCI) (before the market open)
Eagle Pharmaceuticals, Inc. (NASDAQ: EGRX) (before the market open)
Epizyme, Inc. (NASDAQ: EPZM) (before the market open)
Syneos Health, Inc. (NASDAQ: SYNH) (before the market open)
ShockWave Medical, Inc. (NASDAQ: SWAV) (before the market open)
Viatris Inc. (NASDAQ: VTRS) (before the market open)
Rubius Therapeutics, Inc. (NASDAQ: RUBY) (before the market open)
Biohaven Pharmaceutical Holding Company Ltd. (NYSE: BHVN) (before the market open)
bluebird bio, Inc. (NASDAQ: BLUE) (before the market open)
BioNTech SE (NASDAQ: BNTX) (before the market open)
Avadel Pharmaceuticals plc (NASDAQ: AVDL) (before the market open)
Agenus Inc. (NASDAQ: AGEN) (before the market open)
Amneal Pharmaceuticals, Inc. (NYSE: AMRX) (before the market open)
Axsome Therapeutics, Inc. (NASDAQ: AXSM) (before the market open)
Elanco Animal Health Incorporated (NYSE: ELAN) (before the market open)
Amphastar Pharmaceuticals, Inc. (NASDAQ: AMPH) (after the close)
Atara Biotherapeutics, Inc. (NASDAQ: ATRA) (after the close)
Aethlon Medical, Inc. (NASDAQ:",2021-08-08 14:03:32+00:00,https://www.benzinga.com/general/biotech/21/08/22388070/the-week-ahead-in-biotech-aug-8-14-jazz-pharma-fda-decision-earnings-deluge-and-ipos-in-the-spotl,Benzinga,0.051871657754010696,0.46102941176470585,neutral,0.051871657754010696,True,False,True,False,True,False,False,False,0.0,3899,"['EYEN', 'SPPI', 'PBLA', 'CAPR', 'APYX', 'ELAN', 'HCWB', 'PAVM', 'INO', 'RVMD', 'CARA', 'RCKT', 'TPTX', 'ABCL', 'OPGN', 'SWAV', 'NAVB', 'INDP', 'FLGT', 'PTE', 'LYRA', 'EGRX', 'SYNH', 'ZIOP', 'VIRI', 'KMPH', 'DTIL', 'ALT', 'CLPT', 'AGEN', 'NARI', 'REPH', 'EVFM', 'BBI', 'ELDN', 'ADAP', 'PDSB', 'KLDO', 'BYSI', 'ATHX', 'HSTO', 'ADMS', 'BTAI', 'HAE', 'EVAX', 'PEN', 'TRVI', 'CCXI', 'AVDL', 'CLSN', 'FMTX', 'SNDX', 'AMPH', 'MDNA', 'RGC', 'LHDX', 'RGNX', 'CSTL', 'BIOL', 'ADGI', 'CPRX', 'PROG', 'ITCI', 'RUBY', 'SNY', 'BVS', 'RLMD', 'FULC', 'ALPN', 'BHVN', 'CYCC', 'RLAY', 'OCUL', 'APTX', 'TDG', 'NEXI', 'AXSM', 'LCTX', 'VNRX', 'CODX', 'HALO', 'AFIB', 'ATRA', 'TCDA', 'CPIX', 'TLIS', 'HSDT', 'TFFP', 'RPID', 'DARE', 'HOOK', 'HRMY', 'CBAY', 'CRNX', 'AEMD', 'IKNA', 'RETA', 'MRNA', 'AMRX', 'VERU', 'IBB', 'VYNE', 'OGN', 'MRNS', 'ETTX', 'BPTH', 'AKYA', 'ABVC', 'XGN', 'RGLS', 'ACHV', 'ICCC', 'JAZZ', 'AZYO', 'MTNB', 'TCRX', 'APDN', 'NPCE', 'CLSD', 'BNTX', 'EPZM', 'SYBX', 'LIFE', 'PRAX', 'XENE', 'GMDA', 'OCX', 'SERA', 'PLSE', 'TELA', 'IMV', 'CELC', 'MNKD', 'VTRS', 'NVCN', 'DMAC', 'CRMD', 'SGHT', 'VIVE', 'KRMD', 'BLUE', 'GTBP', 'NVAX', 'MRVI', 'FGEN', 'ORGO', 'GOVX', 'ERAS', 'AVIR', 'THMO', 'ONTX', 'OPTN', 'RPRX', 'FSTX', 'ADMA', 'GOSS', 'DYAI', 'IMGO', 'SELB', 'PGEN', 'DRNA', 'APLS']",AMPH,2021-08-08
Amphastar Pharmaceuticals (AMPH) Meets Q2 Earnings Estimates,"Amphastar (AMPH) delivered earnings and revenue surprises of 0.00% and 0.28%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-08-09 22:45:08+00:00,https://www.zacks.com/stock/news/1777235/amphastar-pharmaceuticals-amph-meets-q2-earnings-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,246,['AMPH'],AMPH,2021-08-09
"Amphastar Pharmaceuticals, inc (AMPH) Q2 2021 Earnings Call Transcript","AMPH earnings call for the period ending June 30, 2021.",2021-08-10 00:30:33+00:00,https://www.fool.com/earnings/call-transcripts/2021/08/09/amphastar-pharmaceuticals-inc-amph-q2-2021-earning/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,127,['AMPH'],AMPH,2021-08-10
