title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Avanos Medical (AVNS) Earnings Expected to Grow: Should You Buy?,Avanos Medical (AVNS) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-04-28 16:34:09+00:00,http://www.zacks.com/stock/news/1468010/avanos-medical-avns-earnings-expected-to-grow-should-you-buy?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1468010,Zacks Investment Research,0.026530612244897955,0.5622448979591838,neutral,0.026530612244897955,True,True,False,False,False,False,False,False,0.0,243,['AVNS'],AVNS,2021-04-28
"Earnings Scheduled For May 7, 2021","Companies Reporting Before The Bell
• Cronos Group (NASDAQ:CRON) is likely to report earnings for its first quarter.
• Eaton Vance Municipal (NYSE:ETX) is expected to report earnings for its first quarter.
• Ocugen (NASDAQ:OCGN) is estimated to report quarterly earnings at $0.49 per share on revenue of $78.10 million.
• Sprott (NYSE:SII) is expected to report quarterly earnings at $0.31 per share on revenue of $32.20 million.
• Construction Partners (NASDAQ:ROAD) is projected to report quarterly earnings at $0.08 per share on revenue of $201.03 million.
• Hudson Global (NASDAQ:HSON) is projected to report quarterly loss at $0.04 per share on revenue of $29.50 million.
• Mednax (NYSE:MD) is estimated to report quarterly earnings at $0.13 per share on revenue of $424.13 million.
• Cenovus Energy (NYSE:CVE) is expected to report quarterly loss at $0.02 per share on revenue of $3.57 billion.
• Brookfield Property REIT (NASDAQ:BPYU) is estimated to report earnings for its first quarter.
• Overseas Shipholding Gr (NYSE:OSG) is projected to report earnings for its first quarter.
• Liberty Formula One Group (NASDAQ:FWONK) is estimated to report quarterly loss at $0.43 per share on revenue of $130.67 million.
• Liberty SiriusXM Gr (NASDAQ:LSXMA) is estimated to report quarterly earnings at $0.67 per share on revenue of $1.98 billion.
• AerSale (NASDAQ:ASLE) is estimated to report quarterly loss at $0.05 per share on revenue of $59.20 million.
• TELUS International (NYSE:TIXT) is projected to report quarterly earnings at $0.20 per share on revenue of $500.30 million.
• Enerplus (NYSE:ERF) is likely to report quarterly earnings at $0.14 per share on revenue of $169.20 million.
• Gatos Silver (NYSE:GATO) is estimated to report earnings for its first quarter.
• Liberty SiriusXM Gr (NASDAQ:LSXMK) is estimated to report quarterly earnings at $0.10 per share on revenue of $2.06 billion.
• TC Energy (NYSE:TRP) is estimated to report quarterly earnings at $1.11 per share on revenue of $3.54 billion.
• DraftKings (NASDAQ:DKNG) is expected to report quarterly loss at $0.41 per share on revenue of $230.68 million.
• Liberty Formula One Group (NASDAQ:FWONA) is estimated to report quarterly loss at $0.41 per share on revenue of $130.67 million.
• Nikola (NASDAQ:NKLA) is likely to report earnings for its first quarter.
• Meridian Bioscience (NASDAQ:VIVO) is likely to report quarterly earnings at $0.48 per share on revenue of $84.48 million.
• Northern Oil & Gas (AMEX:NOG) is projected to report quarterly earnings at $0.60 per share on revenue of $135.87 million.
• Tecnoglass (NASDAQ:TGLS) is likely to report quarterly earnings at $0.22 per share on revenue of $98.39 million.
• Spire (NYSE:SR) is estimated to report quarterly earnings at $3.08 per share on revenue of $773.16 million.
• Plymouth Industrial REIT (NYSE:PLYM) is estimated to report quarterly loss at $0.25 per share on revenue of $30.58 million.
• ModivCare (NASDAQ:MODV) is likely to report quarterly earnings at $1.60 per share on revenue of $483.06 million.
• Marcus & Millichap (NYSE:MMI) is projected to report quarterly earnings at $0.19 per share on revenue of $172.61 million.
• Hyatt Hotels (NYSE:H) is ...Full story available on Benzinga.com",2021-05-07 08:12:39+00:00,https://www.benzinga.com/news/earnings/21/05/21007713/earnings-scheduled-for-may-7-2021,Benzinga,0.07894736842105263,0.5263157894736842,neutral,0.07894736842105263,True,False,False,False,False,False,False,False,0.0,3277,"['LXP', 'CRON', 'NOG', 'STNG', 'AXL', 'PLYM', 'MD', 'QRTEA', 'RMR', 'AMCX', 'CCJ', 'UNVR', 'HCHC', 'MGI', 'ROAD', 'SVC', 'ELAN', 'CI', 'DS', 'NPO', 'AVNS', 'BWEN', 'HSON', 'CNK', 'LTRPA', 'OSG', 'OCGN', 'CLMT', 'AMRX', 'ENB', 'AC', 'SII', 'BPYU', 'CNTY', 'SMLP', 'ERF', 'LBRDA', 'SR', 'DKNG', 'DXPE', 'TILE', 'FF', 'LBRDK', 'SSP', 'NKLA', 'INTT', 'ATH', 'FLR', 'GCI', 'ETX', 'TRP', 'GATO', 'JOUT', 'BPY', 'GLP', 'LSXMA', 'VRS', 'ASLE', 'PFSW', 'ESNT', 'GVA', 'BATRA', 'VTR', 'MODV', 'RUTH', 'MMI', 'HE', 'LSXMK', 'H', 'TIXT', 'SIFY', 'ANIP', 'IEP', 'BATRK', 'CVE', 'VIVO', 'IBP', 'ITT', 'FWONK', 'AUD', 'ZEUS', 'CIO', 'KOP', 'FWONA', 'SPB', 'ABR', 'RDUS', 'LEA', 'DSKE', 'NFE', 'AP', 'TGLS']",AVNS,2021-05-07
Avanos Medical (AVNS) Beats Q1 Earnings and Revenue Estimates,"Avanos Medical (AVNS) delivered earnings and revenue surprises of 27.78% and 2.30%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-07 12:25:04+00:00,http://www.zacks.com/stock/news/1515302/avanos-medical-avns-beats-q1-earnings-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1515302,Zacks Investment Research,0.0,0.03333333333333333,neutral,0.0,True,False,False,False,False,False,False,False,0.0,254,['AVNS'],AVNS,2021-05-07
"Avanos Medical, Inc. (AVNS) Q1 2021 Earnings Call Transcript","AVNS earnings call for the period ending March 31, 2021.",2021-05-07 20:30:47+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/07/avanos-medical-inc-avns-q1-2021-earnings-call-tran/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,118,['AVNS'],AVNS,2021-05-07
Avanos Medical (AVNS) Q1 Earnings and Revenues Top Estimates,Avanos Medical (AVNS) continues to gain from its core Chronic Care segment in the first quarter.,2021-05-10 16:40:00+00:00,http://www.zacks.com/stock/news/1530773/avanos-medical-avns-q1-earnings-and-revenues-top-estimates?cid=CS-ZC-FT-analyst_blog|earnings_article-1530773,Zacks Investment Research,0.1875,0.20833333333333331,positive,0.1875,True,False,False,False,False,False,False,False,0.0,158,"['BSX', 'HCA', 'ITGR', 'AVNS']",AVNS,2021-05-10
Here's Why You Should Hold on to Avanos (AVNS) Stock for Now,"Investors continue to be optimistic about Avanos (AVNS), owing to its strong product line and focus on its R&D.",2021-05-20 13:47:00+00:00,http://www.zacks.com/stock/news/1581799/heres-why-you-should-hold-on-to-avanos-avns-stock-for-now?cid=CS-ZC-FT-analyst_blog|rank_focused-1581799,Zacks Investment Research,0.4333333333333333,0.7333333333333333,positive,0.4333333333333333,False,False,False,False,True,False,False,False,0.0,173,"['ILMN', 'DVA', 'BSX', 'AVNS']",AVNS,2021-05-20
What's in Store for Intuitive Surgical's (ISRG) Q2 Earnings?,Intuitive Surgical's (ISRG) second-quarter results are likely to reflect solid performance at Instruments & Accessories segment.,2021-07-16 13:04:00+00:00,https://www.zacks.com/stock/news/1762763/whats-in-store-for-intuitive-surgicals-isrg-q2-earnings,Zacks Investment Research,0.0,0.55,neutral,0.0,True,False,True,False,False,False,False,False,0.0,190,"['ISRG', 'HOLX', 'HRC', 'AVNS']",AVNS,2021-07-16
Stryker (SYK) to Report Q2 Earnings: What's in the Cards?,"Stryker's (SYK) second-quarter results are likely to reflect strong segmental performances at Medsurg, Orthopaedic and Neurotechnology & Spine.",2021-07-21 11:55:00+00:00,https://www.zacks.com/stock/news/1764862/stryker-syk-to-report-q2-earnings-whats-in-the-cards,Zacks Investment Research,0.21666666666666665,0.8666666666666667,positive,0.21666666666666665,True,False,True,False,False,False,False,False,0.0,202,"['CERN', 'SYK', 'HRC', 'AVNS']",AVNS,2021-07-21
PerkinElmer (PKI) to Post Q2 Earnings: What's in the Cards?,PerkinElmer's (PKI) second-quarter results are likely to reflect strong performance at Diagnostics segment.,2021-07-22 13:43:00+00:00,https://www.zacks.com/stock/news/1765897/perkinelmer-pki-to-post-q2-earnings-whats-in-the-cards,Zacks Investment Research,0.21666666666666665,0.8666666666666667,positive,0.21666666666666665,True,False,True,False,False,False,False,False,0.0,168,"['CERN', 'PKI', 'HRC', 'AVNS']",AVNS,2021-07-22
Baxter (BAX) to Report Q2 Earnings: What's in the Cards?,Baxter's (BAX) second-quarter results are likely to reflect growth in its Acute Therapies business.,2021-07-23 11:53:00+00:00,https://www.zacks.com/stock/news/1766639/baxter-bax-to-report-q2-earnings-whats-in-the-cards,Zacks Investment Research,0.3,0.95,positive,0.3,True,False,True,False,False,False,False,False,0.0,157,"['CERN', 'BAX', 'HRC', 'AVNS']",AVNS,2021-07-23
