title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Retail’s Surprisingly Big Month,How people are spending their money.,2021-04-22 20:13:00+00:00,https://www.fool.com/investing/2021/04/22/retails-surprisingly-big-month/?source=iedfolrf0000001,The Motley Fool,0.0,0.1,neutral,0.0,False,False,False,False,False,False,False,False,0.0,69,"['AEO', 'KO', 'PEP', 'ANF']",AEO,2021-04-22
Why American Eagle Outfitters Stock Just Dropped,Uh-oh. Insiders are selling. Should you be scared?,2021-04-26 15:08:21+00:00,https://www.fool.com/investing/2021/04/26/why-american-eagle-outfitters-stock-just-dropped/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,100,['AEO'],AEO,2021-04-26
12 Consumer Discretionary Stocks Moving In Monday's Intraday Session,"Gainers

Kaixin Auto Hldgs (NASDAQ:KXIN) shares increased by 17.41% to $2.63 during Monday's regular session. The current volume of 1.5 million shares is 43.12% of Kaixin Auto Hldgs's average full-day volume over the last 100 days (last updated at 12:31 EST). The company's market cap stands at $171.2 million.
Naked Brand Group (NASDAQ:NAKD) stock moved upwards by 13.15% to $0.65. Trading volume for this security as of 12:31 EST is 90.7 million, which is 66.81% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $413.7 million.
Future FinTech Group (NASDAQ:FTFT) shares moved upwards by 12.68% to $3.82. Trading volume for Future FinTech Group's stock is 2.4 million as of 12:31 EST. This is 33.26% of its average full-day volume over the last 100 days. The market value of their outstanding shares is at $279.1 million.
Renren (NYSE:RENN) stock moved upwards by 10.6% to $10.85. Renren's stock is trading at a volume of 106.0K shares as of 12:31 EST. This is 56.75% ...Full story available on Benzinga.com",2021-04-26 16:52:06+00:00,https://www.benzinga.com/intraday-update/21/04/20795994/12-consumer-discretionary-stocks-moving-in-mondays-intraday-session,Benzinga,0.06333333333333334,0.3162393162393162,neutral,0.06333333333333334,False,False,True,False,False,False,False,False,0.0,1135,"['DORM', 'SGMS', 'SYPR', 'AEO', 'RENN', 'NAKD', 'FTFT', 'UXIN', 'KXIN', 'BBQ', 'METX', 'ARVL']",AEO,2021-04-26
5 Top Stocks That Offer Explosive Relative Price Strength,"Cabot (CBT), American Eagle Outfitters (AEO), Mattel (MAT), ManpowerGroup (MAN) and Domtar (UFS) are five stocks with explosive relative price strength.",2021-04-27 11:14:00+00:00,http://www.zacks.com/stock/news/1461154/5-top-stocks-that-offer-explosive-relative-price-strength?cid=CS-ZC-FT-analyst_blog|rw-1461154,Zacks Investment Research,0.125,0.125,positive,0.125,False,False,False,False,False,False,False,False,0.0,211,"['MAT', 'MAN', 'AEO', 'CBT', 'UFS']",AEO,2021-04-27
Biden's First 100 Days Prove Stellar for Stocks: What's Next?,"With the stock market expected to maintain its bullish trend beyond Biden's first 100 days in office, it's prudent to invest in growth stocks like Apple (AAPL), Conns (CONN) & Goldman Sachs (GS).",2021-04-28 11:36:00+00:00,http://www.zacks.com/stock/news/1466683/bidens-first-100-days-prove-stellar-for-stocks-whats-next?cid=CS-ZC-FT-analyst_blog|investment_ideas-1466683,Zacks Investment Research,0.13,0.2633333333333333,positive,0.13,False,False,False,False,False,False,False,False,0.0,258,"['GS', 'AAPL', 'AMD', 'AEO', 'CONN']",AEO,2021-04-28
"The Zacks Analyst Blog Highlights: Apple, American Eagle Outfitters, Conn's, Goldman Sachs and Advanced Micro Devices","The Zacks Analyst Blog Highlights: Apple, American Eagle Outfitters, Conn's, Goldman Sachs and Advanced Micro Devices",2021-04-29 11:13:00+00:00,http://www.zacks.com/stock/news/1472239/the-zacks-analyst-blog-highlights-apple-american-eagle-outfitters-conns-goldman-sachs-and-advanced-micro-devices?cid=CS-ZC-FT-press_releases-1472239,Zacks Investment Research,0.2,0.3,positive,0.2,False,False,False,False,False,False,False,False,0.0,236,"['GS', 'AAPL', 'AMD', 'AEO', 'CONN']",AEO,2021-04-29
5 Top Stocks To Buy in May,They say April showers bring May flowers. Here are some stocks that look ready to bloom.,2021-04-30 11:03:00+00:00,https://www.fool.com/investing/2021/04/30/5-top-stocks-to-buy-in-may/?source=iedfolrf0000001,The Motley Fool,0.35,0.5,positive,0.35,False,True,False,False,False,False,False,False,0.0,116,"['ZM', 'NFLX', 'AEO', 'SKX', 'BEP', 'RVLV']",AEO,2021-04-30
3 Momentum Anomaly Stocks to Add Shine to Your Portfolio,"Louisiana-Pacific (LPX), American Eagle (AEO) and Daqo New Energy (DQ) are currently witnessing a short-term pullback in price. So, make sure you take full advantage of it.",2021-05-03 12:53:00+00:00,http://www.zacks.com/stock/news/1493430/3-momentum-anomaly-stocks-to-add-shine-to-your-portfolio?cid=CS-ZC-FT-analyst_blog|rw-1493430,Zacks Investment Research,0.19727272727272727,0.4586868686868687,positive,0.19727272727272727,False,False,False,False,False,False,False,False,0.0,230,"['LPX', 'AEO', 'DQ']",AEO,2021-05-03
Wall Street Breakfast: Value Over Growth,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-05-04 11:13:24+00:00,https://seekingalpha.com/article/4423952-wall-street-breakfast-value-over-growth?source=feed,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,179,"['BRK.B', 'WM', 'CAT', 'CNI', 'WMT', 'ECL', 'CCI', 'FDX', 'UPS', 'SDGR', 'KOF', 'VZ', 'APO', 'TSN', 'BYND', 'KR', 'AAPL', 'UAA', 'DD', 'GPS', 'M', 'DDS', 'URBN', 'AEO', 'JWN', 'KSS', 'JPM', 'C', 'BAC', 'WFC', 'MSFT', 'EPD', 'OHI', 'ON', 'O', 'BA', 'DAL', 'PFE', 'BNTX', 'MRNA', 'JNJ']",AEO,2021-05-04
"Wayfair (W) Q1 Earnings Surpass Estimates, Revenues Jump Y/Y",Wayfair's (W) first-quarter 2021 results benefit from strong acceleration in repeat customer orders and growing international customer base.,2021-05-07 13:50:00+00:00,http://www.zacks.com/stock/news/1516190/wayfair-w-q1-earnings-surpass-estimates-revenues-jump-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1516190,Zacks Investment Research,-0.12222222222222225,0.5777777777777778,negative,0.12222222222222225,True,False,False,False,False,False,False,False,0.0,202,"['FL', 'AEO', 'W', 'LB']",AEO,2021-05-07
"TripAdvisor (TRIP) Q1 Earnings Miss Mark, Revenues Fall Y/Y","TripAdvisor's (TRIP) first-quarter 2021 results reflect improved execution and cost-reduction efforts. However, impacts of the COVID-19 pandemic are concerning.",2021-05-07 13:55:00+00:00,http://www.zacks.com/stock/news/1516213/tripadvisor-trip-q1-earnings-miss-mark-revenues-fall-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1516213,Zacks Investment Research,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,221,"['FL', 'AEO', 'TRIP', 'LB']",AEO,2021-05-07
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-05-09 11:25:46+00:00,https://seekingalpha.com/article/4426388-wall-street-breakfast-week-ahead?source=feed,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['HBI', 'NLOK', 'SWK', 'TSLA', 'TSN', 'JCOM', 'DUK', 'WKHS', 'MAR', 'BNTX', 'OXY', 'IMOS', 'EA', 'U', 'KGC', 'WEN', 'DOX', 'BABA', 'YETI', 'DIS', 'GOOS', 'DASH', 'XPEV', 'FLGC', 'SMWB', 'INVO', 'APP', 'TSP', 'ALKT', 'KRT', 'EBET', 'WNC', 'STAR', 'ASH', 'NOC', 'RE', 'TLND', 'HRTX', 'APLS', 'BC', 'CRM', 'ABT', 'FB', 'MA', 'JWN', 'MAT', 'UBER', 'LYFT', 'STX', 'AEO', 'NKE', 'RVLV', 'TJX', 'FCX', 'SCCO', 'COPX', 'CPER']",AEO,2021-05-09
