title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Factors Setting the Tone for Hasbro's (HAS) Q1 Earnings,"Hasbro's (HAS) first-quarter 2021 results likely to have benefited from Wizards of the Coast table-top gaming, digital gaming and entertainment offerings.",2021-04-23 14:53:00+00:00,http://www.zacks.com/stock/news/1441838/factors-setting-the-tone-for-hasbros-has-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1441838,Zacks Investment Research,0.0,0.5,neutral,0.0,True,False,False,False,False,False,False,False,0.0,211,"['CHH', 'HAS', 'CZR', 'BYD']",CHH,2021-04-23
Factors Setting the Tone for MGM Resorts' (MGM) Q1 Earnings,MGM Resorts (MGM) first-quarter results are likely to reflect negative impacts of low visitation due to the pandemic.,2021-04-26 12:25:00+00:00,http://www.zacks.com/stock/news/1455912/factors-setting-the-tone-for-mgm-resorts-mgm-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1455912,Zacks Investment Research,-0.10625,0.51875,negative,0.10625,True,False,False,False,False,False,False,False,0.0,178,"['MGM', 'CHH', 'CZR', 'BYD']",CHH,2021-04-26
What's in the Cards for Royal Caribbean's (RCL) Q1 Earnings?,Royal Caribbean's (RCL) first-quarter top line is likely to reflect lower passenger ticket revenues due to limited cruise operations stemming from the pandemic.,2021-04-27 14:11:00+00:00,http://www.zacks.com/stock/news/1461728/whats-in-the-cards-for-royal-caribbeans-rcl-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1461728,Zacks Investment Research,0.07589285714285715,0.5044642857142857,neutral,0.07589285714285715,True,False,False,False,False,False,False,False,0.0,222,"['CHH', 'RCL', 'CZR', 'PLNT']",CHH,2021-04-27
Skillz (SKLZ) To Report Q1 Earnings: What's in The Offing?,"Skillz (SKLZ) first-quarter 2020 performance is likely to reflect improvement in monthly active users, average revenue per user (ARPU) and paying monthly active users.",2021-04-29 13:12:00+00:00,http://www.zacks.com/stock/news/1472823/skillz-sklz-to-report-q1-earnings-whats-in-the-offing?cid=CS-ZC-FT-analyst_blog|earnings_preview-1472823,Zacks Investment Research,-0.10416666666666666,0.65,negative,0.10416666666666666,True,False,False,False,False,False,False,False,0.0,227,"['CHH', 'H', 'CZR', 'SKLZ']",CHH,2021-04-29
Factors Setting the Tone for Hyatt's (H) Earnings in Q1,Hyatt's (H) first-quarter results are likely to reflect dismal performance of Management and franchise fees and Owned and leased hotels revenues.,2021-04-29 13:14:00+00:00,http://www.zacks.com/stock/news/1473167/factors-setting-the-tone-for-hyatts-h-earnings-in-q1?cid=CS-ZC-FT-analyst_blog|earnings_preview-1473167,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,True,False,0.0,202,"['CHH', 'H', 'CZR', 'BYD']",CHH,2021-04-29
Factors Setting the Tone for Camping World (CWH) Q1 Earnings,"Camping World (CWH) first-quarter results are likely to reflect robust Finance and insurance, New vehicles and Used vehicles revenues.",2021-04-30 14:34:00+00:00,http://www.zacks.com/stock/news/1479305/factors-setting-the-tone-for-camping-world-cwh-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1479305,Zacks Investment Research,0.06818181818181818,0.7272727272727273,neutral,0.06818181818181818,True,False,False,False,False,False,False,False,0.0,196,"['CHH', 'H', 'CWH', 'CZR']",CHH,2021-04-30
Corsair (CRSR) To Report Q1 Earnings: What's in The Offing?,Corsair (CRSR) first-quarter 2021 performance is likely to reflect increased demand for gear upgrades in terms of PC gaming activities and video streaming setups,2021-04-30 14:55:00+00:00,http://www.zacks.com/stock/news/1479107/corsair-crsr-to-report-q1-earnings-whats-in-the-offing?cid=CS-ZC-FT-analyst_blog|earnings_preview-1479107,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,222,"['CHH', 'H', 'CZR', 'CRSR']",CHH,2021-04-30
Hilton (HLT) to Report Q1 Earnings: What's in the Cards?,Hilton (HLT) first-quarter 2021 performance is likely to reflect stalled recoveries in Europe and Asia Pacific region.,2021-05-03 14:23:00+00:00,http://www.zacks.com/stock/news/1493630/hilton-hlt-to-report-q1-earnings-whats-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1493630,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,176,"['CHH', 'H', 'CZR', 'HLT']",CHH,2021-05-03
Dismal Visitation to Hurt Wynn Resorts' (WYNN) Q1 Earnings,Wynn Resorts (WYNN) first-quarter results are likely to reflect the impact of the coronavirus pandemic on its operations.,2021-05-03 16:36:00+00:00,http://www.zacks.com/stock/news/1494203/dismal-visitation-to-hurt-wynn-resorts-wynn-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1494203,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,181,"['CHH', 'WYNN', 'CZR', 'BYD']",CHH,2021-05-03
Choice Hotels (CHH) Expected to Beat Earnings Estimates: Should You Buy?,Choice Hotels (CHH) possesses the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-05-03 19:01:45+00:00,http://www.zacks.com/stock/news/1494795/choice-hotels-chh-expected-to-beat-earnings-estimates-should-you-buy?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_9-1494795,Zacks Investment Research,0.03714285714285714,0.7871428571428571,neutral,0.03714285714285714,True,True,False,False,False,False,False,False,0.0,243,['CHH'],CHH,2021-05-03
Peloton (PTON) to Report Q3 Earnings: What's in the Cards?,Peloton's (PTON) fiscal third-quarter performance is likely to reflect increased production and expedited transportation of its Bike and Bike+ products.,2021-05-04 13:03:00+00:00,http://www.zacks.com/stock/news/1498596/peloton-pton-to-report-q3-earnings-whats-in-the-cards?cid=CS-ZC-FT-analyst_blog|earnings_preview-1498596,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,True,False,False,False,0.0,212,"['CHH', 'FOXA', 'AGS', 'PTON']",CHH,2021-05-04
What's in Store for Penn National Gaming (PENN) Q1 Earnings?,Penn National Gaming (PENN) first-quarter 2021 results are likely to reflect robust demand for gaming revenues.,2021-05-04 13:05:00+00:00,http://www.zacks.com/stock/news/1498914/whats-in-store-for-penn-national-gaming-penn-q1-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1498914,Zacks Investment Research,0.0,1.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,173,"['CHH', 'PENN', 'FOXA', 'AGS']",CHH,2021-05-04
Factors Setting the Tone for Vista Outdoor (VSTO) Q4 Earnings,"Vista Outdoor (VSTO) fourth-quarter results are likely to reflect increased demand in commercial ammunitions, cycling, outdoor cooking categories and firearms.",2021-05-04 13:09:00+00:00,http://www.zacks.com/stock/news/1498930/factors-setting-the-tone-for-vista-outdoor-vsto-q4-earnings?cid=CS-ZC-FT-analyst_blog|earnings_preview-1498930,Zacks Investment Research,0.0,0.5,neutral,0.0,True,False,False,False,False,False,False,False,0.0,222,"['CHH', 'VSTO', 'FOXA', 'AGS']",CHH,2021-05-04
Norwegian Cruise (NCLH) to Post Q1 Earnings: What's in Store?,Norwegian Cruise's (NCLH) first-quarter performance is likely to have been affected by pandemic-induced lockdowns and travel restrictions along with closure of key ports.,2021-05-04 13:52:00+00:00,http://www.zacks.com/stock/news/1498864/norwegian-cruise-nclh-to-post-q1-earnings-whats-in-store?cid=CS-ZC-FT-analyst_blog|earnings_preview-1498864,Zacks Investment Research,0.0,0.5,neutral,0.0,True,False,False,False,False,False,False,False,0.0,233,"['CHH', 'NCLH', 'FOXA', 'AGS']",CHH,2021-05-04
"Hilton (HLT) Q1 Earnings & Revenues Miss Estimates, Stock Down",Hilton (HLT) first-quarter 2021 results hurt by strict travel restrictions stemming from rise in COVID-19 cases particularly across Europe and Asia Pacific region.,2021-05-05 12:45:00+00:00,http://www.zacks.com/stock/news/1504392/hilton-hlt-q1-earnings-revenues-miss-estimates-stock-down?cid=CS-ZC-FT-analyst_blog|earnings_article-1504392,Zacks Investment Research,0.005555555555555536,0.3111111111111111,neutral,0.005555555555555536,True,False,False,False,False,False,False,False,0.0,227,"['MAR', 'CHH', 'H', 'HLT']",CHH,2021-05-05
"Hyatt (H) Q1 Earnings & Revenues Miss Estimates, Fall Y/Y",Hyatt's (H) first-quarter 2021 results reflects sequential improvement in RevPAR owing to easing of travel restrictions in certain markets.,2021-05-05 13:50:00+00:00,http://www.zacks.com/stock/news/1504420/hyatt-h-q1-earnings-revenues-miss-estimates-fall-y-y?cid=CS-ZC-FT-analyst_blog|earnings_article-1504420,Zacks Investment Research,0.21428571428571427,0.5714285714285714,positive,0.21428571428571427,True,False,False,False,False,False,False,False,0.0,198,"['CHH', 'H', 'VAC', 'HLT']",CHH,2021-05-05
