title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
Wall Street Breakfast: The Week Ahead,"Our weekend preview of earnings reports, conference presentations, investor days, IPOs, FDA decisions, Barron's mentions and other key events that could impact stocks.",2021-05-02 11:14:11+00:00,https://seekingalpha.com/article/4423506-wall-street-breakfast-week-ahead?source=feed,Seeking Alpha,-0.0625,0.6875,neutral,0.0625,True,False,True,False,False,False,False,False,0.0,206,"['SYY', 'CBT', 'MRK', 'DELL', 'KMX', 'UNP', 'DISH', 'XPO', 'CVS', 'PFE', 'DD', 'TMUS', 'CZR', 'ZG', 'UAA', 'ATVI', 'GM', 'MET', 'ZNGA', 'ALL', 'UBER', 'RKT', 'CAH', 'VIAC', 'MCK', 'SQ', 'CI', 'ENB', 'UTME', 'VECT', 'RPHM', 'GATO', 'VSH', 'RGR', 'CNO', 'MSA', 'CPK', 'HPE', 'EXPD', 'POOL', 'PEP', 'ORBC', 'MYGN', 'ARKX', 'VXRT', 'MRNA', 'NVAX', 'BNTX', 'CP', 'CNI', 'KSU', 'BYND', 'AIMC', 'PGR']",CPK,2021-05-02
"Big Increases Expected In May From Northrop Grumman, PetMed Express","As expected, Apple came in with a nice dividend increase on the last day in April.",2021-05-03 04:03:42+00:00,https://seekingalpha.com/article/4423659-big-increases-expected-in-may-from-northrop-grumman-petmed-express?source=feed,Seeking Alpha,0.07999999999999999,0.3933333333333333,neutral,0.07999999999999999,False,False,False,False,False,True,False,False,0.0,151,"['AAPL', 'AMP', 'AWK', 'CAH', 'CNO', 'CPK', 'CVX', 'EXPD', 'FDS', 'FFIN', 'GWW', 'IBM', 'IHC', 'JNJ', 'LAZ', 'LBAI', 'LEG', 'MET', 'MSA', 'NHC', 'NOC', 'PBCT', 'PETS', 'POOL', 'POR', 'RLI', 'SO', 'SON', 'TRV', 'TTEK', 'UGI', 'WEYS', 'XOM']",CPK,2021-05-03
Chesapeake Utilities (CPK) Surpasses Q1 Earnings and Revenue Estimates,"Chesapeake Utilities (CPK) delivered earnings and revenue surprises of 7.10% and 9.25%, respectively, for the quarter ended March 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-05-04 22:15:10+00:00,http://www.zacks.com/stock/news/1500960/chesapeake-utilities-cpk-surpasses-q1-earnings-and-revenue-estimates?cid=CS-ZC-FT-tale_of_the_tape|yseop_template_4-1500960,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,267,['CPK'],CPK,2021-05-04
Chesapeake Utilities Corp (CPK) Q1 2021 Earnings Call Transcript,"CPK earnings call for the period ending March 31, 2021.",2021-05-06 00:31:02+00:00,https://www.fool.com/earnings/call-transcripts/2021/05/05/chesapeake-utilities-corp-cpk-q1-2021-earnings-cal/?source=iedfolrf0000001,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,121,['CPK'],CPK,2021-05-06
Chesapeake Utilities (CPK) Reports Next Week: Wall Street Expects Earnings Growth,Chesapeake Utilities (CPK) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-07-28 19:03:55+00:00,https://www.zacks.com/stock/news/1769789/chesapeake-utilities-cpk-reports-next-week-wall-street-expects-earnings-growth,Zacks Investment Research,0.05714285714285714,0.7071428571428571,neutral,0.05714285714285714,True,False,False,False,False,False,False,False,0.0,265,['CPK'],CPK,2021-07-28
Chesapeake Utilities (CPK) Surpasses Q2 Earnings Estimates,"Chesapeake Utilities (CPK) delivered earnings and revenue surprises of 4.00% and -5.30%, respectively, for the quarter ended June 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-08-04 23:35:08+00:00,https://www.zacks.com/stock/news/1774794/chesapeake-utilities-cpk-surpasses-q2-earnings-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,255,['CPK'],CPK,2021-08-04
Chesapeake Utilities Corporation (CPK) Q2 2021 Earnings Call Transcript,"CPK earnings call for the period ending June 30, 2021.",2021-08-06 17:00:34+00:00,https://www.fool.com/earnings/call-transcripts/2021/08/06/chesapeake-utilities-corporation-cpk-q2-2021-earni/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,127,['CPK'],CPK,2021-08-06
"Dividend Champion, Contender, And Challenger Highlights: Week Of October 3","A weekly summary of dividend activity for Dividend Champions, Contenders, and Challengers. Companies which changed their dividends. Companies with upcoming ex-dividend dates.",2021-10-03 04:29:14+00:00,https://seekingalpha.com/article/4458162-dividend-champion-contender-and-challenger-highlights-week-of-october-3,Seeking Alpha,0.0,0.0,neutral,0.0,False,False,False,False,False,True,False,False,0.0,250,"['ABM', 'AL', 'ALRS', 'AVNT', 'AXP', 'BBY', 'BR', 'BRC', 'CB', 'CBU', 'CMCSA', 'CONE', 'CPK', 'CULP', 'EBSB', 'ELS', 'EVBN', 'FCPT', 'FLIC', 'FNLC', 'FSFG', 'FSV', 'GBCI', 'GD', 'GFED', 'GNTX', 'GTY', 'HBNC', 'HCKT', 'HLNE', 'HON', 'HPQ', 'HTA', 'HURC', 'IFF', 'INDB', 'JJSF', 'JOUT', 'JPM', 'LNC', 'MA', 'MKC', 'MKC.V', 'MMC', 'MRK', 'NTAP', 'OGE', 'ORCL', 'QSR', 'REG', 'ROP', 'RVSB', 'SBUX', 'SFBS', 'SSD', 'TR', 'TTC', 'TTEC', 'UCBI', 'UCBIO', 'UDR', 'UTMD', 'UVV', 'VZ', 'WASH', 'XRAY']",CPK,2021-10-03
Analysts Estimate Chesapeake Utilities (CPK) to Report a Decline in Earnings: What to Look Out for,Chesapeake Utilities (CPK) doesn't possess the right combination of the two key ingredients for a likely earnings beat in its upcoming report. Get prepared with the key expectations.,2021-10-27 19:03:10+00:00,https://www.zacks.com/stock/news/1817820/analysts-estimate-chesapeake-utilities-cpk-to-report-a-decline-in-earnings-what-to-look-out-for,Zacks Investment Research,0.07142857142857142,0.8839285714285714,neutral,0.07142857142857142,True,False,False,False,False,False,False,False,0.0,282,['CPK'],CPK,2021-10-27
Chesapeake Utilities (CPK) Tops Q3 Earnings Estimates,"Chesapeake Utilities (CPK) delivered earnings and revenue surprises of 31.48% and -5.85%, respectively, for the quarter ended September 2021. Do the numbers hold clues to what lies ahead for the stock?",2021-11-04 00:15:05+00:00,https://www.zacks.com/stock/news/1823234/chesapeake-utilities-cpk-tops-q3-earnings-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,256,['CPK'],CPK,2021-11-04
