title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
: Demand may exceed supply as CEO of one of the world’s biggest hotel groups sees ‘surge’ in bookings,"Hotel and airline industry will begin to bounce back by second half of 2021,  according to the chief executive of InterContinental Hotels.",2021-04-24 19:14:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3A6C82979DE%7D&siteid=rss&rss=1,MarketWatch,-0.05555555555555555,0.05555555555555555,neutral,0.05555555555555555,False,False,True,False,False,False,True,False,0.0,241,"['IHG', 'H', 'AC', 'MAR', 'HLT', 'DAL', 'AAL', 'LUV']",AC,2021-04-24
Europe Markets: Airline stocks gain altitude as Europe plans to welcome more overseas tourists,"Airline stocks flew higher on Tuesday, as the European Union moved to welcome foreign tourists to the region, a sign that more normal travel and tourism conditions can resume as COVID-19 vaccinations become more widespread.",2021-05-04 09:26:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D3E5FF291AD8%7D&siteid=rss&rss=1,MarketWatch,0.375,0.5083333333333333,positive,0.375,False,False,False,False,False,False,False,False,0.0,319,"['IAG', 'EZJ', 'AC', 'IHG', 'PFE', 'MRNA', 'AZN', 'JNJ', 'TWTR', 'DAX', 'RIO', 'BHP', 'AAL', 'BP', 'TOT']",AC,2021-05-04
"Earnings Scheduled For May 7, 2021","Companies Reporting Before The Bell
• Cronos Group (NASDAQ:CRON) is likely to report earnings for its first quarter.
• Eaton Vance Municipal (NYSE:ETX) is expected to report earnings for its first quarter.
• Ocugen (NASDAQ:OCGN) is estimated to report quarterly earnings at $0.49 per share on revenue of $78.10 million.
• Sprott (NYSE:SII) is expected to report quarterly earnings at $0.31 per share on revenue of $32.20 million.
• Construction Partners (NASDAQ:ROAD) is projected to report quarterly earnings at $0.08 per share on revenue of $201.03 million.
• Hudson Global (NASDAQ:HSON) is projected to report quarterly loss at $0.04 per share on revenue of $29.50 million.
• Mednax (NYSE:MD) is estimated to report quarterly earnings at $0.13 per share on revenue of $424.13 million.
• Cenovus Energy (NYSE:CVE) is expected to report quarterly loss at $0.02 per share on revenue of $3.57 billion.
• Brookfield Property REIT (NASDAQ:BPYU) is estimated to report earnings for its first quarter.
• Overseas Shipholding Gr (NYSE:OSG) is projected to report earnings for its first quarter.
• Liberty Formula One Group (NASDAQ:FWONK) is estimated to report quarterly loss at $0.43 per share on revenue of $130.67 million.
• Liberty SiriusXM Gr (NASDAQ:LSXMA) is estimated to report quarterly earnings at $0.67 per share on revenue of $1.98 billion.
• AerSale (NASDAQ:ASLE) is estimated to report quarterly loss at $0.05 per share on revenue of $59.20 million.
• TELUS International (NYSE:TIXT) is projected to report quarterly earnings at $0.20 per share on revenue of $500.30 million.
• Enerplus (NYSE:ERF) is likely to report quarterly earnings at $0.14 per share on revenue of $169.20 million.
• Gatos Silver (NYSE:GATO) is estimated to report earnings for its first quarter.
• Liberty SiriusXM Gr (NASDAQ:LSXMK) is estimated to report quarterly earnings at $0.10 per share on revenue of $2.06 billion.
• TC Energy (NYSE:TRP) is estimated to report quarterly earnings at $1.11 per share on revenue of $3.54 billion.
• DraftKings (NASDAQ:DKNG) is expected to report quarterly loss at $0.41 per share on revenue of $230.68 million.
• Liberty Formula One Group (NASDAQ:FWONA) is estimated to report quarterly loss at $0.41 per share on revenue of $130.67 million.
• Nikola (NASDAQ:NKLA) is likely to report earnings for its first quarter.
• Meridian Bioscience (NASDAQ:VIVO) is likely to report quarterly earnings at $0.48 per share on revenue of $84.48 million.
• Northern Oil & Gas (AMEX:NOG) is projected to report quarterly earnings at $0.60 per share on revenue of $135.87 million.
• Tecnoglass (NASDAQ:TGLS) is likely to report quarterly earnings at $0.22 per share on revenue of $98.39 million.
• Spire (NYSE:SR) is estimated to report quarterly earnings at $3.08 per share on revenue of $773.16 million.
• Plymouth Industrial REIT (NYSE:PLYM) is estimated to report quarterly loss at $0.25 per share on revenue of $30.58 million.
• ModivCare (NASDAQ:MODV) is likely to report quarterly earnings at $1.60 per share on revenue of $483.06 million.
• Marcus & Millichap (NYSE:MMI) is projected to report quarterly earnings at $0.19 per share on revenue of $172.61 million.
• Hyatt Hotels (NYSE:H) is ...Full story available on Benzinga.com",2021-05-07 08:12:39+00:00,https://www.benzinga.com/news/earnings/21/05/21007713/earnings-scheduled-for-may-7-2021,Benzinga,0.07894736842105263,0.5263157894736842,neutral,0.07894736842105263,True,False,False,False,False,False,False,False,0.0,3277,"['LXP', 'CRON', 'NOG', 'STNG', 'AXL', 'PLYM', 'MD', 'QRTEA', 'RMR', 'AMCX', 'CCJ', 'UNVR', 'HCHC', 'MGI', 'ROAD', 'SVC', 'ELAN', 'CI', 'DS', 'NPO', 'AVNS', 'BWEN', 'HSON', 'CNK', 'LTRPA', 'OSG', 'OCGN', 'CLMT', 'AMRX', 'ENB', 'AC', 'SII', 'BPYU', 'CNTY', 'SMLP', 'ERF', 'LBRDA', 'SR', 'DKNG', 'DXPE', 'TILE', 'FF', 'LBRDK', 'SSP', 'NKLA', 'INTT', 'ATH', 'FLR', 'GCI', 'ETX', 'TRP', 'GATO', 'JOUT', 'BPY', 'GLP', 'LSXMA', 'VRS', 'ASLE', 'PFSW', 'ESNT', 'GVA', 'BATRA', 'VTR', 'MODV', 'RUTH', 'MMI', 'HE', 'LSXMK', 'H', 'TIXT', 'SIFY', 'ANIP', 'IEP', 'BATRK', 'CVE', 'VIVO', 'IBP', 'ITT', 'FWONK', 'AUD', 'ZEUS', 'CIO', 'KOP', 'FWONA', 'SPB', 'ABR', 'RDUS', 'LEA', 'DSKE', 'NFE', 'AP', 'TGLS']",AC,2021-05-07
"Europe Markets: Stocks fall across Europe and Nasdaq futures tumble 1%, as inflation concerns and selloff sentiment spread","Stocks fell across Europe on Tuesday, as rising U.S. inflation concerns and a tech selloff on the other side of the Atlantic on Monday spooked investor sentiment.",2021-05-11 09:19:00+00:00,http://www.marketwatch.com/news/story.asp?guid=%7B21005575-02D4-D4B5-4572-D40A293822DD%7D&siteid=rss&rss=1,MarketWatch,-0.125,0.375,negative,0.125,False,False,False,False,False,False,False,False,0.0,286,"['DAX', 'COMP', 'RIO', 'AAL', 'BHP', 'BP', 'TOT', 'MT', 'ASML', 'SAP', 'IAG', 'EZJ', 'IHG', 'AC', 'THG']",AC,2021-05-11
"Opinion: Chocolate, champagne, wine, steak, travel discounts — just some of the perks of being a shareholder",These companies give shareholders goodies to say 'thank you' for investing.,2021-08-21 13:42:00+00:00,https://www.marketwatch.com/story/chocolate-champagne-wine-steak-travel-discounts-just-some-of-the-perks-of-being-a-shareholder-11629345015,MarketWatch,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,185,"['MC', 'WVVI', 'CCL', 'RCL', 'AC', 'IHG', 'F', 'KMB', 'BAC', 'BRK.A', 'BRK.B', 'TR', 'DIS', 'CHDN', 'AMC', 'AFL', 'SJM', 'OR', 'AI']",AC,2021-08-21
Airline ETF heads for largest weekly decline since start of pandemic in 2020,"A popular way to gain exposure to the airline industry was on track for its worst weekly skid since April of 2020, FactSet data show.",2022-03-04 16:32:00+00:00,https://www.marketwatch.com/story/airline-etf-heads-for-largest-weekly-decline-since-start-of-pandemic-in-2020-11646411536,MarketWatch,-0.2,0.95,negative,0.2,False,False,False,False,False,False,False,False,0.0,211,"['JETS', 'DAL', 'UAL', 'LUV', 'AAL', 'AC']",AC,2022-03-04
Air Canada to cancel about 10% of flights this summer due to industry strain,"Canada's biggest air carrier, Air Canada, said late Wednesday that it will be forced to make ""meaningful"" cancellations to flights in July and August -- the first busy summer season since the pandemic -- due to strains in the global aviation industry.",2022-06-30 01:36:00+00:00,https://www.marketwatch.com/story/air-canada-to-make-meaningful-reductions-in-capacity-due-to-industry-constraints-271656551197,MarketWatch,-1.0408340855860843e-17,0.33541666666666664,neutral,1.0408340855860843e-17,False,False,False,False,False,False,False,False,0.0,329,['AC'],AC,2022-06-30
"Airlines faced a difficult Christmas of storms and sickness, says Cowen: Who fared best and worst?",The Christmas travel season has been a tough one for the airline industry with extreme weather and employee sickness causing disruption for travelers.,2022-12-27 13:46:00+00:00,https://www.marketwatch.com/story/airlines-faced-a-difficult-christmas-of-storms-and-sickness-says-cowen-who-fared-best-and-worst-11672148788,MarketWatch,-0.20277777777777778,0.8266666666666665,negative,0.20277777777777778,False,False,False,False,False,False,False,False,0.0,250,"['LUV', 'DAL', 'JETS', 'UAL', 'CPA', 'ALK', 'SNCY', 'ULCC', 'AC', 'VLRS', 'RYAAY']",AC,2022-12-27
Can Last Peak Week of Q1 Earnings Push Growth Into Positive Territory?,,2023-05-08 15:59:00+00:00,https://www.investing.com/analysis/can-last-peak-week-of-q1-earnings-push-growth-into-positive-territory-200637902,Investing.com,0.11363636363636363,0.30606060606060603,positive,0.11363636363636363,True,False,False,False,False,False,False,False,0.0,72,"['AC', 'AAPL', 'MGM', 'SBUX', 'F', 'PFE', 'PKI', 'AC', 'AC', 'AAL', 'TWLO', 'ABNB', 'UAA', 'WRBY', 'TPR', 'DDS', 'DIS']",AC,2023-05-08
Associated Capital Group Sets Record Date for 2023 Shareholder Designated Charitable Contribution,"GREENWICH, Conn., Aug.  22, 2023  (GLOBE NEWSWIRE) -- Associated Capital Group, Inc. (NYSE: AC) has set October 15, 2023 as the record date for its 2023 Shareholder Designated Charitable Contribution (“SDCC”). AC previously announced the approval of a $0.20 per share SDCC for all registered Class A and Class B shareholders. To be eligible, shareholders will have until October 15, 2023 to register shares directly with Computershare, AC’s transfer agent. Shareholders can then designate a 501(c)(3) charitable organization to receive the $0.20 per share SDCC.",2023-08-22 20:15:00+00:00,https://www.globenewswire.com/news-release/2023/08/22/2730005/0/en/Associated-Capital-Group-Sets-Record-Date-for-2023-Shareholder-Designated-Charitable-Contribution.html,GlobeNewswire Inc.,0.3466666666666667,0.5933333333333334,positive,0.3466666666666667,False,False,False,False,False,False,False,False,0.0,660,['AC'],AC,2023-08-22
