title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
11 Information Technology Stocks Moving In Friday's Pre-Market Session,"Gainers

Aeva Technologies (NYSE:AEVA) shares rose 13.59% to $8.02 during Friday's pre-market session. The company's, Q1 earnings came out yesterday.
Veeco Instruments (NASDAQ:VECO) shares increased by 13.38% to $24.99. The market value of their outstanding shares is at $1.2 billion.
Net Element (NASDAQ:NETE) shares rose 11.49% to $10.38. The market value of their outstanding shares is at $54.0 million.
Riot Blockchain (NASDAQ:RIOT) stock rose 10.16% to $24.49. The market value of ...Full story available on Benzinga.com",2021-05-14 12:17:49+00:00,https://www.benzinga.com/pre-market-outlook/21/05/21124871/11-information-technology-stocks-moving-in-fridays-pre-market-session,Benzinga,0.4571428571428572,0.7142857142857143,positive,0.4571428571428572,True,False,False,False,False,False,False,False,0.0,597,"['BSQR', 'SEAC', 'VECO', 'PLT', 'LEDS', 'NETE', 'MARA', 'JG', 'RIOT', 'AEVA', 'OUST']",AEVA,2021-05-14
54 Stocks Moving In Friday's Mid-Day Session,"Gainers

HyreCar Inc. (NASDAQ: HYRE) shares jumped 44.5% to $12.93 after the company reported Q1 results.
MoSys, Inc. (NASDAQ: MOSY) shares jumped 39.8% to $4.04. MoSys, last week, reported a loss for its first quarter.
SemiLEDs Corporation (NASDAQ: LEDS) gained 26% to $7.87 after dropping over 15% on Thursday.
Renren Inc (NYSE: RENN) gained 25.5% to $11.08.
Kubient Inc (NASDAQ: KBNT) climbed 24.7% to $5.05. The company recently released Q1 results.
Dillard's, Inc. (NYSE: DDS) gained 23.5% to $125.99 after the company reported Q1 net income of $7.25 per share, versus a year-ago net loss of $6.94 per share. Its sales also jumped to $1.33 billion from $786.70 million.
LifeMD, Inc. (NASDAQ: LFMD) jumped 23.4% to $8.04 after the company reported upbeat quarterly earnings and raised FY21 sales guidance.
Aeva Technologies Inc (NYSE: AEVA) gained 23% to $8.69 after the company reported Q1 earnings results.
DoorDash Inc (NYSE: DASH) climbed 22% to $140.90 after the company reported better-than-expected Q1 sales results.
Marathon Digital Holdings Inc (NASDAQ: MARA) surged 21.9% to $23.97 after dropping 12% on Thursday.
BIOLASE, Inc. (NASDAQ: BIOL) shares climbed 21.5% to $0.7049 after the company reported better-than-expected Q1 sales.
One Stop Systems Inc (NASDAQ: OSS) jumped 21.4% to $5.34 after the company reported better-than-expected Q1 results.
Gevo, Inc. (NASDAQ: GEVO) rose 21.3% to $5.77 after reporting Q1 results.
Elys Game Technology Corp (NASDAQ: ELYS) gained 19.7% to $4.14 following Q1 results.
Vivint Smart Home Inc (NYSE: VVNT) surged 18.9% to $13.94 after the company reported better-than-expected Q1 sales results.
Bionano Genomics, Inc. (NASDAQ: BNGO) gained 18.7% to $5.24 after the company reported better-than-expected Q1 sales.
Braemar Hotels & Resorts (NYSE: BHR) climbed 17.8% to $5.96 after declining around 25% on Thursday.
The9 Limited (NASDAQ: NCTY)shares ...Full story available on Benzinga.com",2021-05-14 16:02:23+00:00,https://www.benzinga.com/news/21/05/21130430/54-stocks-moving-in-fridays-mid-day-session,Benzinga,0.08273809523809524,0.2738095238095238,neutral,0.08273809523809524,True,False,False,False,True,False,False,False,0.0,1984,"['ACY', 'PUBM', 'CRMD', 'HGEN', 'PTE', 'PALI', 'TH', 'RIOT', 'EVOL', 'LHDX', 'IZEA', 'SLDB', 'XSPA', 'MOSY', 'LFMD', 'BIOL', 'ELOX', 'NCTY', 'AEVA', 'BHR', 'SPRT', 'FTCH', 'HYRE', 'STEM', 'MARA', 'BNGO', 'VOXX', 'DMTK', 'VVNT', 'DDS', 'STKS', 'ALTG', 'DIS', 'OSS', 'OBLG', 'FSR', 'ACB', 'VRM', 'PLT', 'MKGI', 'KBNT', 'LEDS', 'MAX', 'AMWL', 'GEVO', 'LMB', 'ELYS', 'MX', 'JILL', 'DASH', 'RENN', 'CODX']",AEVA,2021-05-14
Why Aeva Technologies Stock Is Higher Today,The lidar start-up made good progress in the first quarter.,2021-05-14 16:51:14+00:00,https://www.fool.com/investing/2021/05/14/why-aeva-technologies-stock-is-higher-today/?source=iedfolrf0000001,The Motley Fool,0.39999999999999997,0.4777777777777778,positive,0.39999999999999997,False,False,False,False,False,False,False,False,0.0,104,"['AEVA', 'TSP']",AEVA,2021-05-14
74 Biggest Movers From Friday,"Gainers

MoSys, Inc. (NASDAQ: MOSY) shares climbed 50.5% to settle at $4.35 on Friday. MoSys, last week, reported a loss for its first quarter.
HyreCar Inc. (NASDAQ: HYRE) shares surged 44.6% to close at $12.91 after the company reported Q1 results.
Renren Inc (NYSE: RENN) jumped 36.8% to close at $12.00.
LifeMD, Inc. (NASDAQ: LFMD) surged 34.9% to close at $8.78 after the company reported upbeat quarterly earnings and raised FY21 sales guidance.
SemiLEDs Corporation (NASDAQ: LEDS) rose 34.1% to close at $8.38 after dropping over 15% on Thursday.
Elys Game Technology Corp (NASDAQ: ELYS) climbed 27.5% to close at $4.41 following Q1 results.
Gevo, Inc. (NASDAQ: GEVO) gained 24% to close at $5.90 after reporting Q1 results.
One Stop Systems Inc (NASDAQ: OSS) gained 23.4% to close at $5.43 after the company reported better-than-expected Q1 results.
Upstart Holdings, Inc. (NASDAQ: UPST) surged 23% to settle at $103.36.
Atossa Therapeutics, Inc. (NASDAQ: ATOS) gained 22.9% to close at $2.90 after the company reported Q1 EPS results.
Dillard's, Inc. (NYSE: DDS) climbed 22.8% to settle at $125.35 after the company reported Q1 net income of $7.25 per share, versus a year-ago net loss of $6.94 per share. Its sales also jumped to $1.33 billion from $786.70 million.
Cricut, Inc. (NASDAQ: CRCT) gained 22.7% to close at $24.54 following upbeat quarterly earninsg.
Bionano Genomics, Inc. (NASDAQ: BNGO) rose 22.5% to close at $5.40 after the company reported better-than-expected Q1 sales.
DoorDash Inc (NYSE: DASH) gained 22.4% to close at $141.30 after the company reported better-than-expected Q1 sales results.
Intrusion Inc. (NASDAQ: INTZ) surged 21.9% to settle at $10.84.
Ideal Power Inc. (NASDAQ: IPWR) rose 21.4% to close at $8.73 after reporting a narrower quarterly loss.
J.Jill Inc (NYSE: JILL) jumped 21.3% to close at $12.30.
Shineco, Inc. (NASDAQ: TYHT) gained 21.3% to settle at $18.58.
ContextLogic Inc. (NASDAQ: WISH) surged 20.7% to close at $9.79. The company, last week, released quarterly results.
BIOLASE, Inc. (NASDAQ: BIOL) shares jumped 20.5% to settle at $0.6991 after the company reported better-than-expected Q1 sales.
Target Hospitality Corp. (NYSE: TH) rose 20.4% to close at $2.77.
Vivint Smart Home Inc (NYSE: VVNT) climbed 19.5% to settle at $14.01 after the company reported better-than-expected Q1 sales results.
GTY Technology Holdings Inc. (NASDAQ: GTYH) gained 19.3% to close at $6.19 after the company better-than-expected Q1 sales results.
Atea Pharmaceuticals, Inc. (NASDAQ: AVIR) surged 19.2% ...Full story available on Benzinga.com",2021-05-17 09:21:25+00:00,https://www.benzinga.com/news/21/05/21146686/74-biggest-movers-from-friday,Benzinga,0.2509523809523809,0.46063492063492073,positive,0.2509523809523809,True,False,False,False,True,False,False,False,0.0,2613,"['AMWL', 'HRTX', 'ACY', 'HGEN', 'BTX', 'ELYS', 'MDLY', 'BGI', 'RIOT', 'GEVO', 'ATNF', 'AEYE', 'PTE', 'SLDB', 'RENN', 'DASH', 'STKS', 'EVOL', 'XSPA', 'CRMD', 'SCPS', 'OSS', 'HALL', 'ELOX', 'TH', 'PALI', 'ACB', 'MOSY', 'SLGL', 'IZEA', 'BIOL', 'LHDX', 'MKGI', 'NCTY', 'BHR', 'UPST', 'LFMD', 'MAX', 'SPRT', 'HYRE', 'INTZ', 'AEVA', 'WISH', 'STEM', 'BNGO', 'NETE', 'CRCT', 'AVIR', 'VOXX', 'VVNT', 'FTCH', 'WDH', 'CHS', 'ALTG', 'CPSH', 'TYHT', 'DDS', 'OBLG', 'ATOS', 'LMB', 'FSR', 'VRM', 'MARA', 'JILL', 'GEG', 'NKTX', 'IPWR', 'GTYH', 'PLT', 'KBNT', 'DMTK', 'CODX', 'LEDS', 'VTRU']",AEVA,2021-05-17
Wall Street Breakfast: The Week Ahead,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-06-20 11:03:48+00:00,https://seekingalpha.com/article/4435327-wall-street-breakfast-week-ahead,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,176,"['LEN', 'KR', 'MSFT', 'RIDE', 'AAPL', 'AMZN', 'FB', 'GOOG', 'FDX', 'NKE', 'LMNX', 'KFY', 'INFO', 'WGO', 'SCS', 'KBH', 'ACN', 'CCL', 'RAD', 'DRI', 'BB', 'KMX', 'FLYW', 'FIGS', 'OMIC', 'DAWN', 'ZIVO', 'CNTA', 'IKT', 'WMPN', 'COHR', 'IIVI', 'UFS', 'INCY', 'ABBV', 'PMT', 'MATX', 'EDRY', 'SB', 'SHIP', 'KEX', 'INSW', 'TNK', 'GLNG', 'GRIN', 'UAA', 'MAT', 'COLM', 'CHWY', 'TGT', 'WMT', 'BBY', 'INTC', 'HPE', 'CLNY', 'UNFI', 'NTNX', 'FSLY', 'DELL', 'ABNB', 'JD', 'LYFT', 'APTV', 'GM', 'LAZR', 'AEVA', 'OUST', 'VLDR', 'TSLA', 'SIX']",AEVA,2021-06-20
One In Five Russell 3000 Additions Went Public Via SPAC: What Investors Should Know,"One of the biggest events for investors last week was the new additions to the Russell 3000 Index. The inclusion in the index means several ETFs have to add shares of the stocks as part of the rebalancing efforts.
What Happened: There was a large number of additions to the Russell 3000 Index on Friday and one particular item that stood out was how SPACs affected the rebalancing.
One in five companies that were added to the Russell 3000 on Friday went public via SPAC merger.
The Former SPACs: Here is a look at the companies that went public via SPAC and were added to the Russell 3000 Index.
Aeva Technologies Inc (NYSE: AEVA): lidar company
Appharvest Inc (NASDAQ: APPH): indoor sustainable farming company
Beauty Health Co (NASDAQ: SKIN): owner of HydraFacial, non-invasive skincare treatment
Butterfly Network Inc (NYSE: BFLY): portable ultrasound company
Carlotz Inc (NASDAQ: LOTZ): used vehicle consignment seller
ChargePoint Holdings Inc (NYSE: CHPT): electric vehicle charging infrastructure company
Clarivate PLC (NYSE: CLVT): information service and analytics company that serves scientific research companies
Danimer Scientific Inc (NYSE: DNMR): a next-generation bioplastics company
Desktop Metal Inc (NYSE: DM): 3D printing company focused on several business segments
Digital Media Solutions Inc (NYSE: DMS): digital marketing company in the media segment
Draftkings Inc (NASDAQ:",2021-06-28 16:12:58+00:00,https://www.benzinga.com/m-a/21/06/21743923/one-in-five-russell-3000-additions-went-public-via-spac-what-investors-should-know,Benzinga,0.043109668109668105,0.12359307359307359,neutral,0.043109668109668105,False,True,False,False,False,False,False,False,0.0,1482,"['GNOG', 'FOA', 'NKLA', 'PSFE', 'BFLY', 'UTZ', 'UWMC', 'STEM', 'LPRO', 'RMO', 'DM', 'HOFV', 'DNMR', 'FSR', 'DMS', 'LSEA', 'XL', 'VLDR', 'HYLN', 'APPH', 'CHPT', 'ETWO', 'CLVT', 'MP', 'CURI', 'LOTZ', 'SKIN', 'TTCF', 'MILE', 'PRCH', 'PAYA', 'AEVA', 'RSI', 'RIDE', 'OUST', 'SFT', 'PLBY', 'FREE', 'SKLZ', 'QS', 'PCT', 'DSPC', 'EOSE', 'DKNG']",AEVA,2021-06-28
Why Aeva Technologies Stock Is Lower Today,"A Wall Street analyst initiated coverage with a rating of ""meh.""",2021-07-19 15:10:53+00:00,https://www.fool.com/investing/2021/07/19/why-aeva-technologies-stock-is-lower-today/,The Motley Fool,0.0,0.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,108,"['AEVA', 'TSP']",AEVA,2021-07-19
Aeva Technologies Inc (AEVA) Q2 2021 Earnings Call Transcript,"AEVA earnings call for the period ending June 30, 2021.",2021-08-13 10:00:48+00:00,https://www.fool.com/earnings/call-transcripts/2021/08/13/aeva-technologies-inc-aeva-q2-2021-earnings-call-t/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,118,['AEVA'],AEVA,2021-08-13
Aeva Technologies Inc (AEVA) Q3 2021 Earnings Call Transcript,"AEVA earnings call for the period ending September 30, 2021.",2021-11-11 04:30:42+00:00,https://www.fool.com/earnings/call-transcripts/2021/11/10/aeva-technologies-inc-aeva-q3-2021-earnings-call-t/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,123,['AEVA'],AEVA,2021-11-11
"Stocks To Watch: Zoom Video, Best Buy And More Electric Vehicle Jolts","Get ahead of the market by subscribing to Seeking Alpha's Stocks to Watch, a preview of key events scheduled for the coming week",2021-11-20 14:00:00+00:00,https://seekingalpha.com/article/4470842-stocks-to-watch-zoom-video-best-buy-and-more-electric-vehicle-jolts,Seeking Alpha,0.5,0.6,positive,0.5,False,True,False,False,False,False,False,False,0.0,199,"['AEVA', 'AUR', 'BBY', 'DKS', 'DLTR', 'DTC', 'INVZ', 'MRK', 'MULN', 'NIU', 'OUST', 'SONY', 'TLRY', 'YETI', 'ZM']",AEVA,2021-11-20
Lucid and Rivian Too Expensive? Look at These 2 Beaten-Down EV Stocks Instead,"The EV industry is red-hot, but there's value if you know where to look.",2021-11-24 12:33:00+00:00,https://www.fool.com/investing/2021/11/24/lucid-and-rivian-too-expensive-look-at-these-2-bea/,The Motley Fool,-0.5,0.7,negative,0.5,False,False,False,False,False,False,False,False,0.0,151,"['RIVN', 'F', 'TSLA', 'UPS', 'ARVL', 'AEVA', 'LCID']",AEVA,2021-11-24
"Benzinga's Top Ratings Upgrades, Downgrades For April 14, 2022","Upgrades
For United Parcel Service Inc (NYSE:UPS), Loop Capital upgraded the previous rating of Hold to Buy. For the fourth quarter, United Parcel Service had an EPS of $3.59, compared to year-ago quarter EPS of $2.66. The stock has a 52-week-high of $233.72 and a 52-week-low of $174.70. At the end of the last trading period, United Parcel Service closed at $188.87.   
According to WestPark Capital, the prior rating for Paysafe Ltd (NYSE:PSFE) was changed from Hold to Buy. The stock has a 52-week-high of $14.30 and a 52-week-low of $2.58. At the end of the last trading period, Paysafe closed at $3.25.   
Baird upgraded the previous rating for H.B. Fuller Co (NYSE:FUL) from Neutral to Outperform. In the first quarter, H.B. Fuller showed an EPS of $0.80, compared to $0.66 from the year-ago quarter. The stock has a 52-week-high of $81.73 and a 52-week-low of $59.17. At the end of the last trading period, H.B. Fuller closed at $68.99.   
Morgan Stanley upgraded the previous rating for International Business Machines Corp (NYSE:IBM) from Equal-Weight to Overweight. For the fourth quarter, IBM had an EPS of $3.35, compared to year-ago quarter EPS of $2.07. At the moment, the stock has a 52-week-high of $152.84 and a 52-week-low of $114.56. IBM closed at $126.14 at the end of the last trading period.   
According to Wedbush, the prior rating for CoreCivic Inc (NYSE:CXW) was changed from Neutral to Outperform. For the fourth quarter, CoreCivic had an EPS of $0.48, compared to year-ago quarter EPS of $0.63. The current stock performance of CoreCivic shows a 52-week-high of $12.35 and a 52-week-low of $7.37. Moreover, at the end of the last trading period, the closing price was at $11.70.   
For CoreCivic Inc (NYSE:CXW), Wells Fargo upgraded the previous rating of Neutral to Outperform. For the fourth quarter, CoreCivic had an EPS of $0.48, compared to year-ago quarter EPS of $0.63. The current stock performance of CoreCivic shows a 52-week-high of $12.35 and a 52-week-low of $7.37. Moreover, at the end of the last trading period, the closing price was at $11.70.   
According to RBC Capital, the prior rating for Element Solutions Inc (NYSE:ESI) was changed from Sector Perform to Outperform. Element Solutions earned $0.31 in the fourth quarter, compared to $0.31 in the year-ago quarter. The stock has a 52-week-high of $26.92 and a 52-week-low of $18.84. At the end of the last trading period, Element Solutions closed at $20.34.   
B of A Securities upgraded the previous rating for Gartner Inc (NYSE:IT) from Neutral to Buy. For the fourth quarter, Gartner had an EPS of $2.99, compared to year-ago quarter EPS of $1.59. At the moment, the stock has a 52-week-high of $369.00 and a 52-week-low of $187.61. Gartner closed at $295.37 at the end of the last trading period.   
For TD Synnex Corp (NYSE:SNX), Stifel upgraded the previous rating of Hold to Buy. For the first quarter, TD Synnex had an EPS of $3.03, compared to year-ago quarter EPS of $1.89. The current stock performance of TD Synnex shows a 52-week-high of $130.93 and a 52-week-low of $96.09. Moreover, at the end of the last trading period, the closing price was at $99.65.   
According to Stifel, the prior rating for CDW Corp (NASDAQ:CDW) was changed from Hold to Buy. In the fourth quarter, CDW showed an EPS of $2.08, compared to $1.82 from the year-ago quarter. At the moment, the stock has a 52-week-high of $208.71 and a 52-week-low of $162.47. CDW closed at $170.97 at the end of the last trading period.   
Mizuho upgraded the previous rating for Portland General Electric Co (NYSE:POR) from Neutral to Buy. Portland General Electric earned $0.73 in the fourth quarter, compared to $0.57 in the year-ago quarter. The current stock performance of Portland General Electric shows a 52-week-high of $57.03 and a 52-week-low of $45.40. Moreover, at the end of the last trading period, the closing price was at $54.08.   
For Corteva Inc (NYSE:CTVA), Loop Capital upgraded the previous rating of Hold to Buy. Corteva earned $0.08 in the fourth quarter, compared to $0.04 in the year-ago quarter. The current stock performance of Corteva shows a 52-week-high of $61.21 and a 52-week-low of $40.60. Moreover, at the end of the last trading period, the closing price was at $60.95.   
According to Barclays, the prior rating for Delta Air Lines Inc (NYSE:DAL) was changed from Equal-Weight to Overweight. Delta Air Lines earned $1.23 in the first quarter, compared to $3.55 in the year-ago quarter. The stock has a 52-week-high of $49.50 and a 52-week-low of $29.75. At the end of the last trading period, Delta Air Lines closed at $41.02.   
According to Cowen & Co., the prior rating for Huntington Ingalls Industries Inc (NYSE:HII) was changed from Market Perform to Outperform. For the fourth quarter, Huntington Ingalls Indus had an EPS of $2.99, compared to year-ago quarter EPS of $6.15. The current stock performance of Huntington Ingalls Indus shows a 52-week-high of $228.66 and a 52-week-low of $175.50. Moreover, at the end of the last trading period, the closing price was at $212.94.   
For Royalty Pharma PLC (NASDAQ:RPRX), JP Morgan upgraded the previous rating of Neutral to Overweight. For the fourth quarter, Royalty Pharma had an EPS of $0.80, compared to year-ago quarter EPS of $0.27. At the moment, the stock has a 52-week-high of $47.10 and a 52-week-low of $34.86. Royalty Pharma closed at $42.44 at the end of the last trading period.   
See all analyst ratings upgrades.
Downgrades
According to Loop Capital, the prior rating for FMC Corp (NYSE:FMC) was changed from Buy to Hold. FMC earned $2.16 in the fourth quarter, compared to $1.42 in the year-ago quarter. The current stock performance of FMC shows a 52-week-high of $139.09 and a 52-week-low of $87.27. Moreover, at the end of the last trading period, the closing price was at $138.59.   
Consumer Edge Research downgraded the previous rating for CF Industries Holdings Inc (NYSE:CF) from Overweight to Equal-Weight. CF Industries Holdings earned $3.27 in the fourth quarter, compared to $0.40 in the year-ago quarter. At the moment, the stock has a 52-week-high of $113.48 and a 52-week-low of $43.19. CF Industries Holdings closed at $109.01 at the end of the last trading period.   
For Corteva Inc (NYSE:CTVA), Vertical Research downgraded the previous rating of Buy to Hold. For the fourth quarter, Corteva had an EPS of $0.08, compared to year-ago quarter EPS of $0.04. At the moment, the stock has a 52-week-high of $61.21 and a 52-week-low of $40.60. Corteva closed at $60.95 at the end of the last trading period.   
Oppenheimer downgraded the previous rating for Twitter Inc (NYSE:TWTR) from Outperform to Perform. In the fourth quarter, Twitter showed an EPS of $0.33, compared to $0.38 from the year-ago quarter. At the moment, the stock has a 52-week-high of $73.34 and a 52-week-low of $31.30. Twitter closed at $45.85 at the end of the last trading period.   
According to Barrington Research, the prior rating for Cambium Networks Corp (NASDAQ:CMBM) was changed from Outperform to Market Perform. For the fourth quarter, Cambium Networks had an EPS of $0.16, compared to year-ago quarter EPS of $0.38. The current stock performance of Cambium Networks shows a 52-week-high of $66.40 and a 52-week-low of $18.95. Moreover, at the end of the last trading period, the closing price was at $20.32.   
Truist Securities downgraded the previous rating for Antares Pharma Inc (NASDAQ:ATRS) from Buy to Hold. In the fourth quarter, Antares Pharma showed an EPS of $0.02, compared to $0.03 from the year-ago quarter. The stock has a 52-week-high of $5.59 and a 52-week-low of $3.11. At the end of the last trading period, Antares Pharma closed at $5.58.   
According to Ladenburg Thalmann, the prior rating for Antares Pharma Inc (NASDAQ:ATRS) was changed from Buy to Neutral. For the fourth quarter, Antares Pharma had an EPS of $0.02, compared to year-ago quarter EPS of $0.03. The stock has a 52-week-high of $5.59 and a 52-week-low of $3.11. At the end of the last trading period, Antares Pharma closed at $5.58.   
Raymond James downgraded the previous rating for Antares Pharma Inc (NASDAQ:ATRS) from Strong Buy to Market Perform. For the fourth quarter, Antares Pharma had an ...Full story available on Benzinga.com",2022-04-14 14:03:32+00:00,https://www.benzinga.com/analyst-ratings/upgrades/22/04/26635166/benzingas-top-ratings-upgrades-downgrades-for-april-14-2022,Benzinga,-0.015625,0.13055555555555548,neutral,0.015625,False,True,True,False,False,False,False,False,0.0,8377,"['BBBY', 'HYPR', 'PRM', 'WIX', 'RPRX', 'NIU', 'SLS', 'TWTR', 'STX', 'CTVA', 'SNX', 'SIEN', 'USNA', 'CMBM', 'TKR', 'GDDY', 'CF', 'HCAT', 'UPS', 'MQ', 'CXW', 'WDC', 'SEDG', 'DAL', 'CVLG', 'WPC', 'SHOP', 'ESI', 'HRMY', 'ESTE', 'KRP', 'INVH', 'FMC', 'PTVE', 'HII', 'SRRA', 'FUL', 'LAZR', 'VSTM', 'RCM', 'GWW', 'PSFE', 'ENPH', 'APLS', 'IBM', 'HIMS', 'ATRS', 'SAIL', 'IT', 'FORA', 'GRPH', 'NXGN', 'OI', 'AEVA', 'CDW', 'PAGS', 'PHR', 'ENJY', 'AMH', 'TALO', 'POR', 'DRTS', 'PINC']",AEVA,2022-04-14
Gentex (GNTX) Q1 Earnings and Revenues Beat Estimates,"Gentex (GNTX) delivered earnings and revenue surprises of 15.63% and 7.84%, respectively, for the quarter ended March 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-04-22 13:15:05+00:00,https://www.zacks.com/stock/news/1905242/gentex-gntx-q1-earnings-and-revenues-beat-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,238,"['GNTX', 'AEVA']",AEVA,2022-04-22
"Aeva Technologies, Inc. (AEVA) Reports Q1 Loss, Misses Revenue Estimates","Aeva Technologies, Inc. (AEVA) delivered earnings and revenue surprises of 20% and 21.86%, respectively, for the quarter ended March 2022. Do the numbers hold clues to what lies ahead for the stock?",2022-05-04 22:45:14+00:00,https://www.zacks.com/stock/news/1916245/aeva-technologies-inc-aeva-reports-q1-loss-misses-revenue-estimates,Zacks Investment Research,0.0,0.1,neutral,0.0,True,False,False,False,False,False,False,False,0.0,272,"['AEVA', 'DOOO']",AEVA,2022-05-04
Expert Ratings for Aeva Technologies,"Analysts have provided the following ratings for Aeva Technologies (NYSE:AEVA) within the last quarter: 




Bullish
Somewhat Bullish
Indifferent
Somewhat Bearish
Bearish




Total Ratings
0
3
1
0
0


Last 30D
0
1
0
0
0


1M Ago
0
1
0
0
0


2M Ago
0
0
0
0
0


3M Ago
0
1
1
0
0



According to 4 analyst offering 12-month price targets in the last 3 months, Aeva Technologies has an average price target of $5.5 with a high of $6.00 and a low of $5.00. 
Below is a summary of how these 4 analysts rated Aeva Technologies over the past 3 months. The greater the number of bullish ratings, the more positive analysts are on the ...Full story available on Benzinga.com",2022-05-05 13:08:11+00:00,https://www.benzinga.com/analyst-ratings/22/05/27019381/expert-ratings-for-aeva-technologies,Benzinga,0.10671328671328671,0.345034965034965,positive,0.10671328671328671,False,False,False,False,False,False,False,False,0.0,702,['AEVA'],AEVA,2022-05-05
