title,description,published_utc,article_url,publisher,sentiment_polarity,sentiment_subjectivity,sentiment_label,sentiment_confidence,keywords_earnings,keywords_acquisition,keywords_regulation,keywords_partnership,keywords_product,keywords_financial,keywords_leadership,keywords_lawsuit,urgency_score,text_length,tickers,ticker,date
"Notable Insider Buys In The Past Week: Asana, Transocean, IPOS, SPACS And More","Insider buying can be an encouraging signal for potential investors, especially when markets are near all-time highs.
A couple of special purpose acquisition companies and some initial public offerings prompted notable insider buying this past week.
A couple of chief executive officers were among last week's notable insider buyers as well.

Conventional wisdom says that insiders and 10% owners really only buy shares of a company for one reason -- they believe the stock price will rise and they want to profit from it. So insider buying can be an encouraging signal for potential investors, particularly when there is uncertainty in the markets or the markets are near all-time highs.
Note that with the earnings reporting season officially over, insiders overall are no longer prohibited from buying or selling shares. Here are some of the most noteworthy insider purchases that were reported in the past week.
Sprinklr Inc (NYSE: CXM) CEO Ragy Thomas purchased more than 31,200 shares, and three 10% owners added a combined 3.09 million shares as well. At the initial public offering price of $16.00 apiece, those shares totaled nearly $50.00 million altogether. Note that the stock closed the week trading at $20.88 per share.
A beneficial owner of Minneapolis-based Bright Health Group Inc (NYSE: BHG) received more than ...",2021-07-05 11:25:23+00:00,https://www.benzinga.com/news/21/07/21839051/notable-insider-buys-in-the-past-week-asana-transocean-ipos-spacs-and-more,Benzinga,0.14396258503401363,0.42185374149659866,positive,0.14396258503401363,True,True,False,False,False,False,True,False,0.0,1412,"['CXM', 'CHRW', 'HIBB', 'NWFL', 'OHI', 'RIG', 'RRD', 'ASAN', 'PNT', 'AGR', 'LRMR', 'FTCV', 'BHG', 'DOCS']",CXM,2021-07-05
"Sprinklr, Inc. (CXM) Q2 2022 Earnings Call Transcript","CXM earnings call for the period ending June 30, 2021.",2021-09-17 17:00:59+00:00,https://www.fool.com/earnings/call-transcripts/2021/09/17/sprinklr-inc-cxm-q2-2022-earnings-call-transcript/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,109,['CXM'],CXM,2021-09-17
"Stocks To Watch: Eyes On The Federal Reserve, Jobs Report And Allbirds IPO","Get ahead of the market by subscribing to Seeking Alpha's Stocks to Watch, a preview of key events scheduled for the coming week",2021-10-30 13:57:23+00:00,https://seekingalpha.com/article/4463832-stocks-to-watch-eyes-on-the-federal-reserve-jobs-report-and-allbirds-ipo,Seeking Alpha,0.0,1.0,neutral,0.0,False,False,False,False,False,False,False,False,0.0,204,"['ABNB', 'AIG', 'ALB', 'AMC', 'AMCX', 'BP', 'CAR', 'CDW', 'CGC', 'CVS', 'CXM', 'DBX', 'F', 'GM', 'HNST', 'HUM', 'IDXX', 'MAR', 'MCHP', 'MCK', 'MDLZ', 'MSFT', 'NKE', 'NVEI', 'NWSA', 'NXPI', 'NXRT', 'ON', 'OXY', 'PENN', 'PFE', 'PGEN', 'PINS', 'QCOM', 'RKT', 'ROKU', 'BYND', 'RTPY', 'SNA', 'SONO', 'SQ', 'FB', 'TALS', 'TCN', 'TMUS', 'TTWO', 'UAA', 'UBER', 'VLCN', 'W', 'OILK', 'DKNG']",CXM,2021-10-30
Wall Street Breakfast: The Week Ahead,"Listen on the go! A daily podcast of Wall Street Breakfast will be available by 8:00 a.m. on Seeking Alpha, iTunes, Stitcher and Spotify.",2021-10-31 10:59:12+00:00,https://seekingalpha.com/article/4463902-wall-street-breakfast-week-ahead,Seeking Alpha,0.2,0.2,positive,0.2,False,False,False,False,False,False,False,False,0.0,176,"['FB', 'MCD', 'BYND', 'ON', 'NXPI', 'MCK', 'AMC', 'CAR', 'CLX', 'BP', 'PFE', 'UAA', 'MPC', 'RL', 'TMUS', 'MDLZ', 'MTCH', 'LYFT', 'ATVI', 'CVS', 'HUM', 'MAR', 'MET', 'QCOM', 'EA', 'TTWO', 'ROKU', 'CI', 'W', 'PENN', 'UBER', 'ABNB', 'NWSA', 'PINS', 'DBX', 'EXPE', 'SQ', 'RKT', 'DKNG', 'MGA', 'CNK', 'CGC', 'AMCX', 'LTH', 'TCN', 'NVEI', 'VLCN', 'HNST', 'CXM', 'WDH', 'TALS', 'OG', 'BWMN', 'ANEB', 'OXY', 'AIG', 'IDXX', 'CNP', 'CVNA', 'NKE', 'CROX', 'DECK', 'EL', 'NXRT', 'CGNX', 'MDU', 'SNA', 'EVRG', 'AAON', 'MCHP', 'CDW', 'ANET', 'RTPY', 'PGEN', 'MSFT', 'GM', 'F', 'ALB', 'SONO']",CXM,2021-10-31
"Sprinklr, Inc. (CXM) Q3 2022 Earnings Call Transcript","CXM earnings call for the period ending September 30, 2021.",2021-12-10 04:00:24+00:00,https://www.fool.com/earnings/call-transcripts/2021/12/09/sprinklr-inc-cxm-q3-2022-earnings-call-transcript/,The Motley Fool,0.0,0.0,neutral,0.0,True,False,False,False,False,False,False,False,0.0,114,['CXM'],CXM,2021-12-10
Sprinklr stock is up 20% on Friday morning: here’s the catalyst,"Shares of Sprinklr Inc (NYSE: CXM) are up nearly 20% this morning on solid results for the fiscal third quarter that prompted analysts to bump up their price targets on the stock. In the earnings press release, CEO Ragy Thomas said: It’s our 4th straight quarter of accelerating revenue growth. Sprinklr is well-positioned to become […]
The post Sprinklr stock is up 20% on Friday morning: here’s the catalyst appeared first on Invezz.",2021-12-10 16:19:39+00:00,https://invezz.com/news/2021/12/10/sprinklr-stock-is-up-20-on-friday-morning-heres-the-catalyst/,Invezz,0.11000000000000001,0.24666666666666667,positive,0.11000000000000001,True,False,False,False,True,False,True,False,0.0,500,['CXM'],CXM,2021-12-10
Why Sprinklr Stock Jumped as Much as 21% on Friday,This under-the-radar software company crushed Wall Street's targets for its fiscal third quarter.,2021-12-10 22:05:08+00:00,https://www.fool.com/investing/2021/12/10/why-sprinklr-stock-jumped-as-much-as-21-on-friday/,The Motley Fool,0.03333333333333333,0.10000000000000002,neutral,0.03333333333333333,False,False,False,False,False,False,False,False,0.0,149,['CXM'],CXM,2021-12-10
Sprinklr stock prediction for December 2021 after solid FQ3 beat,"On Monday, Sprinklr Inc. (NYSE:CXM) shares gained more than 3%, extending Friday’s post-earnings gain. The stock spiked more than 11% at the end of last week, following its solid FQ3 beat. Sprinklr announced its most recent quarterly results Thursday after the close, outperforming the consensus for analyst expectations on revenue and earnings. The company posted […]
The post Sprinklr stock prediction for December 2021 after solid FQ3 beat appeared first on Invezz.",2021-12-13 22:13:26+00:00,https://invezz.com/news/2021/12/13/sprinklr-stock-prediction-for-december-2021-after-solid-fq3-beat/,Invezz,0.175,0.25500000000000006,positive,0.175,True,False,False,False,False,False,False,False,0.0,534,['CXM'],CXM,2021-12-13
"Benzinga's Top Ratings Upgrades, Downgrades For February 3, 2022","Upgrades

BTIG upgraded the previous rating for Insulet Corp (NASDAQ:PODD) from Neutral to Buy. For the third quarter, Insulet had an EPS of $0.18, compared to year-ago quarter EPS of $0.17. The stock has a 52-week-high of $324.81 and a 52-week-low of $193.70. At the end of the last trading period, Insulet closed at $253.19.
BTIG upgraded the previous rating for DexCom Inc (NASDAQ:DXCM) from Neutral to Buy. DexCom earned $0.89 in the third quarter, compared to $0.94 in the year-ago quarter. The current stock performance of DexCom shows a 52-week-high of $659.45 and a 52-week-low of $318.45. Moreover, at the end of the last trading period, the closing price was at $435.67.
For Glaukos Corp (NYSE:GKOS), William Blair upgraded the previous rating of Market Perform to Outperform. For the third quarter, Glaukos had an EPS of $0.21, compared to year-ago quarter EPS of $0.09. The stock has a 52-week-high of $99.00 and a 52-week-low of $39.35. At the end of the last trading period, Glaukos closed at $52.90.
For SolarEdge Technologies Inc (NASDAQ:SEDG), Needham upgraded the previous rating of Hold to Buy. In the third quarter, SolarEdge Technologies showed an EPS of $1.45, compared to $1.21 from the year-ago quarter. The stock has a 52-week-high of $389.71 and a 52-week-low of $199.33. At the end of the last trading period, SolarEdge Technologies closed at $238.30.
According to UBS, the prior rating for NVR Inc (NYSE:NVR) was changed from Sell to Neutral. NVR earned $89.09 in the fourth quarter, compared to $76.93 in the year-ago quarter. At the moment, the stock has a 52-week-high of $5982.44 and a 52-week-low of $4330.00. NVR closed at $5493.75 at the end of the last trading period.
Stifel upgraded the previous rating for C.H. Robinson Worldwide Inc (NASDAQ:CHRW) from Hold to Buy. In the fourth quarter, C.H. Robinson Worldwide showed an EPS of $1.74, compared to $1.08 from the year-ago quarter. At the moment, the stock has a 52-week-high of $112.15 and a 52-week-low of $84.67. C.H. Robinson Worldwide closed at $92.54 at the end of the last trading period.

Also check out this: Alphabet And 4 Other Stocks Sold By Insiders

UBS upgraded the previous rating for PulteGroup Inc (NYSE:PHM) from Neutral to Buy. For the fourth quarter, PulteGroup had an EPS of $2.51, compared to year-ago quarter EPS of $1.49. At the moment, the stock has a 52-week-high of $63.91 and ...Full story available on Benzinga.com",2022-02-03 15:04:23+00:00,https://www.benzinga.com/analyst-ratings/upgrades/22/02/25396568/benzingas-top-ratings-upgrades-downgrades-for-february-3-2022,Benzinga,-0.02499999999999999,0.12327586206896554,neutral,0.02499999999999999,False,True,False,False,False,False,False,False,0.0,2499,"['NVR', 'CXM', 'PHM', 'ERO', 'UTL', 'ALNY', 'FNV', 'CHRW', 'FB', 'DXCM', 'MEIP', 'FSLR', 'PYPL', 'LOGC', 'SEDG', 'PODD', 'GKOS', 'VRTX', 'ELMS', 'AEM', 'SGHT', 'CEG', 'CHD', 'DT', 'EXC', 'FGI', 'GPS']",CXM,2022-02-03
What 6 Analyst Ratings Have To Say About Sprinklr,"Within the last quarter, Sprinklr (NYSE:CXM) has observed the following analyst ratings: 




Bullish
Somewhat Bullish
Indifferent
Somewhat Bearish
Bearish




Total Ratings
0
3
3
0
0


Last 30D
0
0
1
0
0


1M Ago
0
0
1
0
0


2M Ago
0
0
0
0
0


3M Ago
0
3
1
0
0



These 6 analysts have an average price target of $17.67 versus the current price of Sprinklr at $11.65, implying  upside.
Below is a summary of how these 6 analysts rated Sprinklr over the past 3 months. The greater the number of bullish ratings, the more ...Full story available on Benzinga.com",2022-02-24 21:36:04+00:00,https://www.benzinga.com/analyst-ratings/22/02/25824782/what-6-analyst-ratings-have-to-say-about-sprinklr,Benzinga,0.1,0.3433333333333333,neutral,0.1,False,False,False,False,False,False,False,False,0.0,611,['CXM'],CXM,2022-02-24
